Ticker,Date/Time,Buy
21STCENMGM.NS,12/3/2024,1
3PLAND.NS,11/29/2024,1
^CNXREALTY,12/2/2024,1
AAIL.BO,12/3/2024,1
ABMKNO.BO,12/4/2024,1
ACE.NS,12/2/2024,1
ACE.NS,12/5/2024,1
ADITYASP.BO,12/2/2024,1
AFFLE.NS,12/2/2024,1
AJCON.BO,12/5/2024,1
AKCAPIT.BO,12/3/2024,1
ALEMBICLTD.NS,12/2/2024,1
ALFAICA.BO,11/29/2024,1
ALLSEC.NS,11/26/2024,1
ALPINEHOU.BO,12/2/2024,1
ANERI.BO,12/2/2024,1
ANGELONE.NS,12/3/2024,1
ANGELONE.NS,12/5/2024,1
ANJANI.BO,12/2/2024,1
APEX.NS,12/4/2024,1
APOLLOHOSP.NS,12/2/2024,1
ARIHANTSUP.NS,12/2/2024,1
ARTEFACT.BO,12/3/2024,1
ARTNIRMAN.NS,12/4/2024,1
ASALCBR.NS,12/2/2024,1
ASAL.NS,12/2/2024,1
ASHAI.BO,12/3/2024,1
ASHAPURMIN.NS,11/29/2024,1
ASHAPURMIN.NS,12/2/2024,1
ASHAPURMIN.NS,12/4/2024,1
ASHNOOR.BO,12/4/2024,1
ATHARVENT.BO,11/29/2024,1
AVANTEL.BO,12/3/2024,1
BAGFILMS.NS,12/3/2024,1
BALAJITELE.NS,11/29/2024,1
BALAJITELE.NS,12/5/2024,1
BALKRISHNA.NS,12/2/2024,1
BANARBEADS.NS,12/3/2024,1
BANARISUG.NS,12/4/2024,1
BANG.NS,12/3/2024,1
BANG.NS,12/4/2024,1
BANSWRAS.NS,12/4/2024,1
BATLIBOI.BO,12/4/2024,1
BAYERCROP.BO,12/3/2024,1
BCLENTERPR.BO,12/5/2024,1
BEARDSELL.NS,12/3/2024,1
BEEKAY.BO,12/3/2024,1
BEPL.NS,12/4/2024,1
BHANDARI.NS,12/2/2024,1
BHARAT.BO,12/4/2024,1
BHARTIARTL.NS,11/29/2024,1
BIRLAMONEY.NS,12/2/2024,1
BLOOM.BO,12/2/2024,1
BLS.NS,12/3/2024,1
BNL.BO,12/3/2024,1
BOSCHLTD.NS,12/5/2024,1
BRADYM.BO,12/3/2024,1
BRAWN.BO,12/3/2024,1
BSE.NS,12/5/2024,1
BSL.NS,12/3/2024,1
CANBK.NS,12/3/2024,1
CAPLIPOINT.NS,11/29/2024,1
CASTROLIND.NS,12/2/2024,1
CASTROLIND.NS,12/5/2024,1
CDSL.NS,12/5/2024,1
CEATLTD.NS,11/29/2024,1
CEINSYSTECH.BO,12/2/2024,1
CENTEXT.NS,12/2/2024,1
CENTRALBK.NS,12/4/2024,1
CENTRUM.NS,12/4/2024,1
CHAMBLFERT.NS,11/29/2024,1
CHEMFAB.NS,12/5/2024,1
CHEMOPH.BO,12/3/2024,1
CHLOGIST.BO,12/3/2024,1
CHOKSI.BO,11/29/2024,1
CITADEL.BO,12/4/2024,1
CIPLA.NS,11/29/2024,1
COMFINTE.BO,12/4/2024,1
COMPEAU.BO,12/4/2024,1
CONTPTR.BO,12/2/2024,1
CONTPTR.BO,12/3/2024,1
CORDSCABLE.NS,12/3/2024,1
COSYN.BO,11/29/2024,1
COSMOFIRST.NS,12/2/2024,1
CREATIVE.NS,11/29/2024,1
CREST.NS,11/29/2024,1
CYIENT.NS,12/4/2024,1
DAIKAFFI.BO,11/29/2024,1
DARSHANORNA.BO,12/2/2024,1
DCBBANK.NS,12/2/2024,1
DELTAMAGNT.NS,12/2/2024,1
DELTAMAGNT.NS,12/3/2024,1
DHAMPURE.BO,11/29/2024,1
DHAMPURE.BO,12/2/2024,1
DHANBANK.NS,12/4/2024,1
DHANI.NS,12/4/2024,1
DHARFIN.BO,12/2/2024,1
DHINDIA.BO,12/2/2024,1
DIXON.NS,12/2/2024,1
DLINKINDIA.NS,12/2/2024,1
DLTNCBL.BO,12/2/2024,1
DLTNCBL.BO,12/3/2024,1
DONEAR.NS,12/2/2024,1
DRAGARWQ.BO,12/4/2024,1
EIHOTEL.NS,12/3/2024,1
ELECON.NS,12/3/2024,1
ELGIRUBCO.NS,12/5/2024,1
EMKAY.NS,12/2/2024,1
EMKAY.NS,12/3/2024,1
EMPIND.BO,12/5/2024,1
EPL.NS,12/3/2024,1
EXPLEOSOL.NS,12/3/2024,1
FACT.NS,11/29/2024,1
FEDERALBNK.NS,12/4/2024,1
FIBERWEB.BO,12/2/2024,1
FILTRA.BO,12/5/2024,1
FINCABLES.NS,12/5/2024,1
FLUIDOM.BO,12/3/2024,1
FLUIDOM.BO,12/4/2024,1
FLUOROCHEM.NS,12/5/2024,1
FMGOETZE.NS,12/3/2024,1
FORTISMLR.BO,12/2/2024,1
FRASER.BO,12/4/2024,1
FRONTCORP.BO,12/3/2024,1
GALLANTT.NS,12/3/2024,1
GANDHITUBE.NS,12/4/2024,1
GARFIBRES.NS,12/3/2024,1
GARWAMAR.BO,12/3/2024,1
GARWSYN.BO,12/3/2024,1
GAYAPROJ.NS,12/3/2024,1
GEECEE.NS,12/2/2024,1
GENESYS.NS,12/2/2024,1
GENUSPAPER.NS,12/2/2024,1
GENUSPOWER.NS,12/2/2024,1
GEPIL.NS,12/2/2024,1
GHCL.NS,12/3/2024,1
GICHSGFIN.NS,12/3/2024,1
GINNIFILA.NS,11/29/2024,1
GNA.NS,12/3/2024,1
GODREJPROP.NS,12/2/2024,1
GOLDIAM.NS,12/2/2024,1
GOLECHA.BO,12/3/2024,1
GPPL.NS,12/3/2024,1
GRAPHITE.NS,12/3/2024,1
GRAPHITE.NS,12/4/2024,1
GRASIM.NS,12/2/2024,1
GREENLAM.NS,11/29/2024,1
GSFC.NS,11/29/2024,1
GUFICBIO.NS,12/3/2024,1
GUJAPOLLO.NS,12/5/2024,1
GUJCONT.BO,11/29/2024,1
GUJCOTEX.BO,12/3/2024,1
GUJINTRX.BO,12/3/2024,1
HCC.NS,12/3/2024,1
HEG.NS,12/3/2024,1
HEG.NS,12/4/2024,1
HIKAL.NS,11/29/2024,1
HIKAL.NS,12/2/2024,1
HIMATSEIDE.NS,12/2/2024,1
HINDCON.NS,11/29/2024,1
HITTCO.BO,11/29/2024,1
HOCL.BO,12/2/2024,1
HOMEFIRST.NS,12/2/2024,1
HPIL.NS,12/4/2024,1
HRYNSHP.BO,11/29/2024,1
HUBTOWN.NS,12/4/2024,1
IBRIGST.BO,11/19/2024,1
IDBI.NS,12/4/2024,1
IGARASHI.NS,12/2/2024,1
IGPL.NS,11/29/2024,1
IISL.BO,12/2/2024,1
IMFA.NS,12/5/2024,1
INCON.BO,12/5/2024,1
INCREDIBLE.BO,12/3/2024,1
INDBANK.NS,12/3/2024,1
INDIAGLYCO.NS,12/2/2024,1
INDIANCARD.NS,12/4/2024,1
INDIANHUME.NS,12/2/2024,1
INDOAMIN.BO,12/4/2024,1
INDOSTAR.NS,12/3/2024,1
INFOMEDIA.NS,12/3/2024,1
INOXWIND.NS,12/2/2024,1
IOB.NS,12/4/2024,1
IONEXCHANG.BO,12/2/2024,1
IONEXCHANG.BO,12/5/2024,1
ISTRNETWK.BO,11/29/2024,1
ITHL.BO,12/2/2024,1
IWEL.BO,12/2/2024,1
IWP.BO,12/2/2024,1
IWP.BO,12/4/2024,1
JAGANLAM.BO,12/5/2024,1
JAGSNPHARM.NS,11/29/2024,1
JETFREIGHT.NS,12/2/2024,1
JINDALPOLY.NS,12/2/2024,1
JINDHOT.BO,12/2/2024,1
JINDRILL.NS,11/29/2024,1
JINDWORLD.NS,12/3/2024,1
JJFINCOR.BO,12/4/2024,1
JKCEMENT.NS,12/2/2024,1
JKCEMENT.NS,12/3/2024,1
JKPAPER.NS,12/2/2024,1
JKLAKSHMI.NS,12/2/2024,1
JOINDRE.BO,12/5/2024,1
JUBLINGREA.NS,11/29/2024,1
KANDAGIRI.BO,12/3/2024,1
