Ticker,Date/Time,Close,Mega Sellby Larger Wave,SL
7NR.BO,11/18/2024,6,5.30,5.02
7NR.BO,11/29/2024,6,6.46,5.02
360ONE.NS,10/16/2024,1119,1123.01,940.00
360ONE.NS,10/31/2024,1119,1083.25,982.00
21STCENMGM.NS,10/21/2024,99,120.24,96.70
21STCENMGM.NS,11/7/2024,99,121.33,104.36
5PAISA.NS,9/23/2024,506,570.15,502.15
5PAISA.NS,10/15/2024,506,582.34,504.50
5PAISA.NS,11/1/2024,506,522.09,480.00
1STCUS.BO,9/25/2024,117,125.13,89.35
1STCUS.BO,11/11/2024,117,128.93,100.60
20MICRONS.NS,10/21/2024,257,314.00,260.00
20MICRONS.NS,12/4/2024,257,264.76,220.70
3PLAND.NS,11/27/2024,60,68.75,34.05
3PLAND.NS,12/3/2024,60,67.28,34.05
3MINDIA.NS,11/1/2024,31278,36257.04,33131.60
63MOONS.NS,9/17/2024,767,391.39,380.55
63MOONS.NS,9/24/2024,767,412.25,371.70
63MOONS.NS,10/1/2024,767,403.07,372.10
63MOONS.NS,10/15/2024,767,528.26,351.00
63MOONS.NS,10/24/2024,767,488.39,436.10
63MOONS.NS,10/25/2024,767,471.81,436.10
63MOONS.NS,11/1/2024,767,618.09,436.10
63MOONS.NS,11/12/2024,767,608.52,555.00
7TEC.BO,11/1/2024,55,60.84,50.26
^CNXAUTO,9/30/2024,23736,27393.94,25191.00
^CNXENERGY,9/27/2024,37885,44483.56,42093.10
^CNXIT,9/17/2024,44806,43517.81,41809.65
^CNXFMCG,9/23/2024,57605,66275.87,64261.95
^CNXMETAL,10/1/2024,9283,10192.61,9122.95
^CNXMETAL,11/6/2024,9283,9603.40,8924.55
^CNXPSUBANK,11/7/2024,7126,7014.04,6188.85
^CNXREALTY,9/26/2024,1074,1134.97,1022.25
^CNXREALTY,10/16/2024,1074,1082.03,1011.80
AAATECH.NS,9/18/2024,115,143.00,126.20
AAATECH.NS,10/18/2024,115,132.98,125.00
AAATECH.NS,11/7/2024,115,128.15,110.00
^NSEBANK,9/26/2024,53604,54353.23,50369.40
^NSEI,9/17/2024,24708,25419.30,24753.15
^NSEI,9/18/2024,24708,25433.04,24753.15
^NSEI,9/19/2024,24708,25552.98,24753.15
^NSEI,9/20/2024,24708,25743.59,24753.15
^NSEI,9/23/2024,24708,25928.84,24753.15
^NSEI,9/24/2024,24708,25980.38,24753.15
^NSEI,9/25/2024,24708,25992.44,24753.15
^NSEI,9/26/2024,24708,26187.78,24753.15
A2ZINFRA.NS,9/27/2024,17,18.82,15.87
A2ZINFRA.NS,10/11/2024,17,19.40,15.75
A2ZINFRA.NS,10/17/2024,17,19.13,17.90
A2ZINFRA.NS,10/18/2024,17,18.53,17.41
A2ZINFRA.NS,10/21/2024,17,19.01,17.41
