Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target
2024-12-05,BB_DC,Short,CRAVATEX.BO,430.55,410.0,48.66,48.66,459.31,Target Hit,,NaN,KRBPT,430.55,2024-12-05,459.31
2024-12-05,ATR_BW,Short,TCIFINANCE.NS,12.75,12.25,2000.0,2000.0,16.09,Target Hit,,NaN,KRBPT,12.75,2024-12-05,16.09
2024-12-05,BB_DC,Short,WHBRADY.BO,896.1,841.15,18.2,18.2,1111.64,Target Hit,,NaN,KRBPT,896.1,2024-12-05,1111.64
2024-12-05,LR_W,Short,AVANTIFEED.NS,604.55,572.25,30.96,30.96,617.3,Target Hit,,NaN,KRBPT,604.55,2024-12-05,617.3
2024-12-05,LR_DC,Short,BLUEDART.NS,7486.95,7381.0,9.44,9.44,8160.01,Target Hit,,NaN,KRBPT,7486.95,2024-12-05,8160.01
2024-12-05,ATR_DC,Short,FILTRA.BO,77.48,67.4,99.21,99.21,88.24,Target Hit,,NaN,KRBPT,77.48,2024-12-05,88.24
2024-12-05,BB_W,Short,FLEXITUFF.NS,57.89,56.0,529.1,529.1,64.56,Target Hit,,NaN,KRBPT,57.89,2024-12-05,64.56
2024-12-05,BB_DC,Short,GINISILK.BO,111.85,108.7,317.46,317.46,136.1,Target Hit,,NaN,KRBPT,111.85,2024-12-05,136.1
2024-12-05,BB_DC,Short,HINDMILL.BO,215.5,207.5,125.0,125.0,229.39,Target Hit,,NaN,KRBPT,215.5,2024-12-05,229.39
2024-12-05,BB_DC,Short,MANSIFIN.BO,62.36,58.85,284.9,284.9,85.1,Target Hit,,NaN,KRBPT,62.36,2024-12-05,85.1
2024-12-05,ATR_DC,Short,MEERA.BO,77.55,74.51,328.95,328.95,89.18,Target Hit,,NaN,KRBPT,77.55,2024-12-05,89.18
2024-12-05,BB_DC,Short,MONGIPA.BO,32.02,31.2,1219.51,1219.51,34.24,Target Hit,,NaN,KRBPT,32.02,2024-12-05,34.24
2024-12-05,BB_DC,Short,PROMACT.BO,13.1,11.38,581.4,581.4,13.35,Target Hit,,NaN,KRBPT,13.1,2024-12-05,13.35
2024-12-05,BB_DC,Short,SIKOZY.BO,1.3,1.22,12500.0,12500.0,1.32,Target Hit,,NaN,KRBPT,1.3,2024-12-05,1.32
2024-12-05,LR_DC,Short,SUNPHARMA.NS,1813.45,1723.4,11.1,11.1,1948.29,Target Hit,,NaN,KRBPT,1813.45,2024-12-05,1948.29
