Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
360ONE.NS,12/5/2024,1119.35,14.00,0.00,22.00,14.00,1198.64,1174.42,1150.20,1
3RDROCK.NS,12/4/2024,64.60,322.00,0.00,,322.00,,,,1
21STCENMGM.NS,12/5/2024,99.30,3.00,0.00,18.00,3.00,101.11,99.28,97.46,1
5PAISA.NS,12/5/2024,506.00,9.00,0.00,22.00,9.00,512.39,503.37,494.35,1
20MICRONS.NS,12/5/2024,257.16,10.00,0.00,31.00,10.00,276.92,262.75,248.57,1
4THGEN.BO,12/4/2024,6.55,84.00,0.00,95.00,84.00,6.99,6.70,6.42,1
3IINFOLTD.NS,12/5/2024,28.86,9.00,0.00,18.00,9.00,30.31,29.30,28.29,1
63MOONS.NS,12/5/2024,766.60,13.00,0.00,15.00,13.00,777.41,724.74,672.07,1
^CNXENERGY,12/5/2024,37884.70,10.00,0.00,46.00,10.00,38904.21,38372.79,37841.37,1
^CNXIT,12/5/2024,44806.40,21.00,0.00,55.00,21.00,45413.50,44283.97,43154.45,1
^CNXMETAL,12/5/2024,9282.75,10.00,0.00,19.00,10.00,9358.12,9291.68,9225.24,1
^CNXPSUBANK,12/5/2024,7125.55,10.00,0.00,18.00,10.00,7337.47,7133.69,6929.91,1
^CNXREALTY,12/5/2024,1074.45,14.00,0.00,34.00,14.00,1106.52,1080.37,1054.22,1
AAATECH.NS,12/5/2024,114.53,14.00,0.00,18.00,14.00,121.25,117.94,114.63,1
^NSEBANK,12/5/2024,53603.55,13.00,0.00,47.00,13.00,54202.10,53373.06,52544.03,1
^NSEI,12/5/2024,24708.40,10.00,0.00,46.00,10.00,25034.38,24616.54,24198.70,1
AAKASH.NS,12/5/2024,10.75,12.00,0.00,22.00,12.00,0.00,0.00,0.00,1
AARTECH.BO,12/5/2024,79.22,13.00,0.00,54.00,13.00,93.48,89.30,85.12,1
