Ticker,Date/Time,Close,Mega Buy by Larger Wave ,SL
21STCENMGM.NS,10/30/2024,87,105.42,104.36
21STCENMGM.NS,12/3/2024,87,92.65,91.71
1STCUS.BO,11/6/2024,138,115.35,100.60
1STCUS.BO,12/9/2024,138,119.00,116.65
1STCUS.BO,1/7/2025,138,130.25,125.15
20MICRONS.NS,11/22/2024,232,223.18,219.35
20MICRONS.NS,12/30/2024,232,229.31,225.70
360ONE.NS,10/29/2024,1127,1005.40,982.00
360ONE.NS,11/18/2024,1127,1038.63,1001.05
3PLAND.NS,10/29/2024,50,36.53,34.05
3PLAND.NS,11/29/2024,50,57.16,34.05
3PLAND.NS,12/12/2024,50,56.70,55.60
3PLAND.NS,12/26/2024,50,61.68,60.50
3MINDIA.NS,10/31/2024,29024,34931.05,33131.60
3MINDIA.NS,11/26/2024,29024,31514.75,30629.00
5PAISA.NS,10/28/2024,423,490.67,480.00
5PAISA.NS,11/25/2024,423,478.64,466.00
7NR.BO,11/25/2024,5,5.29,4.96
7NR.BO,12/6/2024,5,5.55,4.96
63MOONS.NS,10/28/2024,831,465.00,436.10
63MOONS.NS,11/11/2024,831,588.20,555.00
63MOONS.NS,11/18/2024,831,567.74,550.65
63MOONS.NS,12/16/2024,831,895.50,550.65
63MOONS.NS,12/31/2024,831,845.60,826.00
63MOONS.NS,1/7/2025,831,875.36,826.00
3IINFOLTD.NS,11/25/2024,28,26.72,25.95
3IINFOLTD.NS,12/31/2024,28,27.86,27.75
7TEC.BO,10/31/2024,52,53.46,50.26
7TEC.BO,11/19/2024,52,54.99,53.15
7TEC.BO,11/21/2024,52,56.51,53.15
7TEC.BO,11/22/2024,52,56.26,53.15
7TEC.BO,11/25/2024,52,56.69,53.15
7TEC.BO,11/26/2024,52,55.84,53.15
7TEC.BO,11/27/2024,52,55.88,53.15
7TEC.BO,11/28/2024,52,55.96,53.15
7TEC.BO,11/29/2024,52,54.36,53.50
7TEC.BO,12/2/2024,52,54.16,53.50
7TEC.BO,12/3/2024,52,54.17,53.50
7TEC.BO,12/4/2024,52,54.66,53.50
7TEC.BO,12/5/2024,52,55.25,53.50
7TEC.BO,12/9/2024,52,55.62,53.50
^CNXAUTO,11/22/2024,22833,23238.38,22659.05
^CNXAUTO,12/27/2024,22833,23079.94,22488.30
^CNXENERGY,11/27/2024,33568,36792.15,35440.85
^CNXIT,11/22/2024,43061,42346.70,41035.40
^CNXMETAL,10/30/2024,8268,9307.78,8924.55
^CNXMETAL,11/25/2024,8268,8894.20,8652.15
^CNXPSUBANK,10/29/2024,6145,6571.60,6188.85
^CNXPSUBANK,11/22/2024,6145,6393.66,6163.75
^CNXREALTY,11/22/2024,908,975.20,929.75
^NSEBANK,12/3/2024,48729,52357.87,51693.95
AAATECH.NS,10/28/2024,100,112.57,110.00
AAATECH.NS,11/19/2024,100,107.83,102.17
^NSEI,11/25/2024,23176,24189.47,23263.15
AAIL.BO,10/28/2024,134,100.16,96.00
AAIL.BO,11/19/2024,134,102.75,100.35
AAIL.BO,12/23/2024,134,128.95,123.10
AAKASH.NS,10/30/2024,10,10.77,10.51
AAKASH.NS,11/22/2024,10,10.45,10.24
AARNAV.BO,12/30/2024,61,58.54,53.00
AANCHALISP.BO,10/29/2024,5,5.19,5.07
AANCHALISP.BO,11/14/2024,5,5.39,5.21
AANCHALISP.BO,12/24/2024,5,5.08,4.98
AANCHALISP.BO,12/27/2024,5,5.16,4.98
AARON.NS,10/28/2024,352,260.85,252.00
AARON.NS,11/19/2024,352,293.08,268.60
AARON.NS,11/28/2024,352,317.15,310.00
AARON.NS,12/13/2024,352,339.86,310.00
AARON.NS,1/1/2025,352,366.73,344.60
AARTECH.BO,11/18/2024,78,62.01,58.38
AARTECH.BO,12/19/2024,78,74.18,72.56
AANANDALAK.BO,9/13/2024,20,18.24,4.76
AANANDALAK.BO,12/11/2024,20,18.36,4.76
AARTIDRUGS.NS,12/24/2024,420,440.26,419.55
AARTISURF.NS,10/30/2024,602,717.80,678.00
AARTISURF.NS,11/28/2024,602,631.50,617.10
AARVI.NS,10/28/2024,124,140.74,137.60
AARVI.NS,11/22/2024,124,132.63,130.00
AARTIIND.NS,10/28/2024,409,491.16,480.40
AARTIIND.NS,11/25/2024,409,436.44,422.60
AARTIIND.NS,1/10/2025,409,405.79,390.25
AARTIIND.NS,1/14/2025,409,406.63,390.25
AARVEEDEN.NS,10/29/2024,132,43.03,41.25
ABANSENT.BO,10/25/2024,36,30.29,28.85
ABANSENT.BO,10/28/2024,36,27.71,27.00
ABANSENT.BO,10/30/2024,36,26.70,25.10
ABANSENT.BO,11/4/2024,36,31.73,25.10
ABANSENT.BO,11/5/2024,36,31.60,25.10
