Date/Time,Ticker,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2025-01-14,A2ZINFRA.NS,1.0,,,BB,EW,,,23.0,,,2.0,0.0,,,,,3563.0,_DC,84.03,570.0,4.21,14.62,20.42,,,26.8,20.42,,EWBB_DC,23.440000534057617,388.0,0.019130458002505096
2025-01-14,AARTIIND.NS,0.0,,,,EW,,,409.0,,,0.0,1.0,,,,,3563.0,_BW,15.52,3010.0,-0.04,-20.17,390.25,,,765.5,390.25,,EW_BW,428.6499938964844,53.0,0.04804399485693001
2025-01-14,ACME.BO,0.0,,,BB,EW,,,42.0,,,0.0,0.0,,,,,3563.0,_DC,27.54,2582.0,2.3,-12.25,38.58,,,84.04,38.58,,EWBB_DC,44.290000915527344,292.0,0.054523831322079615
2025-01-14,ACROW.BO,0.0,,,,EW,,,727.0,,,1.0,20.0,,,,,3563.0,_DC,52.89,1679.0,3.92,-3.36,692.0,,,926.0,692.0,,EW_DC,726.8499755859375,29.0,-0.00020636095469394773
2025-01-14,ADANIGREEN.NS,1.0,,,BB,EW,,,1007.0,,,0.0,7.0,,,,,3563.0,_W,12.91,3103.0,8.51,-25.08,885.0,,,2091.0,885.0,,EWBB_W,1033.0,8.0,0.025819265143992055
2025-01-14,ADANIPOWER.NS,1.0,,,,EW,,,537.0,,,0.0,8.0,,,,,3563.0,_DC,45.17,1954.0,14.61,-6.28,445.0,,,752.9,445.0,,EW_DC,551.4000244140625,11.0,0.026815687921904096
2025-01-14,ADARSHPL.BO,0.0,,,,EW,,,33.0,,,5.0,0.0,,,,,3563.0,_BW,69.51,1087.0,-0.32,3.31,29.33,,,40.0,29.33,,EW_BW,33.9900016784668,272.0,0.030000050862630207
2025-01-14,ADMANUM.BO,1.0,,,,EW,,,86.0,,,0.0,0.0,,,,,3563.0,_BW,72.96,964.0,4.29,5.16,81.85,,,108.94,81.85,,EW_BW,88.0,241.0,0.023255813953488372
2025-01-14,ADSL.NS,1.0,,ATR,BB,EW,,,228.0,,,0.0,0.0,,,,,3563.0,_DC,57.1,1529.0,7.65,-1.68,199.42,,,315.0,199.42,,ATREWBB_DC,219.0,35.0,-0.039473684210526314
2025-01-14,AIMCOPEST.BO,,,,BB,EW,,,102.0,,,0.0,0.0,,,,,3563.0,_W,10.08,3204.0,,,93.0,,,106.0,92.0,,EWBB_W,105.2300033569336,100.0,0.03166669957778033
2025-01-14,ALANKIT.NS,1.0,,,,EW,,,21.0,,,0.0,0.0,,,,,3563.0,_W,51.49,1729.0,7.69,-3.79,18.9,,,25.57,18.9,,EW_W,20.219999313354492,476.0,-0.037142889840262275
2025-01-14,ALBERTDAVD.NS,1.0,,,,EW,,,1239.0,,,0.0,0.0,,,,,3563.0,_W,54.04,1638.0,5.31,-2.91,1160.5,,,1540.0,1160.5,,EW_W,1237.0,13.0,-0.0016142050040355124
2025-01-14,ALEXANDER.BO,,,,,EW,,,15.0,,,0.0,,,,,,3563.0,_DC,10.08,3204.0,,,11.85,,,18.95,11.85,,EW_DC,14.739999771118164,317.0,-0.017333348592122395
2025-01-14,ALPA.NS,1.0,,ATR,,EW,,,124.0,,,15.0,0.0,,,,,3563.0,_BW,87.14,459.0,8.41,18.57,110.0,,,137.3,110.0,,ATREW_BW,126.0,71.0,0.016129032258064516
2025-01-14,AMAL.BO,1.0,,,BB,,,ZZ,525.35,0.0,18.0,0.0,0.0,476.05,499.23,522.4,,3563.0,_UC,92.62,264.0,10.57,30.91,,12.0,12.0,533.25,295.5,,BB_UC,540.0,4.0,0.02788617112401252
