Ticker,Last Alert Date,Buy Price,Target,Call,Status
1STCUS.BO,2025-01-07,130.25,,Long,Open
20MICRONS.NS,2025-01-03,,257.93,Short,Close
21STCENMGM.NS,2024-12-06,,100.78,Short,Close
360ONE.NS,2025-01-03,,1306.05,Short,Close
3IINFOLTD.NS,2025-01-01,,32.25,Short,Close
3MINDIA.NS,2024-11-29,,32232.95,Short,Close
3PLAND.NS,2024-12-26,61.68,,Long,Open
4THGEN.BO,2024-09-16,5.67,,Long,Open
5PAISA.NS,2024-12-10,,511.08,Short,Close
63MOONS.NS,2025-01-07,875.36,,Long,Open
7NR.BO,2024-12-06,5.55,,Long,Open
7SEASL.BO,2025-01-08,,89.57,Short,Close
7TEC.BO,2024-12-17,,58.3,Short,Close
A2ZINFRA.NS,2025-01-14,20.95,,Long,Open
AAATECH.NS,2024-12-06,,117.01,Short,Close
AAIL.BO,2025-01-03,,146.58,Short,Close
AAKASH.NS,2024-12-02,,11.22,Short,Close
AANANDALAK.BO,2024-12-20,,24.3,Short,Close
AANCHALISP.BO,2025-01-02,,5.49,Short,Close
AARNAV.BO,2025-01-08,,69.48,Short,Close
AARON.NS,2025-01-03,,379.6,Short,Close
AARTECH.BO,2025-01-07,,99.84,Short,Close
AARTIDRUGS.NS,2024-12-24,440.26,,Long,Open
AARTIIND.NS,2025-01-14,406.63,,Long,Open
AARTISURF.NS,2024-12-11,,668.71,Short,Close
AARVEEDEN.NS,2024-10-29,43.03,,Long,Open
AARVI.NS,2024-12-12,,148.28,Short,Close
AAVAS.NS,2024-09-23,,1907.79,Short,Close
AAYUSH.BO,2024-12-23,,138.16,Short,Close
ABAN.NS,2024-12-10,,71.15,Short,Close
ABANSENT.BO,2025-01-01,,41.08,Short,Close
ABB.NS,2024-12-16,,7880.14,Short,Close
ABBOTINDIA.BO,2025-01-01,,29973.74,Short,Close
ABBOTINDIA.NS,2024-08-21,27946.75,,Long,Open
ABCAPITAL.NS,2024-12-11,,201.61,Short,Close
ABCINDQ.BO,2025-01-08,,118.13,Short,Close
ABFRL.NS,2024-12-02,,321.49,Short,Close
ABHICAP.BO,2025-01-01,152.23,,Long,Open
ABHIFIN.BO,2024-12-19,47.81,,Long,Open
ABHIINFRA.BO,2024-12-05,4.61,,Long,Open
ABIRAFN.BO,2025-01-01,66.33,,Long,Open
ABMKNO.BO,2025-01-13,212.99,,Long,Open
ABVL.BO,2024-12-31,,204.57,Short,Close
ACC.NS,2024-12-03,,2292.55,Short,Close
ACCEL.BO,2024-12-05,,24.32,Short,Close
ACCELYA.NS,2025-01-07,,1565.79,Short,Close
ACCURACY.NS,2025-01-03,,11.24,Short,Close
ACE.NS,2025-01-02,,1560.23,Short,Close
ACEINTEG.NS,2024-12-04,,34.54,Short,Close
ACEMEN.BO,2024-12-17,,91.29,Short,Close
ACESOFT.BO,2024-12-23,306.04,,Long,Open
ACGL.BO,2024-12-10,,2442.67,Short,Close
ACIIN.BO,2025-01-02,,2.8,Short,Close
ACKNIT.BO,2025-01-13,,281.91,Short,Close
ACL.NS,2025-01-01,,85.92,Short,Close
ACME.BO,2025-01-14,41.3,,Long,Open
ACML.BO,2024-12-05,,71.74,Short,Close
ACROW.BO,2025-01-14,724.71,,Long,Open
ACTIVE.BO,2025-01-07,103.73,,Long,Open
ADANIENT.NS,2025-01-02,,2585.75,Short,Close
ADANIGREEN.NS,2025-01-14,927.72,,Long,Open
ADANIPORTS.NS,2024-12-26,1199.16,,Long,Open
ADANIPOWER.NS,2025-01-14,479.93,,Long,Open
ADARSHPL.BO,2025-01-14,31.47,,Long,Open
ADCINDIA.BO,2024-12-06,,1882.61,Short,Close
ADCON.BO,2025-01-06,,1.09,Short,Close
ADDIND.BO,2024-12-09,,42.51,Short,Close
ADFFOODS.NS,2025-01-07,284.71,,Long,Open
ADIEXRE.BO,2025-01-06,,66.44,Short,Close
ADINATH.BO,2024-12-10,,29.15,Short,Close
ADITYA.BO,2025-01-01,10.16,,Long,Open
ADITYASP.BO,2024-12-04,,29.36,Short,Close
ADL.NS,2025-01-02,,100.18,Short,Close
ADMANUM.BO,2025-01-14,82.99,,Long,Open
ADORFO.BO,2024-09-10,133.05,,Long,Open
ADORMUL.BO,2024-12-11,,33.95,Short,Close
ADORWELD.NS,2024-12-02,,1236.26,Short,Close
ADROITINFO.NS,2024-11-19,,23.73,Short,Close
ADSL.NS,2025-01-14,212.14,,Long,Open
ADVAIT.BO,2025-01-03,,1619.4,Short,Close
ADVANIHOTR.NS,2024-12-11,,73.3,Short,Close
ADVENZYMES.NS,2024-12-10,,397.13,Short,Close
ADVIKCA.BO,2024-12-06,,2.38,Short,Close
ADVPETR-B.BO,2025-01-09,188.01,,Long,Open
AEGISCHEM.NS,2024-07-26,,892.86,Short,Close
AEGISLOG.BO,2025-01-08,,1009.04,Short,Close
AEL.BO,2025-01-10,,228.56,Short,Close
AFEL.BO,2024-11-19,,24.56,Short,Close
AFFLE.NS,2024-12-16,,1857.75,Short,Close
AGARIND.NS,2024-12-18,,1358.13,Short,Close
AGIIL.BO,2024-12-13,,1871.19,Short,Close
AGIOPAPER.BO,2025-01-06,7.07,,Long,Open
AGRITECH.NS,2025-01-13,,183.59,Short,Close
AGROPHOS.NS,2024-12-23,41.16,,Long,Open
AHLADA.NS,2025-01-07,93.18,,Long,Open
AHLEAST.NS,2024-12-09,,183.13,Short,Close
AHLUCONT.NS,2024-12-11,,1148.83,Short,Close
AHMDSTE.BO,2025-01-02,,312.5,Short,Close
AIAENG.NS,2024-08-12,,4897.94,Short,Close
AICHAMP.BO,2024-12-26,,58.44,Short,Close
AIIL.BO,2025-01-03,,1981.47,Short,Close
AIMCOPEST.BO,2025-01-14,100.75,,Long,Open
AIRAN.NS,2025-01-08,,36.01,Short,Close
AIROLAM.NS,2024-12-26,131.01,,Long,Open
AJANTPHARM.NS,2024-12-27,2867.16,,Long,Open
AJANTSOY.BO,2025-01-06,,57.36,Short,Close
