Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target
2025-01-14,EWBB_DC,Long,A2ZINFRA.NS,23.0,20.42,387.6,387.6,,,,,KRBPT,22.56,2025-01-14,
2025-01-14,EW_BW,Long,AARTIIND.NS,409.0,390.25,53.33,53.33,,,,,KRBPT,409.35,2025-01-14,
2025-01-14,EWBB_DC,Long,ACME.BO,42.0,38.58,292.4,292.4,,,,,KRBPT,42.21,2025-01-14,
2025-01-14,EW_DC,Long,ACROW.BO,727.0,692.0,28.57,28.57,,,,,KRBPT,726.85,2025-01-14,
2025-01-14,EWBB_W,Long,ADANIGREEN.NS,1007.0,885.0,8.2,8.2,,,,,KRBPT,1006.85,2025-01-14,
2025-01-14,EW_DC,Long,ADANIPOWER.NS,537.0,445.0,10.87,10.87,,,,,KRBPT,537.0,2025-01-14,
2025-01-14,EW_BW,Long,ADARSHPL.BO,33.0,29.33,272.48,272.48,,,,,KRBPT,32.85,2025-01-14,
2025-01-14,EW_BW,Long,ADMANUM.BO,86.0,81.85,240.96,240.96,,,,,KRBPT,85.94,2025-01-14,
2025-01-14,ATREWBB_DC,Long,ADSL.NS,228.0,199.42,34.99,34.99,,,,,KRBPT,228.41,2025-01-14,
2025-01-14,EWBB_W,Long,AIMCOPEST.BO,102.0,92.0,100.0,100.0,,,,,KRBPT,101.91,2025-01-14,
2025-01-14,EW_W,Long,ALANKIT.NS,21.0,18.9,476.19,476.19,,,,,KRBPT,20.74,2025-01-14,
2025-01-14,EW_W,Long,ALBERTDAVD.NS,1239.0,1160.5,12.74,12.74,,,,,KRBPT,1239.0,2025-01-14,
2025-01-14,EW_DC,Long,ALEXANDER.BO,15.0,11.85,317.46,317.46,,,,,KRBPT,14.64,2025-01-14,
2025-01-14,ATREW_BW,Long,ALPA.NS,124.0,110.0,71.43,71.43,,,,,KRBPT,123.79,2025-01-14,
2025-01-14,BB_UC,Long,AMAL.BO,525.35,295.5,4.35,4.35,,,,,KRBPT,525.35,2025-01-14,
2025-01-14,EW_W,Long,ANDREWYU.BO,40.0,36.25,266.67,266.67,,,,,KRBPT,39.83,2025-01-14,
2025-01-14,EW_BW,Long,ANUPAM.BO,2.0,1.81,5263.16,5263.16,,,,,KRBPT,1.96,2025-01-14,
2025-01-14,BB_W,Short,APLAB.BO,79.5,75.16,230.41,230.41,92.96,Target Hit,,,KRBPT,79.5,2025-01-14,92.96
2025-01-14,EW_UC,Long,APOLLO.NS,129.0,92.55,27.43,27.43,,,,,KRBPT,128.96,2025-01-14,
2025-01-14,EW_UC,Long,ARCEEIN.BO,6.0,5.33,1492.54,1492.54,,,,,KRBPT,5.93,2025-01-14,
2025-01-14,BB_DC,Short,ARCFIN.BO,1.36,1.22,7142.86,7142.86,1.52,Target Hit,,,KRBPT,1.36,2025-01-14,1.52
2025-01-14,BB_DC,Short,ARIES.NS,264.9,246.7,54.95,54.95,302.26,Target Hit,,,KRBPT,264.9,2025-01-14,302.26
2025-01-14,BB_W,Short,ARMANFIN.NS,1284.65,1176.0,9.2,9.2,1302.94,Target Hit,,,KRBPT,1284.65,2025-01-14,1302.94
2025-01-14,EW_DC,Long,AROGRANITE.NS,45.0,41.26,267.38,267.38,,,,,KRBPT,44.96,2025-01-14,
2025-01-14,EW_DC,Long,ARUNAHTEL.BO,11.0,9.55,689.66,689.66,,,,,KRBPT,10.81,2025-01-14,
2025-01-14,ATR_DC,Short,ASHIMASYN.NS,31.8,29.1,370.37,370.37,33.79,Target Hit,,,KRBPT,31.8,2025-01-14,33.79
2025-01-14,EW_W,Long,ASHSI.BO,40.0,31.5,117.65,117.65,,,,,KRBPT,39.73,2025-01-14,
2025-01-14,BB_DC,Long,ASIANHOTNR.NS,296.55,165.4,7.62,7.62,,,,,KRBPT,296.55,2025-01-14,
2025-01-14,BB_DC,Short,ASINPET.BO,8.69,8.65,25000.0,25000.0,17.5,Target Hit,,,KRBPT,8.69,2025-01-14,17.5
2025-01-14,EW_UC,Long,ATGL.NS,670.0,620.6,20.24,20.24,,,,,KRBPT,669.8,2025-01-14,
2025-01-14,EW_DC,Long,AVAILFC.BO,281.0,257.1,41.84,41.84,,,,,KRBPT,280.8,2025-01-14,
2025-01-14,EW_BW,Long,AVANTIFEED.NS,619.0,572.0,21.28,21.28,,,,,KRBPT,619.4,2025-01-14,
2025-01-14,EW_DC,Long,BALAXI.NS,78.0,67.0,90.91,90.91,,,,,KRBPT,77.94,2025-01-14,
2025-01-14,EW_DC,Long,BALRAMCHIN.NS,497.0,457.2,25.13,25.13,,,,,KRBPT,497.0,2025-01-14,
