Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target
2000-01-01,Amjath,Long,ABSMARINE.NS,323.09,,500,,NaN,,,,Amjath,,,
2000-01-03,Amjath,Long,ARE_M.NS,1360.32,,81,,NaN,,,,Amjath,,,
2000-01-11,Amjath,Long,CYIENTDLM.NS,723.16,,40,,NaN,,,,Amjath,,,
2000-01-12,Amjath,Long,GENSOL.NS,1029.67,,75,,NaN,,,,Amjath,,,
2000-01-13,Amjath,Long,GPECO.NS,450,,600,,NaN,,,,Amjath,,,
2000-01-19,Amjath,Long,HMAAGRO.NS,71.37,,120,,NaN,,,,Amjath,,,
2000-01-22,Amjath,Long,K2INFRA.NS,306.68,,600,,NaN,,,,Amjath,,,
2000-01-23,Amjath,Long,KPIGREEN.NS,817.79,,359,,NaN,,,,Amjath,,,
2000-01-25,Amjath,Long,NTPCGREEN.NS,108,,62,,NaN,,,,Amjath,,,
2000-02-05,Amjath,Long,WAAREEENER.NS,3393.14,,8,,NaN,,,,Amjath,,,
2024-09-17,PR_UC,Long,INDOTHAI.NS.NS,680,236,2,,NaN,,,,Googlesheet,,,
2024-12-04,LR_W,Long,BGRENERGY.NS,41,34.9,155,,NaN,,,,Googlesheet,123.8,2024-12-09,NaN
2025-01-07,BB_UC,Long,ATHCON.BO,9.18,NaN,NaN,NaN,NaN,,NaN,NaN,KRBPT,9.18,2025-01-07,NaN
2025-01-13,EW_DC,Long,GGENG.BO,1,1.31,NaN,NaN,NaN,,NaN,NaN,KRBPT,1.64,2025-01-13,NaN
2000-01-30,Amjath,Long,SHAKTIPUMP.BO,797.27,,56,,NaN,,,,Amjath,4288.5,,
2025-01-08,BB_W,Long,TANVI.BO,152.9,NaN,NaN,NaN,NaN,,NaN,NaN,KRBPT,152.9,2025-01-08,NaN
2025-01-14,EWBB_DC,Long,A2ZINFRA.NS,23,20.42,387.6,387.6,NaN,,NaN,NaN,KRBPT,22.56,2025-01-14,NaN
2025-01-14,EW_BW,Long,AARTIIND.NS,409,390.25,53.33,53.33,NaN,,NaN,NaN,KRBPT,409.35,2025-01-14,NaN
2025-01-14,EWBB_DC,Long,ACME.BO,42,38.58,292.4,292.4,NaN,,NaN,NaN,KRBPT,42.21,2025-01-14,NaN
2025-01-14,EW_DC,Long,ACROW.BO,727,692,28.57,28.57,NaN,,NaN,NaN,KRBPT,726.85,2025-01-14,NaN
2024-12-30,BB_W,Long,ADANIGREEN.NS,1075.65,870.25,4.87,4.87,NaN,,NaN,NaN,KRBPT,1006.85,2024-12-30,NaN
2025-01-14,EWBB_W,Long,ADANIGREEN.NS,1007,885,8.2,8.2,NaN,,NaN,NaN,KRBPT,1006.85,2025-01-14,NaN
2024-12-30,EW_DC,Long,CMICABLES.NS,5,3.95,952.38,952.38,NaN,,NaN,NaN,KRBPT,5.06,2024-12-30,NaN
2025-01-13,EW,Long,CMMHOSP.BO,41,38.57,411.52,411.52,NaN,,NaN,NaN,KRBPT,42.52,2025-01-13,NaN
2025-01-10,EW_DC,Long,COARO.BO,36,34.6,714.29,714.29,NaN,,NaN,NaN,KRBPT,36.33,2025-01-10,NaN
2025-01-14,EW_W,Long,COCHINSHIP.NS,1428,1357.05,14.09,14.09,NaN,,NaN,NaN,KRBPT,1427.5,2025-01-14,NaN
2025-01-03,EW_UC,Long,COMSYN.BO,82,53.1,34.6,34.6,NaN,,NaN,NaN,KRBPT,79.35,2025-01-03,NaN
2024-12-24,ATREW_UC,Long,COMSYN.BO,89,53.1,27.86,27.86,NaN,,NaN,NaN,KRBPT,79.35,2024-12-24,NaN
2025-01-14,EW_BW,Long,CONCORD.BO,38,34.25,266.67,266.67,NaN,,NaN,NaN,KRBPT,37.72,2025-01-14,NaN
2025-01-06,EW_UC,Long,CONTICON.BO,13,9.27,268.1,268.1,NaN,,NaN,NaN,KRBPT,10.39,2025-01-06,NaN
2025-01-01,EW_DC,Long,CORNE.BO,10,9.64,2777.78,2777.78,NaN,,NaN,NaN,KRBPT,11.99,2025-01-01,NaN
2025-01-09,BB_DC,Long,CORNE.BO,11.67,9.64,492.61,492.61,NaN,,NaN,NaN,KRBPT,11.99,2025-01-09,NaN
2025-01-14,LR_DC,Long,CORNE.BO,11.99,9.64,425.53,425.53,NaN,,NaN,NaN,KRBPT,11.99,2025-01-14,NaN
2025-01-14,EW_UC,Long,CREDITACC.NS,959,810,6.71,6.71,NaN,,NaN,NaN,KRBPT,959.05,2025-01-14,NaN
2025-01-14,EW_UC,Long,CREST.NS,435,398.2,27.17,27.17,NaN,,NaN,NaN,KRBPT,434.85,2025-01-14,NaN
2025-01-13,ATREW_BW,Long,CSURGSU.BO,155,120.5,28.99,28.99,NaN,,NaN,NaN,KRBPT,138.45,2025-01-13,NaN
2025-01-03,EW_UC,Long,CTL.BO,52,40.05,83.68,83.68,NaN,,NaN,NaN,KRBPT,47.12,2025-01-03,NaN
2024-12-24,EW_UC,Long,ELANGO.BO,13,10.62,420.17,420.17,NaN,,NaN,NaN,KRBPT,11.83,2024-12-24,NaN
2025-01-10,EW_BW,Long,ELANGO.BO,11,10.21,1265.82,1265.82,NaN,,NaN,NaN,KRBPT,11.83,2025-01-10,NaN
2024-12-16,ATREWBB_BW,Long,EMAMIPAP.NS,125,97.25,36.04,36.04,NaN,,NaN,NaN,KRBPT,104.77,2024-12-16,103.66
2025-01-14,ATR_UC,Long,EMERALD.BO,144.9,58,11.51,11.51,NaN,,NaN,NaN,KRBPT,144.9,2025-01-14,NaN
2025-01-09,BB_W,Long,ENBETRD.BO,12.11,11.74,2702.7,2702.7,NaN,,NaN,NaN,KRBPT,12.22,2025-01-09,NaN
2025-01-14,EW_DC,Long,ENERGYDEV.NS,25,23.33,598.8,598.8,NaN,,NaN,NaN,KRBPT,24.64,2025-01-14,NaN
2025-01-14,EW_DC,Long,EPSOMPRO.BO,8,7.52,2083.33,2083.33,NaN,,NaN,NaN,KRBPT,7.9,2025-01-14,NaN
2025-01-02,BB_DC,Long,ESCORTS.NS,3351.9,3102,4,4,NaN,,NaN,NaN,KRBPT,3439,2025-01-02,NaN
2024-12-26,BB_W,Long,VRWODAR.BO,5.26,NaN,NaN,NaN,NaN,,NaN,NaN,KRBPT,8.92,2024-12-27,NaN
2025-01-13,EW_DC,Long,IGCIL.BO,8,6.9,909.09,909.09,NaN,,NaN,NaN,KRBPT,8,2025-01-13,NaN
2025-01-09,EW_DC,Long,ADVPETR-B.BO,188,179,111.11,111.11,NaN,,NaN,NaN,KRBPT,215.35,2025-01-09,NaN
2025-01-09,EW_DC,Long,ANSINDUS.BO,9,8.72,3571.43,3571.43,NaN,,NaN,NaN,KRBPT,9.98,2025-01-09,NaN
2025-01-14,EWBB_W,Long,JBMA.NS,1573,1391,5.49,5.49,NaN,,NaN,NaN,KRBPT,1572.9,2025-01-14,NaN
2025-01-07,ATREWBB_DC,Long,JINDRILL.NS,798,570.1,4.39,4.39,NaN,,NaN,NaN,KRBPT,719.9,2025-01-07,NaN
2024-12-26,EW_W,Long,JJFINCOR.BO,44,36.1,126.58,126.58,NaN,,NaN,NaN,KRBPT,61.85,2024-12-27,NaN
2025-01-01,EW_W,Long,JJFINCOR.BO,43,36.1,144.93,144.93,NaN,,NaN,NaN,KRBPT,61.85,2025-01-01,NaN
2025-01-13,EW_BW,Long,JLL.BO,44,41.09,343.64,343.64,NaN,,NaN,NaN,KRBPT,45.34,2025-01-13,NaN
2025-01-14,EW_BW,Long,JMGCORP.BO,5,4.68,3125,3125,NaN,,NaN,NaN,KRBPT,5.14,2025-01-14,NaN
2025-01-09,ATRBB_UC,Long,JSHL.BO,5.7,3.87,546.45,546.45,NaN,,NaN,NaN,KRBPT,6.58,2025-01-09,NaN
2025-01-07,ATREW_UC,Long,JSHL.BO,5,3.87,884.96,884.96,NaN,,NaN,NaN,KRBPT,6.58,2025-01-07,NaN
2025-01-01,ATREWBB_W,Long,JUPITERIN.BO,55,33.65,46.84,46.84,NaN,,NaN,NaN,KRBPT,46.36,2025-01-01,NaN
2025-01-14,EW_BW,Long,KACHCHH.BO,29,25.05,253.16,253.16,NaN,,NaN,NaN,KRBPT,28.66,2025-01-14,NaN
2024-10-25,BBEW_DC,Long,KAMATHOTEL.NS,222,175,21,,NaN,,,,Googlesheet,205.69,2024-12-09,NaN
2024-11-21,EWBB_DC,Long,KAMATHOTEL.NS,207,188.11,53,,NaN,,,,Googlesheet,205.69,2024-12-09,NaN
2024-11-25,BB_W,Long,KAMATHOTEL.NS,206,175,32,,NaN,,,,Googlesheet,205.69,2024-12-09,NaN
2024-12-09,ATR_W,Long,KAMATHOTEL.NS,233.05,175,17.23,17.23,NaN,,NaN,NaN,KRBPT,205.69,2024-12-09,NaN
2025-01-10,EW_UC,Long,KANDAGIRI.BO,32,28.8,312.5,312.5,NaN,,NaN,NaN,KRBPT,32,2025-01-10,NaN
2025-01-01,EW_W,Long,KANPRPLA.NS,130,111.65,54.5,54.5,NaN,,NaN,NaN,KRBPT,124.68,2025-01-01,NaN
2025-01-14,EW_UC,Long,KANSHST.BO,29,27,500,500,NaN,,NaN,NaN,KRBPT,28.52,2025-01-14,NaN
2025-01-14,EW_DC,Long,KCDGROUP.BO,9,8.01,1010.1,1010.1,NaN,,NaN,NaN,KRBPT,8.7,2025-01-14,NaN
2025-01-14,EW_W,Long,KCPSUGIND.NS,43,38.3,212.77,212.77,NaN,,NaN,NaN,KRBPT,43.03,2025-01-14,NaN
2025-01-07,EW_W,Long,KITEX.NS,694,630,15.62,15.62,NaN,,NaN,NaN,KRBPT,730.25,2025-01-07,NaN
2025-01-14,EW_DC,Long,KKCL.NS,546,510,27.78,27.78,NaN,,NaN,NaN,KRBPT,546.2,2025-01-14,NaN
2024-12-30,EW_BW,Long,KKPLASTICK.BO,23,21.95,952.38,952.38,NaN,,NaN,NaN,KRBPT,31.73,2024-12-30,NaN
2024-12-30,EW_DC,Long,KLGCAP.BO,19,17.58,704.23,704.23,NaN,,NaN,NaN,KRBPT,18.97,2024-12-30,NaN
2025-01-03,EW_UC,Long,BERLDRG.BO,37,31.5,181.82,181.82,NaN,,NaN,NaN,KRBPT,34.05,2025-01-03,NaN
2025-01-10,EW,Long,KANUNGO.BO,8,7.25,1333.33,1333.33,NaN,,NaN,NaN,KRBPT,8.15,2025-01-10,NaN
2024-12-13,ATR_BW,Long,KAPILRAJ.BO,43,35.25,129.03,129.03,NaN,,NaN,NaN,KRBPT,54.8,2024-12-13,NaN
2025-01-13,ATR_BW,Long,KAPILRAJ.BO,53.73,35.25,54.11,54.11,NaN,,NaN,NaN,KRBPT,54.8,2025-01-13,NaN
2025-01-13,EWBB_DC,Long,KEERTHI.BO,91,80.05,91.32,91.32,NaN,,NaN,NaN,KRBPT,85.27,2025-01-13,NaN
2025-01-08,LR_DC,Long,KFBL.BO,78.4,70.25,122.7,122.7,NaN,,NaN,NaN,KRBPT,74.87,2025-01-08,NaN
2025-01-14,EW_BW,Long,MARIS.BO,40,35.67,230.95,230.95,NaN,,NaN,NaN,KRBPT,39.69,2025-01-14,NaN
2025-01-14,EW_W,Long,MARSHALL.NS,20,18.97,970.87,970.87,NaN,,NaN,NaN,KRBPT,20.16,2025-01-14,NaN
2025-01-14,ATR_UC,Long,MAZDA.NS,1875.3,1210,1.5,1.5,NaN,,NaN,NaN,KRBPT,1875.3,2025-01-14,NaN
2025-01-14,ATREW_UC,Long,MAZDOCK.NS,2232,2005,4.41,4.41,NaN,,NaN,NaN,KRBPT,2231.55,2025-01-14,NaN
2025-01-13,ATR_BW,Long,MBAPL.NS,256.7,205.01,19.35,19.35,NaN,,NaN,NaN,KRBPT,263.16,2025-01-13,NaN
2024-12-26,ATR_UC,Long,MEDICO.BO,53.36,43.01,96.62,96.62,NaN,,NaN,NaN,KRBPT,62.82,2024-12-27,NaN
2025-01-14,EW_W,Long,MEDINOV.BO,39,35.1,256.41,256.41,NaN,,NaN,NaN,KRBPT,39.34,2025-01-14,NaN
2025-01-14,EW_BW,Long,MEGRISOFT.BO,175,166.25,114.29,114.29,NaN,,NaN,NaN,KRBPT,175,2025-01-14,NaN
2025-01-03,EW_DC,Long,MEHIF.BO,37,32.49,221.73,221.73,NaN,,NaN,NaN,KRBPT,37.05,2025-01-03,NaN
2025-01-14,EW_BW,Long,MERCURYLAB.BO,915,812,9.71,9.71,NaN,,NaN,NaN,KRBPT,915.15,2025-01-14,NaN
2025-01-03,EW_BW,Long,MFSINTRCRP.BO,19,17.74,793.65,793.65,NaN,,NaN,NaN,KRBPT,19.22,2025-01-03,NaN
2025-01-13,BB_W,Long,MFSINTRCRP.BO,19.22,17.74,675.68,675.68,NaN,,NaN,NaN,KRBPT,19.22,2025-01-13,NaN
2024-12-30,EW_UC,Long,MIDEASTP.BO,11,8.91,478.47,478.47,NaN,,NaN,NaN,KRBPT,15.75,2024-12-30,NaN
2025-01-10,EW_BW,Long,MILESTONE.BO,34,30.4,277.78,277.78,NaN,,NaN,NaN,KRBPT,35.85,2025-01-10,NaN
2025-01-14,ATR_BW,Long,MILESTONE.BO,35.85,30.4,183.49,183.49,NaN,,NaN,NaN,KRBPT,35.85,2025-01-14,NaN
2025-01-07,ATR_UC,Long,MINDACORP.NS,530.5,481.95,20.6,20.6,NaN,,NaN,NaN,KRBPT,541.95,2025-01-07,NaN
2025-01-14,ATR_W,Long,MINDACORP.NS,541.95,481.95,16.67,16.67,NaN,,NaN,NaN,KRBPT,541.95,2025-01-14,NaN
2025-01-14,EW_UC,Long,MIRCELECTR.NS,22,20.01,502.51,502.51,NaN,,NaN,NaN,KRBPT,21.95,2025-01-14,NaN
2025-01-14,BB_W,Long,MITCON.NS,101.37,97.15,236.97,236.97,NaN,,NaN,NaN,KRBPT,101.37,2025-01-14,NaN
2025-01-09,EW_BW,Long,MIVENMACH.BO,103,89,71.43,71.43,NaN,,NaN,NaN,KRBPT,101.65,2025-01-09,NaN
2025-01-14,EW_BW,Long,MIVENMACH.BO,102,89,76.92,76.92,NaN,,NaN,NaN,KRBPT,101.65,2025-01-14,NaN
2025-01-03,BB_DC,Long,MODINATUR.BO,527.05,190,2.97,2.97,NaN,,NaN,NaN,KRBPT,484.15,2025-01-03,NaN
2025-01-01,BB_DC,Long,MODINATUR.BO,547.8,190,2.79,2.79,NaN,,NaN,NaN,KRBPT,484.15,2025-01-01,NaN
2025-01-14,BB_DC,Long,MODIPON.BO,60.94,52.4,117.1,117.1,NaN,,NaN,NaN,KRBPT,60.94,2025-01-14,NaN
2024-12-24,EWBB_DC,Long,AARTIDRUGS.NS,476,419.55,17.71,17.71,NaN,,NaN,NaN,KRBPT,420.05,2024-12-24,NaN
2025-01-07,ATR_W,Long,APOLLO.NS,135.65,92.55,23.2,23.2,NaN,,NaN,NaN,KRBPT,128.96,2025-01-07,NaN
2025-01-07,EW_BW,Long,ARTEFACT.BO,82,70.9,90.09,90.09,NaN,,NaN,NaN,KRBPT,75.2,2025-01-07,NaN
2024-12-31,ATREWBB_W,Long,AVANTIFEED.NS,682,541.5,7.12,7.12,NaN,,NaN,NaN,KRBPT,619.4,2024-12-31,NaN
2024-12-30,ATR_UC,Long,FINELINE.BO,110.15,99.3,92.17,92.17,NaN,,NaN,NaN,KRBPT,109,2024-12-30,NaN
2024-12-17,BB_DC,Long,FRASER.BO,6.28,5.7,1724.14,1724.14,NaN,,NaN,NaN,KRBPT,9.12,2024-12-17,NaN
2025-01-10,ATR_DC,Long,FRASER.BO,9.48,5.7,264.55,264.55,NaN,,NaN,NaN,KRBPT,9.12,2025-01-10,NaN
2025-01-01,EW_BW,Long,GABRIEL.NS,501,405.05,10.42,10.42,NaN,,NaN,NaN,KRBPT,435.7,2025-01-01,NaN
2024-12-31,BB_W,Long,GAJANANSEC.BO,145.35,125,49.14,49.14,NaN,,NaN,NaN,KRBPT,136.2,2024-12-31,NaN
2024-12-13,BB_W,Long,GAYATRIBI.BO,6.99,5.8,840.34,840.34,NaN,,NaN,NaN,KRBPT,7.01,2024-12-13,NaN
2024-10-08,EWBB_DC,Long,GFSTEELS.NS,8,6.9,909,,NaN,,,,Googlesheet,8.64,2024-12-09,NaN
2025-01-10,BB_UC,Long,GSLSEC.BO,35.18,13.51,46.15,46.15,NaN,,NaN,NaN,KRBPT,33.8,2025-01-10,NaN
2025-01-10,BB_W,Long,GTV.BO,547.95,510.1,26.42,26.42,NaN,,NaN,NaN,KRBPT,615.15,2025-01-10,NaN
2024-12-16,LR_W,Long,GUJCMDS.BO,377.7,274.35,9.68,9.68,NaN,,NaN,NaN,KRBPT,421.5,2024-12-16,NaN
2025-01-02,BB_BW,Long,MIDEASTP.BO,13.04,8.91,242.13,242.13,NaN,,NaN,NaN,KRBPT,15.75,2025-01-02,NaN
2025-01-06,BB_UC,Long,MODULEX.BO,31.15,16.35,67.57,67.57,NaN,,NaN,NaN,KRBPT,34.3,2025-01-06,NaN
2025-01-14,ATREW_W,Long,MOTILALOFS.NS,895,816.75,12.78,12.78,NaN,,NaN,NaN,KRBPT,894.55,2025-01-14,NaN
2025-01-07,ATREW_UC,Long,ARVIND.NS,428,308.35,8.36,8.36,NaN,,NaN,NaN,KRBPT,383.95,2025-01-07,NaN
2025-01-07,LR_BW,Long,ASPIRA.BO,67.5,59.1,119.05,119.05,NaN,,NaN,NaN,KRBPT,81,2025-01-07,NaN
