Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target,Last Alert Date
2025-01-15,ATR_BW,Long,360ONE.NS,1193.45,1089.0,9.57,9.57,,,,,KRBPT,1193.45,2025-01-15,,2025-01-14
2025-01-15,ATR_DC,Long,AARVEEDEN.NS,133.95,41.25,10.79,10.79,,,,,KRBPT,133.95,2025-01-15,,2024-10-29
2025-01-15,BB_DC,Short,ABVL.BO,181.75,118.0,15.69,15.69,204.57,Target Hit,,,KRBPT,181.75,2025-01-15,204.57,2024-12-31
2025-01-15,EW_DC,Long,ACCURACY.NS,10.0,9.1,1111.11,1111.11,,,,,KRBPT,10.0,2025-01-15,,2025-01-15
2025-01-15,EW_UC,Long,ACEMEN.BO,86.0,78.0,125.0,125.0,,,,,KRBPT,86.1,2025-01-15,,2025-01-15
2025-01-15,BB_DC,Long,ACROW.BO,748.9,692.0,17.57,17.57,,,,,KRBPT,748.9,2025-01-15,,2025-01-14
2025-01-15,EW_BW,Long,ADANIENT.NS,2388.0,2216.9,5.84,5.84,,,,,KRBPT,2388.15,2025-01-15,,2025-01-15
2025-01-15,EW_DC,Long,ADANIPORTS.NS,1129.0,1058.95,14.28,14.28,,,,,KRBPT,1128.9,2025-01-15,,2025-01-15
2025-01-15,EW_BW,Long,ADITYASP.BO,27.0,25.0,500.0,500.0,,,,,KRBPT,27.44,2025-01-15,,2025-01-15
2025-01-15,EWBB_DC,Long,ADORWELD.NS,1132.0,1038.05,10.64,10.64,,,,,KRBPT,1131.95,2025-01-15,,2025-01-15
2025-01-15,BB_W,Long,AGIOPAPER.BO,7.26,,,,,,,,KRBPT,7.26,2025-01-15,,2025-01-06
2025-01-15,EWBB_W,Long,AIROLAM.NS,130.0,120.31,103.2,103.2,,,,,KRBPT,130.42,2025-01-15,,2025-01-15
2025-01-15,EW_DC,Long,AKSHAR.BO,1.0,0.66,2941.18,2941.18,,,,,KRBPT,0.74,2025-01-15,,2025-01-15
2025-01-15,ATR_W,Long,AKSPINTEX.BO,719.5,193.15,1.9,1.9,,,,,KRBPT,719.5,2025-01-15,,2025-01-06
2025-01-15,EW_DC,Long,ALEMBICLTD.NS,123.0,115.17,127.71,127.71,,,,,KRBPT,122.96,2025-01-15,,2025-01-15
2025-01-15,EW_BW,Long,ALFAVIO.BO,14.0,11.0,333.33,333.33,,,,,KRBPT,13.89,2025-01-15,,2025-01-15
2025-01-15,EWBB_DC,Long,ALOKINDS.NS,21.0,18.35,377.36,377.36,,,,,KRBPT,20.88,2025-01-15,,2025-01-15
2025-01-15,ATR_UC,Long,ANANTRAJ.NS,895.25,635.1,3.84,3.84,,,,,KRBPT,895.25,2025-01-15,,2025-01-14
