Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL
1STCUS.BO,8/13/2024,120,,,127.15,127.15
1STCUS.BO,9/13/2024,120,,89.36,,127.19
1STCUS.BO,9/25/2024,120,,,125.13,126.35
1STCUS.BO,11/6/2024,120,89.35,115.35,,115.35
1STCUS.BO,11/11/2024,120,89.35,,128.93,132.00
4THGEN.BO,9/13/2024,7,,,5.40,6.00
4THGEN.BO,9/16/2024,7,,5.67,,5.67
360ONE.NS,4/1/2024,1093,371.52,683.60,,702.50
360ONE.NS,4/25/2024,1093,362.49,,832.21,900.95
360ONE.NS,5/10/2024,1093,355.98,742.76,,900.95
360ONE.NS,5/24/2024,1093,308.95,,825.44,829.90
360ONE.NS,6/5/2024,1093,308.95,735.30,,829.90
360ONE.NS,7/1/2024,1093,431.65,,1002.86,1065.00
360ONE.NS,7/5/2024,1093,431.65,932.08,,1065.00
360ONE.NS,7/10/2024,1093,425.50,,1015.69,1034.95
360ONE.NS,7/15/2024,1093,425.01,948.47,,1034.95
360ONE.NS,7/31/2024,1093,395.10,,1128.16,1139.10
360ONE.NS,8/7/2024,1093,395.10,989.41,,1215.00
360ONE.NS,9/12/2024,1093,475.00,,1104.03,1119.65
360ONE.NS,10/11/2024,1093,647.00,1037.96,,1080.00
360ONE.NS,10/16/2024,1093,647.00,,1123.01,1128.35
360ONE.NS,10/29/2024,1093,691.40,1005.40,,1143.65
360ONE.NS,10/31/2024,1093,691.40,,1083.25,1095.00
360ONE.NS,11/18/2024,1093,940.00,1038.63,,1099.80
21STCENMGM.NS,3/28/2024,100,20.75,41.19,,51.35
21STCENMGM.NS,4/23/2024,100,37.40,,53.83,54.30
21STCENMGM.NS,4/30/2024,100,25.40,49.44,,55.00
21STCENMGM.NS,5/6/2024,100,25.40,,53.13,53.65
21STCENMGM.NS,5/22/2024,100,20.75,42.91,,54.50
21STCENMGM.NS,7/16/2024,100,16.50,,81.10,81.10
21STCENMGM.NS,7/23/2024,100,16.50,76.09,,81.10
21STCENMGM.NS,9/11/2024,100,17.70,,140.01,141.40
21STCENMGM.NS,10/8/2024,100,40.40,97.69,,141.40
21STCENMGM.NS,10/21/2024,100,42.70,,120.24,120.24
21STCENMGM.NS,10/30/2024,100,42.70,105.42,,122.64
21STCENMGM.NS,11/7/2024,100,42.70,,121.33,121.44
5PAISA.NS,3/27/2024,480,425.00,479.25,,595.75
5PAISA.NS,4/3/2024,480,406.10,,583.04,600.00
5PAISA.NS,4/18/2024,480,385.00,554.50,,605.00
5PAISA.NS,4/24/2024,480,348.45,,574.92,580.25
5PAISA.NS,5/9/2024,480,293.60,513.55,,580.25
5PAISA.NS,5/22/2024,480,267.60,,553.31,561.95
5PAISA.NS,6/6/2024,480,270.75,515.25,,540.00
5PAISA.NS,6/13/2024,480,270.75,,540.08,544.40
5PAISA.NS,7/29/2024,480,270.10,483.50,,491.00
5PAISA.NS,7/31/2024,480,270.10,,489.50,496.00
5PAISA.NS,8/9/2024,480,270.10,472.73,,492.90
5PAISA.NS,9/23/2024,480,579.40,,570.15,575.50
5PAISA.NS,10/10/2024,480,462.60,538.70,,568.70
5PAISA.NS,10/15/2024,480,499.50,,582.34,596.45
5PAISA.NS,10/28/2024,480,458.00,490.67,,607.05
5PAISA.NS,11/1/2024,480,458.00,,522.09,525.00
20MICRONS.NS,3/14/2024,228,48.45,139.30,,174.30
20MICRONS.NS,3/18/2024,228,48.45,,156.81,159.00
20MICRONS.NS,4/1/2024,228,55.50,138.58,,159.00
20MICRONS.NS,5/6/2024,228,67.00,,173.04,177.00
20MICRONS.NS,5/10/2024,228,77.55,160.84,,177.00
20MICRONS.NS,5/16/2024,228,74.50,,189.39,191.65
20MICRONS.NS,5/29/2024,228,60.35,166.70,,194.80
20MICRONS.NS,5/30/2024,228,60.35,,181.89,185.65
20MICRONS.NS,6/6/2024,228,60.35,171.65,,185.65
20MICRONS.NS,7/9/2024,228,76.00,,233.25,236.00
20MICRONS.NS,7/19/2024,228,63.05,209.49,,233.70
20MICRONS.NS,8/2/2024,228,63.05,,283.54,294.80
20MICRONS.NS,8/7/2024,228,63.05,274.42,,302.70
20MICRONS.NS,8/9/2024,228,63.05,,324.01,331.50
20MICRONS.NS,8/16/2024,228,63.05,293.60,,331.50
20MICRONS.NS,8/23/2024,228,63.05,,337.48,348.00
20MICRONS.NS,10/16/2024,228,132.55,278.00,,316.20
20MICRONS.NS,10/21/2024,228,151.85,,314.00,321.00
3PLAND.NS,3/19/2024,56,12.40,29.55,,36.95
3PLAND.NS,3/21/2024,56,12.40,,30.61,31.45
3PLAND.NS,4/1/2024,56,12.25,26.93,,31.45
3PLAND.NS,4/5/2024,56,12.10,,33.94,34.25
3PLAND.NS,4/29/2024,56,14.15,29.99,,35.95
3PLAND.NS,5/3/2024,56,14.00,,33.30,33.55
3PLAND.NS,5/10/2024,56,14.75,29.89,,33.55
3PLAND.NS,5/27/2024,56,13.00,,31.38,32.35
3PLAND.NS,6/7/2024,56,13.00,29.45,,32.35
3PLAND.NS,6/28/2024,56,14.70,,40.44,41.52
3PLAND.NS,7/22/2024,56,19.25,36.13,,38.87
3PLAND.NS,7/23/2024,56,19.25,34.90,37.90,39.40
3PLAND.NS,7/24/2024,56,19.25,35.42,37.27,39.40
3PLAND.NS,7/25/2024,56,19.25,38.05,39.35,40.00
3PLAND.NS,7/26/2024,56,19.25,37.58,38.96,40.00
3PLAND.NS,7/29/2024,56,20.25,37.36,38.85,40.00
3PLAND.NS,7/30/2024,56,20.25,37.41,38.24,40.00
3PLAND.NS,7/31/2024,56,20.25,36.75,38.25,40.00
3PLAND.NS,8/1/2024,56,20.25,36.82,37.44,40.00
3PLAND.NS,8/2/2024,56,20.25,36.41,37.26,40.00
3PLAND.NS,8/5/2024,56,20.15,36.50,37.89,40.00
3PLAND.NS,8/6/2024,56,19.30,36.40,38.13,40.00
3PLAND.NS,8/7/2024,56,18.35,37.71,38.90,39.49
3PLAND.NS,8/8/2024,56,18.35,42.47,45.38,46.84
3PLAND.NS,8/9/2024,56,18.35,51.62,,56.15
3PLAND.NS,8/12/2024,56,18.35,,49.66,56.15
3PLAND.NS,8/16/2024,56,18.35,40.45,,56.15
3PLAND.NS,8/23/2024,56,18.35,,46.61,47.07
3PLAND.NS,9/4/2024,56,18.35,42.34,,48.50
3PLAND.NS,9/9/2024,56,18.35,,44.95,45.90
3PLAND.NS,10/29/2024,56,27.80,36.53,,38.45
63MOONS.NS,2/29/2024,576,84.05,471.15,483.05,552.70
63MOONS.NS,3/1/2024,576,84.05,476.25,488.75,552.70
63MOONS.NS,3/4/2024,576,84.05,463.20,477.60,552.70
63MOONS.NS,3/5/2024,576,84.05,450.01,459.94,552.70
63MOONS.NS,3/6/2024,576,84.05,432.70,444.10,552.70
63MOONS.NS,3/7/2024,576,84.05,440.92,446.78,552.70
63MOONS.NS,3/11/2024,576,84.05,424.20,435.20,552.70
63MOONS.NS,3/12/2024,576,84.05,404.08,413.83,552.70
63MOONS.NS,3/13/2024,576,90.00,,403.24,552.70
63MOONS.NS,3/18/2024,576,87.20,400.31,,552.70
63MOONS.NS,3/21/2024,576,87.20,,408.25,552.70
63MOONS.NS,4/1/2024,576,90.55,390.19,,414.95
63MOONS.NS,4/8/2024,576,90.55,,443.05,463.70
63MOONS.NS,4/15/2024,576,90.55,389.83,,463.70
63MOONS.NS,5/2/2024,576,187.00,,439.88,443.00
63MOONS.NS,5/15/2024,576,140.65,406.88,,443.00
63MOONS.NS,5/23/2024,576,141.05,,419.75,425.90
63MOONS.NS,6/3/2024,576,141.05,338.25,,435.30
63MOONS.NS,6/4/2024,576,141.05,336.40,346.80,435.30
63MOONS.NS,6/5/2024,576,175.20,,326.99,435.30
63MOONS.NS,6/6/2024,576,175.20,333.99,,435.30
63MOONS.NS,6/24/2024,576,140.55,,389.42,394.20
63MOONS.NS,7/24/2024,576,162.00,326.16,,389.00
63MOONS.NS,8/2/2024,576,162.00,,405.86,412.30
63MOONS.NS,9/3/2024,576,239.05,360.35,,360.35
63MOONS.NS,9/9/2024,576,239.05,,425.80,432.40
63MOONS.NS,9/13/2024,576,239.05,396.91,,449.00
63MOONS.NS,9/16/2024,576,239.05,400.04,410.01,449.00
63MOONS.NS,9/17/2024,576,239.05,,391.39,449.00
63MOONS.NS,9/18/2024,576,411.50,380.33,,449.00
63MOONS.NS,9/24/2024,576,392.10,,412.25,416.00
63MOONS.NS,9/30/2024,576,365.00,378.51,,416.00
63MOONS.NS,10/1/2024,576,365.00,,403.07,416.00
63MOONS.NS,10/8/2024,576,365.00,360.50,,428.15
63MOONS.NS,10/15/2024,576,365.00,,528.26,542.50
63MOONS.NS,10/23/2024,576,314.65,449.00,,542.50
