Ticker,Date/Time,Close,myBuy ,myShort
360ONE.NS,11/19/2024,1093,1,
^NSEBANK,11/25/2024,52208,1,
AEL.BO,11/21/2024,210,,1
AJANTPHARM.NS,11/25/2024,2997,1,
ALPA.NS,11/25/2024,111,1,
ANUHPHR.BO,11/21/2024,199,,1
ARTEMISMED.NS,11/19/2024,317,1,
ARROWGREEN.NS,11/21/2024,865,,1
ARVINDFASN.NS,11/25/2024,571,1,
ASHAI.BO,11/19/2024,13,,1
ASALCBR.NS,11/25/2024,930,1,
ASIANHOTNR.NS,11/21/2024,198,1,
BALPHARMA.NS,11/19/2024,134,1,
BHARTIARTL.NS,11/25/2024,1579,1,
BHARATRAS.NS,11/22/2024,11615,1,
BLISSGVS.NS,11/21/2024,132,1,
BLUECHIP.NS,11/19/2024,8,,1
BLUESTARCO.NS,11/25/2024,1848,1,
BRIGADE.NS,11/21/2024,1228,1,
BROOKS.NS,11/22/2024,143,1,
CANTABIL.NS,11/21/2024,227,1,
CEATLTD.NS,11/25/2024,2914,1,
CHEMBOND.NS,11/21/2024,575,,1
CHEMBOND.NS,11/25/2024,575,1,
CGPOWER.NS,11/25/2024,737,1,
COROENGG.BO,11/25/2024,62,,1
CRAFTSMAN.NS,11/22/2024,5216,1,
CROMPTON.NS,11/25/2024,405,1,
DHENUBUILD.BO,11/19/2024,9,,1
EIMCOELECO.NS,11/25/2024,2533,1,
EMAMILTD.NS,11/25/2024,678,1,
GICRE.NS,11/25/2024,394,1,
GODREJPROP.NS,11/22/2024,2943,1,
GPTINFRA.NS,11/25/2024,140,1,
HAVELLS.NS,11/25/2024,1708,1,
ICICIBANK.NS,11/25/2024,1301,1,
INDIGO.NS,11/25/2024,4245,1,
INDOCO.NS,11/22/2024,322,1,
INDOTHAI.NS,11/19/2024,1082,,1
ISHANCH.BO,11/18/2024,56,,1
ISEC.NS,11/25/2024,873,1,
JAICORPLTD.NS,11/25/2024,342,1,
JUBLINGREA.NS,11/25/2024,710,1,
JYOTI.BO,11/18/2024,108,,1
KOTAKBANK.NS,11/25/2024,1791,1,
KOTHARIPRO.NS,11/19/2024,155,1,
KREBSBIO.NS,11/18/2024,98,,1
KUNSTOFF.BO,11/19/2024,33,,1
LLFICL.BO,11/18/2024,10,,1
LWSKNIT.BO,11/21/2024,47,,1
MADHAV.NS,11/25/2024,54,1,
M&M.NS,11/19/2024,3046,1,
MANGCHEFER.NS,11/21/2024,145,,1
MAZDOCK.NS,11/21/2024,4176,,1
MAZDOCK.NS,11/25/2024,4176,1,
METSL.BO,11/21/2024,133,,1
MPILCORPL.BO,11/18/2024,610,,1
MPHASIS.NS,11/25/2024,2982,1,
NAZARA.NS,11/25/2024,948,1,
NBIFIN.NS,11/18/2024,2706,1,
NAUKRI.NS,11/22/2024,8195,1,
NAVA.NS,11/25/2024,1030,1,
NIRAJ.NS,11/21/2024,62,1,
NLCINDIA.NS,11/22/2024,260,1,
OIL.NS,11/25/2024,519,1,
PADMALAYAT.BO,11/19/2024,9,,1
PARMAX.BO,11/22/2024,44,,1
PDMJEPAPER.NS,11/21/2024,140,,1
PEL.NS,11/22/2024,1108,1,
PETRONET.NS,11/25/2024,334,1,
PHARMAID.BO,11/25/2024,71,,1
PITTIENG.NS,11/22/2024,1390,1,
POLYCAB.NS,11/25/2024,6766,1,
PRAJIND.NS,11/22/2024,800,1,
PRESTIGE.NS,11/25/2024,1730,1,
RCF.NS,11/25/2024,161,1,
RICHUNV.BO,11/21/2024,13,,1
SAENTER.BO,11/25/2024,50,,1
SHANTI.NS,11/22/2024,16,1,
SHREEGANES.BO,11/21/2024,1,,1
SHREEPUSHK.NS,11/22/2024,277,,1
SHREERAMA.NS,11/21/2024,44,,1
SIKOZY.BO,11/25/2024,1,,1
SLSTLQ.BO,11/25/2024,43,,1
SNOWMAN.NS,11/22/2024,71,1,
SRPL.NS,11/18/2024,1,,1
SUNTV.NS,11/22/2024,759,1,
SUYOG.BO,11/21/2024,1748,,1
TANFACIND.BO,11/21/2024,2106,,1
TALBROAUTO.NS,11/18/2024,288,,1
TCI.NS,11/18/2024,1096,,1
TIRUSTA.BO,11/21/2024,166,,1
TITAN.NS,11/25/2024,3309,1,
TORNTPHARM.NS,11/25/2024,3267,1,
TRITURBINE.NS,11/19/2024,764,1,
TTKHLTCARE.NS,11/22/2024,1501,1,
TTL.NS,11/22/2024,162,,1
ULTRACEMCO.NS,11/22/2024,11457,1,
V2RETAIL.NS,11/25/2024,1259,1,
VERTEX.BO,11/18/2024,6,,1
VIPCLOTHNG.NS,11/22/2024,45,1,
YURANUS.BO,11/22/2024,89,,1
