Ticker,Date/Time,BullBreak,BearBreak,Pattern,Close
1STCUS.BO,11/19/2024,,,Broadening Wedge,122.95
1STCUS.BO,11/21/2024,,,Broadening Wedge,120.50
1STCUS.BO,11/22/2024,,,Broadening Wedge,120.50
1STCUS.BO,11/25/2024,,,Broadening Wedge,119.95
360ONE.NS,11/19/2024,,,Wedge,1065.50
360ONE.NS,11/21/2024,,,Wedge,1091.70
360ONE.NS,11/22/2024,,,Wedge,1082.40
360ONE.NS,11/25/2024,,,Wedge,1092.65
4THGEN.BO,11/19/2024,,,Up Channel,6.55
4THGEN.BO,11/21/2024,,,Up Channel,6.55
4THGEN.BO,11/22/2024,,,Up Channel,6.55
4THGEN.BO,11/25/2024,,,Up Channel,6.55
20MICRONS.NS,11/19/2024,,,Down Channel,223.80
20MICRONS.NS,11/21/2024,,,Down Channel,219.35
20MICRONS.NS,11/22/2024,,,Down Channel,223.50
20MICRONS.NS,11/25/2024,,,Down Channel,227.95
21STCENMGM.NS,11/19/2024,,,Wedge,105.39
21STCENMGM.NS,11/21/2024,,,Wedge,103.28
21STCENMGM.NS,11/22/2024,,,Wedge,101.21
21STCENMGM.NS,11/25/2024,,,Wedge,99.93
3IINFOLTD.NS,11/19/2024,,,Down Channel,26.65
3IINFOLTD.NS,11/21/2024,,,Down Channel,26.42
3IINFOLTD.NS,11/22/2024,,,Down Channel,26.39
3IINFOLTD.NS,11/25/2024,,,Down Channel,26.61
5PAISA.NS,11/19/2024,,,Down Channel,479.30
5PAISA.NS,11/21/2024,,,Down Channel,471.60
5PAISA.NS,11/22/2024,,,Down Channel,470.60
5PAISA.NS,11/25/2024,,,Down Channel,479.85
3MINDIA.NS,11/19/2024,,,Broadening Wedge,31901.90
3MINDIA.NS,11/21/2024,,,Broadening Wedge,31304.45
3MINDIA.NS,11/22/2024,,,Broadening Wedge,30685.50
3MINDIA.NS,11/25/2024,,,Broadening Wedge,31890.00
63MOONS.NS,11/19/2024,,,Down Channel,587.45
63MOONS.NS,11/21/2024,,,Down Channel,577.85
63MOONS.NS,11/22/2024,,,Down Channel,579.20
63MOONS.NS,11/25/2024,,,Down Channel,575.95
3PLAND.NS,11/19/2024,bullish Breakout,,Broadening Wedge,46.11
3PLAND.NS,11/21/2024,bullish Breakout,,Broadening Wedge,45.74
3PLAND.NS,11/22/2024,bullish Breakout,,Broadening Wedge,47.10
3PLAND.NS,11/25/2024,bullish Breakout,,Broadening Wedge,55.59
7TEC.BO,11/19/2024,,,Down Channel,58.51
7TEC.BO,11/21/2024,,,Down Channel,57.98
