Date/Time,Ticker,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2024-11-25,3PLAND.NS,,ATR,BB,,,ZZ,55.59,0.0,62.0,0.0,0.0,46.82,49.58,52.34,,3525.0,_BW,100.0,1.0,,19.0,19.0,56.52,34.05,,ATRBB_BW,58.43000030517578,46.0,0.05108833072811257
2024-11-25,ABFRL.NS,,,,EW,,,299.0,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,283.75,,,364.4,283.75,,EW_DC,315.8500061035156,66.0,0.05635453546326296
2024-11-25,ACC.NS,,,,EW,,,2145.0,,,1.0,1.0,,,,,3525.0,_DC,100.0,1.0,1868.2,,,2544.9,1868.2,,EW_DC,2195.199951171875,4.0,0.023403240639568765
2024-11-25,ACEINTEG.NS,,,,EW,,,33.0,,,0.0,1.0,,,,,3525.0,_BW,100.0,1.0,28.01,,,36.49,28.01,,EW_BW,32.459999084472656,200.0,-0.016363664106889206
2024-11-25,ACKNIT.BO,,,,EW,,,294.0,,,1.0,1.0,,,,,3525.0,_BW,100.0,1.0,275.0,,,360.0,275.0,,EW_BW,298.25,53.0,0.01445578231292517
2024-11-25,ACROW.BO,,,BB,,,ZZ,763.0,0.0,23.0,3.0,13.0,717.12,750.03,782.94,,3525.0,_W,100.0,1.0,,18.0,18.0,1020.0,666.2,,BB_W,883.25,10.0,0.15760157273918743
2024-11-25,ADSL.NS,,,BB,,,,257.9,,,1.0,7.0,,,,,3525.0,_DC,100.0,1.0,,,,315.0,243.05,,BB_DC,267.45001220703125,67.0,0.03702990386596074
2024-11-25,AEGISLOG.BO,,,,EW,,ZZ,848.0,0.0,12.0,1.0,1.0,868.82,895.96,923.11,,3525.0,_UC,100.0,1.0,745.2,8.0,8.0,857.75,647.9,,EW_UC,845.0,5.0,-0.003537735849056604
2024-11-25,AHLUCONT.NS,,,BB,,,,956.9,,,1.0,1.0,,,,,3525.0,_DC,100.0,1.0,,,,1542.45,915.0,,BB_DC,1000.0,24.0,0.045041279130525684
2024-11-25,AJANTPHARM.NS,,,BB,,LR,ZZ,2996.7,0.0,11.0,0.0,2.0,2976.02,2998.45,3020.89,,3525.0,_DC,100.0,1.0,,6.0,6.0,3485.0,2755.55,,BBLR_DC,2963.050048828125,4.0,-0.011229002293147402
2024-11-25,AJCON.BO,,,BB,,,ZZ,50.51,0.0,5.0,9.0,9.0,46.25,48.83,51.41,,3525.0,_DC,100.0,1.0,,4.0,4.0,53.15,37.5,,BB_DC,49.5,77.0,-0.01999604038804193
2024-11-25,AKCAPIT.BO,,,,EW,,ZZ,1183.0,0.0,26.0,4.0,4.0,1425.15,1459.69,1494.23,,3525.0,_BW,100.0,1.0,1117.0,19.0,19.0,1259.0,1005.4,,EW_BW,1182.0,6.0,-0.0008453085376162299
2024-11-25,ALPA.NS,,,,,LR,,110.79,,,8.0,5.0,,,,,3525.0,_DC,100.0,1.0,,,,144.5,105.1,,LR_DC,110.26000213623047,176.0,-0.0047838059731883514
2024-11-25,AMALGAM.BO,,,,EW,,,79.0,,,1.0,1.0,,,,,3525.0,_DC,100.0,1.0,75.04,,,117.0,75.04,,EW_DC,78.81999969482422,253.0,-0.0022784848756428008
2024-11-25,ANGELONE.NS,,,BB,,,ZZ,2799.05,0.0,14.0,6.0,2.0,2692.69,2760.22,2827.74,,3525.0,_DC,100.0,1.0,,6.0,6.0,3393.0,2605.0,,BB_DC,2926.0,5.0,0.04535467390721845
2024-11-25,ANMOL.BO,,,BB,,,,28.68,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,,,,37.09,27.0,,BB_DC,28.739999771118164,595.0,0.0020920422286668182
2024-11-25,ANSALHSG.BO,,,BB,EW,,,15.0,,,1.0,1.0,,,,,3525.0,_DC,100.0,1.0,13.62,,,26.82,13.62,,EWBB_DC,16.989999771118164,725.0,0.13266665140787762
2024-11-25,ANUHPHR.BO,,,BB,,,ZZ,199.0,0.0,8.0,2.0,,190.27,197.49,204.71,,3525.0,_W,100.0,1.0,,4.0,4.0,224.95,182.1,,BB_W,206.9499969482422,59.0,0.0399497334082522
2024-11-25,ANUP.NS,,,BB,,,ZZ,3679.45,0.0,9.0,0.0,0.0,3411.37,3579.72,3748.06,,3525.0,_DC,100.0,1.0,,6.0,6.0,3822.45,1665.05,,BB_DC,3484.050048828125,0.0,-0.053105749819096555
