Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
1STCUS.BO,2024-11-11,120,89.35,,128.93,132.0,Short,Close
20MICRONS.NS,2024-10-21,228,151.85,,314.0,321.0,Short,Close
21STCENMGM.NS,2024-11-07,100,42.7,,121.33,121.44,Short,Close
360ONE.NS,2024-11-18,1093,940.0,1038.63,,1099.8,Long,Open
3IINFOLTD.NS,2024-08-28,27,31.5,,37.42,38.17,Short,Close
3MINDIA.NS,2024-11-01,31890,34808.0,,36257.04,36317.6,Short,Close
3PLAND.NS,2024-10-29,56,27.8,36.53,,38.45,Long,Open
4THGEN.BO,2024-09-16,7,,5.67,,5.67,Long,Open
5PAISA.NS,2024-11-01,480,458.0,,522.09,525.0,Short,Close
63MOONS.NS,2024-11-12,576,351.0,,608.52,617.6,Short,Close
7TEC.BO,2024-11-19,57,50.26,54.99,,61.85,Long,Open
A2ZINFRA.NS,2024-11-19,17,15.75,,18.19,20.5,Short,Close
AAATECH.NS,2024-11-19,113,110.0,107.83,,129.4,Long,Open
AAIL.BO,2024-11-12,105,104.8,,113.79,117.0,Short,Close
AAKASH.NS,2024-11-22,10,10.24,10.45,,11.0,Long,Open
AANCHALISP.BO,2024-11-14,6,5.16,5.39,,6.05,Long,Open
AARON.NS,2024-11-19,339,251.05,293.08,,335.0,Long,Open
AARTECH.BO,2024-11-18,75,59.9,62.01,,64.94,Long,Open
AARTIDRUGS.NS,2024-08-26,453,530.0,,613.4,632.5,Short,Close
AARTIIND.NS,2024-11-01,438,593.05,,524.26,528.35,Short,Close
AARTISURF.NS,2024-11-07,635,605.0,,742.5,768.8,Short,Close
AARVEEDEN.NS,2024-10-29,71,21.65,43.03,,50.0,Long,Open
AARVI.NS,2024-11-06,133,127.72,,152.57,154.5,Short,Close
AAVAS.NS,2024-09-23,1653,1404.1,,1907.79,1919.95,Short,Close
ABAN.NS,2024-11-14,63,62.82,61.01,,68.8,Long,Open
ABANSENT.BO,2024-11-19,38,25.1,33.39,,40.5,Long,Open
ABB.NS,2024-11-22,7260,6605.0,6805.58,,6939.0,Long,Open
ABBOTINDIA.BO,2024-11-04,27715,26500.05,,29497.5,29615.0,Short,Close
ABCAPITAL.NS,2024-10-01,191,165.9,,241.8,243.6,Short,Close
ABCINDQ.BO,2024-11-22,117,111.1,,126.07,130.0,Short,Close
ABFRL.NS,2024-11-25,299,283.75,295.86,,304.0,Long,Open
ABHICAP.BO,2024-11-19,157,140.2,145.93,,162.0,Long,Open
ABHIINFRA.BO,2024-09-16,5,,,10.82,10.82,Short,Close
