Ticker,Date/Time,Close,hh,ll,FromLow,FromHigh
1STCUS.BO,11/22/2024,120.50,132.00,100.60,1.00,1.00
1STCUS.BO,11/26/2024,119.00,132.00,100.60,0.00,2.00
21STCENMGM.NS,11/22/2024,101.21,122.64,101.21,6.00,4.00
21STCENMGM.NS,11/26/2024,97.93,122.64,97.93,7.00,0.00
20MICRONS.NS,11/22/2024,223.50,321.00,219.35,0.00,0.00
20MICRONS.NS,11/26/2024,229.80,321.00,219.35,1.00,0.00
360ONE.NS,11/22/2024,1082.40,1143.65,940.00,7.00,5.00
360ONE.NS,11/26/2024,1092.15,1115.65,940.00,8.00,6.00
3IINFOLTD.NS,11/22/2024,26.39,42.59,25.23,4.00,2.00
3IINFOLTD.NS,11/26/2024,26.48,42.59,25.23,5.00,3.00
3MINDIA.NS,11/22/2024,30685.50,37133.75,30629.00,0.00,0.00
3MINDIA.NS,11/26/2024,31747.75,37133.75,30629.00,1.00,1.00
3PLAND.NS,11/22/2024,47.10,49.89,34.05,0.00,0.00
3PLAND.NS,11/26/2024,66.70,66.70,34.05,0.00,0.00
3RDROCK.NS,11/22/2024,64.60,64.60,61.20,,91.00
3RDROCK.NS,11/25/2024,64.60,64.60,61.20,,92.00
4THGEN.BO,11/22/2024,6.55,6.55,5.17,1.00,1.00
4THGEN.BO,11/25/2024,6.55,6.55,5.17,2.00,2.00
5PAISA.NS,11/22/2024,470.60,607.05,466.00,0.00,0.00
5PAISA.NS,11/26/2024,488.40,607.05,466.00,1.00,0.00
7NR.BO,11/18/2024,5.15,,4.96,,2.00
7NR.BO,11/26/2024,5.67,,4.96,,0.00
7SEASL.BO,11/11/2024,71.74,,70.05,,
63MOONS.NS,11/22/2024,579.20,630.00,351.00,3.00,3.00
63MOONS.NS,11/26/2024,579.90,630.00,351.00,4.00,4.00
7TEC.BO,11/22/2024,57.05,61.85,50.26,4.00,3.00
7TEC.BO,11/26/2024,55.60,61.85,50.26,5.00,4.00
^CNXAUTO,11/22/2024,23554.10,27696.10,22659.05,1.00,1.00
^CNXAUTO,11/26/2024,23413.00,27696.10,22659.05,2.00,0.00
^CNXENERGY,11/22/2024,36523.50,44721.10,35440.85,0.00,0.00
^CNXENERGY,11/26/2024,36722.20,44721.10,35440.85,1.00,0.00
^CNXFMCG,11/22/2024,56956.45,66438.70,55493.25,0.00,0.00
^CNXFMCG,11/26/2024,57838.25,66438.70,55493.25,1.00,0.00
^CNXIT,11/22/2024,43332.10,43436.15,39975.00,2.00,0.00
^CNXIT,11/26/2024,44085.95,44244.60,39975.00,0.00,0.00
^CNXMETAL,11/22/2024,8846.20,10322.05,8652.15,0.00,0.00
^CNXMETAL,11/26/2024,8916.70,10322.05,8652.15,1.00,1.00
^CNXPSUBANK,11/22/2024,6508.15,7038.80,6163.75,0.00,0.00
^CNXPSUBANK,11/26/2024,6789.95,7038.80,6163.75,1.00,0.00
^CNXREALTY,11/22/2024,1006.25,1140.40,929.75,1.00,0.00
^CNXREALTY,11/26/2024,1029.15,1044.20,929.75,2.00,0.00
^NSEBANK,11/22/2024,51135.40,54467.35,49787.10,0.00,0.00
^NSEBANK,11/26/2024,52191.50,52555.50,49787.10,1.00,0.00
AAATECH.NS,11/22/2024,108.97,160.85,102.17,0.00,0.00
AAATECH.NS,11/26/2024,112.94,160.85,102.17,1.00,0.00
A2ZINFRA.NS,11/22/2024,16.91,20.61,15.75,3.00,5.00
A2ZINFRA.NS,11/26/2024,16.92,20.61,15.75,4.00,6.00
AAIL.BO,11/22/2024,103.15,123.80,96.00,4.00,1.00
AAIL.BO,11/26/2024,105.15,123.80,96.00,5.00,2.00
AAKASH.NS,11/22/2024,10.72,17.15,10.24,0.00,0.00
AAKASH.NS,11/26/2024,10.67,17.15,10.24,1.00,0.00
AANANDALAK.BO,11/25/2024,18.37,20.30,4.76,0.00,1.00
AARNAV.BO,11/25/2024,55.26,56.95,53.00,0.00,0.00
AANCHALISP.BO,11/22/2024,6.00,6.33,5.07,3.00,0.00
AANCHALISP.BO,11/26/2024,5.61,6.33,5.07,4.00,1.00
AARON.NS,11/22/2024,325.35,350.00,251.05,0.00,0.00
AARON.NS,11/26/2024,331.35,350.00,251.05,1.00,1.00
AARTECH.BO,11/22/2024,73.06,74.60,58.38,1.00,0.00
AARTECH.BO,11/26/2024,72.54,80.36,58.38,0.00,0.00
AARTIDRUGS.NS,11/22/2024,449.25,635.00,439.30,0.00,0.00
AARTIDRUGS.NS,11/26/2024,454.10,635.00,439.30,1.00,1.00
AARTISURF.NS,11/22/2024,644.40,918.00,617.10,0.00,0.00
AARTISURF.NS,11/26/2024,633.25,918.00,617.10,1.00,1.00
AARTIIND.NS,11/22/2024,430.85,765.50,422.60,0.00,0.00
AARTIIND.NS,11/26/2024,451.35,765.50,422.60,1.00,0.00
^NSEI,11/22/2024,23907.25,26277.35,23263.15,0.00,0.00
^NSEI,11/26/2024,24194.50,26277.35,23263.15,1.00,0.00
AARVEEDEN.NS,11/22/2024,69.73,69.73,41.25,0.00,0.00
AARVEEDEN.NS,11/26/2024,72.54,72.54,41.25,0.00,0.00
AARVI.NS,11/22/2024,133.53,168.00,130.00,0.00,0.00
AARVI.NS,11/26/2024,134.71,168.00,130.00,1.00,0.00
AAVAS.NS,11/22/2024,1637.40,1939.95,1622.05,0.00,0.00
AAVAS.NS,11/26/2024,1657.60,1939.95,1622.05,1.00,1.00
AAYUSH.BO,11/22/2024,137.15,137.15,26.51,0.00,17.00
AAYUSH.BO,11/26/2024,142.60,142.60,26.51,0.00,18.00
ABAN.NS,11/22/2024,62.14,91.50,58.76,1.00,1.00
ABAN.NS,11/26/2024,62.47,91.50,58.76,2.00,2.00
ABANSENT.BO,11/22/2024,35.66,198.35,25.10,3.00,1.00
ABANSENT.BO,11/26/2024,38.30,198.35,25.10,4.00,2.00
