Date/Time,Ticker,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2024-11-26,3PLAND.NS,1.0,,ATR,,,,ZZ,66.7,0.0,63.0,0.0,0.0,46.79,53.18,59.57,,3563.0,_BW,97.33,96.0,26.75,84.65,,20.0,20.0,66.7,34.05,,ATR_BW,56.47999954223633,31.0,-0.15322339516887068
2024-11-26,ABFRL.NS,0.0,,,,,LR,ZZ,307.45,0.0,28.0,0.0,1.0,301.65,306.65,311.65,,3563.0,_DC,60.33,1414.0,3.82,6.38,,3.0,3.0,364.4,283.75,,LR_DC,315.70001220703125,42.0,0.026833671188912868
2024-11-26,ADARSHPL.BO,1.0,,,BB,,,ZZ,31.86,0.0,28.0,0.0,4.0,28.56,29.78,31.0,,3563.0,,66.48,1195.0,5.37,9.48,,19.0,19.0,31.9,27.0,,BB,34.4900016784668,206.0,0.0825487030278342
2024-11-26,ADDIND.BO,1.0,,,,EW,,,41.0,,,3.0,5.0,,,,,3563.0,_DC,23.61,2722.0,4.07,-7.71,38.03,,,44.5,38.03,,EW_DC,40.45000076293945,337.0,-0.013414615538062119
2024-11-26,ADFFOODS.NS,1.0,,ATR,,,,ZZ,323.95,0.0,11.0,0.0,0.0,312.22,317.4,322.57,,3563.0,_BW,88.43,413.0,8.3,31.65,,7.0,7.0,330.0,209.11,,ATR_BW,332.95001220703125,9.0,0.02778210281534577
2024-11-26,ADVANIHOTR.NS,1.0,,ATR,BB,,,ZZ,70.35,0.0,9.0,0.0,4.0,67.51,69.49,71.47,,3563.0,_W,54.15,1634.0,7.91,4.07,,3.0,3.0,73.0,61.28,,ATRBB_W,70.30000305175781,110.0,-0.0007106886743735866
2024-11-26,AHLUCONT.NS,0.0,,,,EW,,,984.0,,,1.0,1.0,,,,,3563.0,_DC,19.99,2851.0,2.43,-10.1,915.0,,,1542.45,915.0,,EW_DC,1001.4000244140625,14.0,0.017682951640307417
2024-11-26,ALFATRAN.BO,0.0,,,BB,,,,134.0,,,2.0,1.0,,,,,3563.0,_DC,87.62,442.0,2.85,29.89,,,,162.95,77.74,,BB_DC,131.6999969482422,18.0,-0.017164201878789646
2024-11-26,AMBARPIL.BO,0.0,,,,EW,,,197.0,,,,7.0,,,,,3563.0,_DC,99.61,15.0,-0.89,320.06,185.25,,,262.9,0.0,,EW_DC,191.1999969482422,5.0,-0.02944163985663864
2024-11-26,AMJLAND.NS,1.0,,ATR,BB,,,ZZ,63.53,0.0,24.0,0.0,0.0,49.54,53.84,58.14,,3563.0,_BW,92.5,268.0,21.4,41.27,,19.0,19.0,63.67,44.0,,ATRBB_BW,66.20999908447266,51.0,0.04218478017429018
