Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target
2024-11-27,BB_DC,Short,A2ZINFRA.NS,17.31,15.95,735.29,735.29,18.19,Target Hit,,,KRBPT,17.31,2024-11-27,18.19
2024-11-27,ATR_BW,Long,AARTECH.BO,76.16,58.38,56.24,56.24,,,,,KRBPT,76.16,2024-11-27,
2024-11-27,BB_DC,Short,ACCELYA.NS,1531.75,1442.75,11.24,11.24,1627.31,Target Hit,,,KRBPT,1531.75,2024-11-27,1627.31
2024-11-27,BB_DC,Short,ACCURACY.NS,9.66,8.54,892.86,892.86,10.3,Target Hit,,,KRBPT,9.66,2024-11-27,10.3
2024-11-27,ATR_UC,Long,ACEMEN.BO,81.0,68.02,77.04,77.04,,,,,KRBPT,81.0,2024-11-27,
2024-11-27,LR_BW,Long,ACKNIT.BO,298.5,275.0,42.55,42.55,,,,,KRBPT,298.5,2024-11-27,
2024-11-27,EW_DC,Short,ADANIPOWER.NS,525.0,432.0,10.75,10.75,621.63,Target Hit,,,KRBPT,525.15,2024-11-27,621.63
2024-11-27,BB_DC,Short,ADIEXRE.BO,37.9,34.0,256.41,256.41,39.75,Target Hit,,,KRBPT,37.9,2024-11-27,39.75
2024-11-27,EWLR_BW,Short,AGRITECH.NS,197.0,176.35,48.43,48.43,236.0,Target Hit,,,KRBPT,196.57,2024-11-27,236.0
2024-11-27,BB_DC,Short,AHMDSTE.BO,304.9,282.05,43.76,43.76,335.74,Target Hit,,,KRBPT,304.9,2024-11-27,335.74
2024-11-27,EW_BW,Short,AKCAPIT.BO,1176.0,1117.0,16.95,16.95,,,,,KRBPT,1176.0,2024-11-27,1170.71
2024-11-27,BB_DT,Short,ALANKIT.NS,20.94,19.98,1041.67,1041.67,23.46,Target Hit,,,KRBPT,20.94,2024-11-27,23.46
2024-11-27,BB_DC,Long,ALLCARGO.NS,53.78,51.83,512.82,512.82,,,,,KRBPT,53.78,2024-11-27,
2024-11-27,EW_DC,Short,APMIN.BO,48.0,45.0,333.33,333.33,59.06,Target Hit,,,KRBPT,48.0,2024-11-27,59.06
2024-11-27,BB_W,Long,APOLLOFI.BO,815.0,766.8,20.75,20.75,,,,,KRBPT,815.0,2024-11-27,
2024-11-27,BB_DC,Long,APOLLOPIPE.NS,497.15,452.7,22.5,22.5,,,,,KRBPT,497.15,2024-11-27,
2024-11-27,BB_W,Short,ARROWGREEN.NS,853.0,814.75,26.14,26.14,948.7,Target Hit,,,KRBPT,853.0,2024-11-27,948.7
2024-11-27,BB_W,Short,ARVINDFASN.NS,572.95,545.15,35.97,35.97,592.29,Target Hit,,,KRBPT,572.95,2024-11-27,592.29
2024-11-27,BB_W,Long,ASIANTNE.BO,16.32,14.75,636.94,636.94,,,,,KRBPT,16.32,2024-11-27,
2024-11-27,ATR_UC,Long,ASTERDM.NS,478.6,426.0,19.01,19.01,,,,,KRBPT,478.6,2024-11-27,
2024-11-27,EWBB_DC,Short,ATGL.NS,695.0,545.75,6.7,6.7,979.9,Target Hit,,,KRBPT,695.3,2024-11-27,979.9
2024-11-27,EWBB_DC,Short,ATISHAY.BO,209.0,193.0,62.5,62.5,213.8,Target Hit,,,KRBPT,209.45,2024-11-27,213.8
2024-11-27,BB_DC,Long,AVANTEL.BO,154.05,139.8,70.18,70.18,,,,,KRBPT,154.05,2024-11-27,
2024-11-27,LR_BW,Short,BCLIND.NS,56.19,52.05,241.55,241.55,59.47,Target Hit,,,KRBPT,56.19,2024-11-27,59.47
2024-11-27,ATRBB_W,Long,BDL.NS,1120.9,890.0,4.33,4.33,,,,,KRBPT,1120.9,2024-11-27,
2024-11-27,EW_BW,Short,BERGEPAINT.NS,491.0,463.75,36.7,36.7,624.64,Target Hit,,,KRBPT,490.8,2024-11-27,624.64
2024-11-27,BB_W,Short,BFINVEST.NS,729.0,715.1,71.94,71.94,804.97,Target Hit,,,KRBPT,729.0,2024-11-27,804.97
2024-11-27,EW_BW,Long,BIGBLOC.NS,111.0,100.02,91.07,91.07,,,,,KRBPT,111.18,2024-11-27,
2024-11-27,BB_W,Short,BKV.BO,11.65,11.24,2439.02,2439.02,17.78,Target Hit,,,KRBPT,11.65,2024-11-27,17.78
2024-11-27,ATR_W,Long,BLISSGVS.NS,143.16,113.31,33.5,33.5,,,,,KRBPT,143.16,2024-11-27,
