Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Close,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2024-11-27,A2ZINFRA.NS,BB_DC,2024-11-19,15.95,17.31,18.19,Short,Closed,17.31,2024-11-27,735.29,Target Hit,18.19,India
2024-11-27,AARTECH.BO,ATR_BW,2024-11-18,58.38,76.16,,Long,Open,76.16,2024-11-27,56.24,,,India
2024-11-27,ACCELYA.NS,BB_DC,2024-11-26,1442.75,1531.75,,Long,Open,1531.75,2024-11-27,11.24,,,India
2024-11-27,ACCURACY.NS,BB_DC,2024-11-22,8.54,9.66,,Long,Open,9.66,2024-11-27,892.86,,,India
2024-11-27,ACEMEN.BO,ATR_UC,2024-11-25,68.02,81.0,,Long,Open,81.0,2024-11-27,77.04,,,India
2024-11-27,ACKNIT.BO,LR_BW,2024-11-25,275.0,298.5,,Long,Open,298.5,2024-11-27,42.55,,,India
2024-11-27,ADANIPOWER.NS,EW_DC,2024-11-27,432.0,525.0,,Long,Open,525.15,2024-11-27,10.75,,,India
2024-11-27,ADIEXRE.BO,BB_DC,2024-11-26,34.0,37.9,,Long,Open,37.9,2024-11-27,256.41,,,India
2024-11-27,AGRITECH.NS,EWLR_BW,2024-11-27,176.35,197.0,,Long,Open,196.57,2024-11-27,48.43,,,India
2024-11-27,AHMDSTE.BO,BB_DC,2024-11-11,282.05,304.9,335.74,Short,Closed,304.9,2024-11-27,43.76,Target Hit,335.74,India
2024-11-27,AKCAPIT.BO,EW_BW,2024-11-27,1117.0,1176.0,,Long,Open,1176.0,2024-11-27,16.95,,,India
2024-11-27,ALANKIT.NS,BB_DT,2024-11-08,19.98,20.94,23.46,Short,Closed,20.94,2024-11-27,1041.67,Target Hit,23.46,India
2024-11-27,ALLCARGO.NS,BB_DC,2024-09-10,51.83,53.78,,Long,Open,53.78,2024-11-27,512.82,,,India
2024-11-27,APMIN.BO,EW_DC,2024-11-27,45.0,48.0,,Long,Open,48.0,2024-11-27,333.33,,,India
2024-11-27,APOLLOFI.BO,BB_W,2024-11-11,766.8,815.0,,Long,Open,815.0,2024-11-27,20.75,,,India
2024-11-27,APOLLOPIPE.NS,BB_DC,2024-11-25,452.7,497.15,,Long,Open,497.15,2024-11-27,22.5,,,India
2024-11-27,ARROWGREEN.NS,BB_W,2024-11-19,814.75,853.0,948.7,Short,Closed,853.0,2024-11-27,26.14,Target Hit,948.7,India
2024-11-27,ARVINDFASN.NS,BB_W,2024-11-08,545.15,572.95,592.29,Short,Closed,572.95,2024-11-27,35.97,Target Hit,592.29,India
2024-11-27,ASIANTNE.BO,BB_W,2024-11-14,14.75,16.32,,Long,Open,16.32,2024-11-27,636.94,,,India
2024-11-27,ASTERDM.NS,ATR_UC,2024-10-24,426.0,478.6,,Long,Open,478.6,2024-11-27,19.01,,,India
2024-11-27,ATGL.NS,EWBB_DC,2024-11-27,545.75,695.0,,Long,Open,695.3,2024-11-27,6.7,,,India
2024-11-27,ATISHAY.BO,EWBB_DC,2024-11-27,193.0,209.0,,Long,Open,209.45,2024-11-27,62.5,,,India
2024-11-27,AVANTEL.BO,BB_DC,2024-11-22,139.8,154.05,,Long,Open,154.05,2024-11-27,70.18,,,India
2024-11-27,BCLIND.NS,LR_BW,2024-11-22,52.05,56.19,,Long,Open,56.19,2024-11-27,241.55,,,India
2024-11-27,BDL.NS,ATRBB_W,2024-11-25,890.0,1120.9,,Long,Open,1120.9,2024-11-27,4.33,,,India
2024-11-27,BERGEPAINT.NS,EW_BW,2024-11-27,463.75,491.0,,Long,Open,490.8,2024-11-27,36.7,,,India
2024-11-27,BFINVEST.NS,BB_W,2024-11-11,715.1,729.0,804.97,Short,Closed,729.0,2024-11-27,71.94,Target Hit,804.97,India
2024-11-27,BIGBLOC.NS,EW_BW,2024-11-27,100.02,111.0,,Long,Open,111.18,2024-11-27,91.07,,,India
2024-11-27,BKV.BO,BB_W,2024-11-12,11.24,11.65,17.78,Short,Closed,11.65,2024-11-27,2439.02,Target Hit,17.78,India
2024-11-27,BLISSGVS.NS,ATR_W,2024-11-14,113.31,143.16,,Long,Open,143.16,2024-11-27,33.5,,,India
2024-11-27,BLUESTARCO.NS,BB_DC,2024-11-14,1780.5,1851.3,,Long,Open,1851.3,2024-11-27,14.12,,,India
2024-11-27,BNRUDY.BO,EW_DC,2024-11-27,66.05,72.0,,Long,Open,72.24,2024-11-27,168.07,,,India
2024-11-27,CALSOFT.NS,LR_BW,2024-11-08,17.51,18.1,19.18,Short,Closed,18.1,2024-11-27,1694.92,Target Hit,19.18,India
2024-11-27,CAREERP.NS,BB_DC,2024-11-22,384.95,426.0,,Long,Open,426.0,2024-11-27,24.36,,,India
2024-11-27,CCL.NS,ATR_W,2024-10-30,676.0,793.3,,Long,Open,793.3,2024-11-27,8.53,,,India
2024-11-27,CHANDRIMA.BO,BB_W,2024-11-08,55.43,56.57,63.13,Short,Closed,56.57,2024-11-27,877.19,Target Hit,63.13,India
2024-11-27,CINDHO.BO,EWBB_DC,2024-11-27,51.0,55.0,,Long,Open,55.4,2024-11-27,250.0,,,India
2024-11-27,CINEVISTA.NS,BB_DC,2024-11-26,16.5,18.8,,Long,Open,18.8,2024-11-27,434.78,,,India
2024-11-27,CITADEL.BO,EW_BW,2024-11-27,54.31,60.0,,Long,Open,59.99,2024-11-27,175.75,,,India
2024-11-27,CLEDUCATE.NS,BB_DC,2024-11-08,106.0,109.49,114.07,Short,Closed,109.49,2024-11-27,286.53,Target Hit,114.07,India
2024-11-27,CMMHOSP.BO,ATR_AT,2024-11-01,37.25,52.1,,Long,Open,52.1,2024-11-27,67.34,,,India
2024-11-27,COCHINSHIP.NS,BB_DC,2024-11-25,1265.0,1504.05,,Long,Open,1504.05,2024-11-27,4.18,,,India
2024-11-27,COMSYN.BO,ATREW_UC,2024-11-27,66.44,74.0,,Long,Open,74.45,2024-11-27,132.28,,,India
2024-11-27,CONTCHM.BO,EW_DC,2024-11-27,70.2,75.0,,Long,Open,75.0,2024-11-27,208.33,,,India
2024-11-27,CONTPTR.BO,EWBB_W,2024-11-27,81.35,96.0,,Long,Open,96.2,2024-11-27,68.26,,,India
2024-11-27,CTCL.BO,ATR_UC,2024-10-30,376.4,437.75,,Long,Open,437.75,2024-11-27,16.3,,,India
2024-11-27,DAICHI.BO,BB_DC,2024-11-22,365.0,407.0,,Long,Open,407.0,2024-11-27,23.81,,,India
2024-11-27,DATAMATICS.NS,BB_DC,2024-11-25,515.05,568.0,,Long,Open,568.0,2024-11-27,18.89,,,India
2024-11-27,DAULAT.BO,BB_DC,2024-11-26,44.35,49.0,,Long,Open,49.0,2024-11-27,215.05,,,India
2024-11-27,DCW.NS,BB_W,2024-11-18,93.2,99.2,,Long,Open,99.2,2024-11-27,166.67,,,India
2024-11-27,DEEPAKFERT.NS,BB_W,2024-11-14,1245.0,1347.5,,Long,Open,1347.5,2024-11-27,9.76,,,India
2024-11-27,DHAMPURSUG.NS,BB_DC,2024-11-22,164.65,183.85,,Long,Open,183.85,2024-11-27,52.08,,,India
2024-11-27,DHANROTO.BO,BB_W,2024-11-22,175.05,194.7,,Long,Open,194.7,2024-11-27,50.89,,,India
2024-11-27,DHARFIN.BO,EW_UC,2024-11-27,8.76,9.0,,Long,Open,9.45,2024-11-27,4166.67,,,India
2024-11-27,DHINDIA.BO,LR_UC,2024-11-25,120.1,142.9,,Long,Open,142.9,2024-11-27,43.86,,,India
2024-11-27,DONEAR.NS,LR_BW,2024-11-26,105.15,114.85,,Long,Open,114.85,2024-11-27,103.09,,,India
2024-11-27,DPWIRES.NS,EW_BW,2024-11-27,358.05,383.0,,Long,Open,383.05,2024-11-27,40.08,,,India
2024-11-27,DVL.NS,BB_W,2024-11-25,378.65,422.9,,Long,Open,422.9,2024-11-27,22.6,,,India
2024-11-27,DWARKESH.NS,BB_W,2024-11-22,58.7,62.35,,Long,Open,62.35,2024-11-27,273.97,,,India
2024-11-27,DYNAMATECH.NS,BB_DC,2024-11-19,6700.0,7578.75,,Long,Open,7578.75,2024-11-27,1.14,,,India
2024-11-27,DYNAVSN.BO,BB_DC,2024-11-18,306.3,349.9,,Long,Open,349.9,2024-11-27,22.94,,,India
2024-11-27,E2E.NS,EW_DC,2024-11-27,4101.0,4458.0,,Long,Open,4457.55,2024-11-27,2.8,,,India
2024-11-27,ELANGO.BO,EW_BW,2024-11-27,11.34,12.0,,Long,Open,11.9,2024-11-27,1515.15,,,India
2024-11-27,ELEFLOR.BO,EW_BW,2024-11-27,6.17,7.0,,Long,Open,6.82,2024-11-27,1204.82,,,India
2024-11-27,ELPROINTL.BO,BB_W,2024-11-14,99.5,115.05,,Long,Open,115.05,2024-11-27,64.31,,,India
2024-11-27,EMKAY.NS,ATR_UC,2024-11-25,282.7,327.15,,Long,Open,327.15,2024-11-27,22.5,,,India
2024-11-27,ENBETRD.BO,BB_W,2024-11-21,11.11,14.6,,Long,Open,14.6,2024-11-27,286.53,,,India
2024-11-27,ENERGYDEV.NS,EW_UC,2024-11-27,25.07,27.0,,Long,Open,26.84,2024-11-27,518.13,,,India
2024-11-27,ENGINERSIN.NS,BB_W,2024-11-22,176.0,202.67,,Long,Open,202.67,2024-11-27,37.5,,,India
2024-11-27,EVEREADY.NS,BBLR_DC,2024-11-22,358.0,392.0,,Long,Open,392.0,2024-11-27,29.41,,,India
2024-11-27,EXIDEIND.NS,ATR_BW,2024-11-22,411.0,444.85,,Long,Open,444.85,2024-11-27,29.54,,,India
2024-11-27,FSL.NS,BB_W,2024-11-19,334.65,362.35,,Long,Open,362.35,2024-11-27,36.1,,,India
2024-11-27,FUNDVISER.BO,BB_W,2000-01-01,135.8,157.2,,,,157.2,2024-11-27,46.73,,,India
2024-11-27,GARGFUR.BO,EW_BW,2024-11-27,277.75,300.0,,Long,Open,300.0,2024-11-27,44.94,,,India
2024-11-27,GEPIL.NS,BB_DC,2024-11-18,372.7,411.0,,Long,Open,411.0,2024-11-27,26.11,,,India
2024-11-27,GGL.BO,EW_DC,2024-11-27,5.01,5.0,,Long,Open,5.45,2024-11-27,,,,India
2024-11-27,GHCL.NS,ATRBBLR_W,2024-11-25,550.0,606.15,,Long,Open,606.15,2024-11-27,17.81,,,India
2024-11-27,GINNIFILA.NS,EW_DC,2024-11-27,26.41,29.0,,Long,Open,28.77,2024-11-27,386.1,,,India
2024-11-27,GIPCL.NS,ATRBBLR_DC,2024-11-22,181.11,209.0,,Long,Open,209.0,2024-11-27,35.86,,,India
2024-11-27,GLOBOFFS.BO,BB_UC,2024-11-19,108.0,129.75,,Long,Open,129.75,2024-11-27,45.98,,,India
2024-11-27,GNA.NS,LR_W,2024-11-06,384.55,402.95,414.88,Short,Closed,402.95,2024-11-27,54.35,Target Hit,414.88,India
2024-11-27,GOKAKTEX.BO,EWBB_DC,2024-11-27,163.9,173.0,,Long,Open,173.0,2024-11-27,109.89,,,India
2024-11-27,GOODRICKE.BO,BB_W,2024-11-11,282.0,292.65,349.43,Short,Closed,292.65,2024-11-27,93.9,Target Hit,349.43,India
2024-11-27,GORANIN.BO,EW_BW,2024-11-27,95.6,113.0,,Long,Open,112.7,2024-11-27,57.47,,,India
2024-11-27,GREAVESCOT.NS,LR_BW,2024-11-18,154.5,184.93,,Long,Open,184.93,2024-11-27,32.86,,,India
2024-11-27,GRSE.NS,ATRLR_DC,2024-11-25,1371.0,1656.35,,Long,Open,1656.35,2024-11-27,3.5,,,India
2024-11-27,GUJAPOLLO.NS,BB_DC,2024-11-19,281.3,312.55,,Long,Open,312.55,2024-11-27,32.0,,,India
2024-11-27,HAL.NS,BB_W,2024-11-22,3920.35,4476.05,,Long,Open,4476.05,2024-11-27,1.8,,,India
2024-11-27,HATSUN.NS,LR_BW,2024-11-06,1041.15,1091.95,1170.28,Short,Closed,1091.95,2024-11-27,19.69,Target Hit,1170.28,India
2024-11-27,HBLPOWER.NS,ATR_DC,2024-11-14,514.05,616.45,,Long,Open,616.45,2024-11-27,9.77,,,India
2024-11-27,HCC.NS,ATRBB_DC,2024-11-22,34.52,41.04,,Long,Open,41.04,2024-11-27,153.37,,,India
2024-11-27,HCG.NS,ATR_UC,2024-10-24,404.8,497.55,,Long,Open,497.55,2024-11-27,10.78,,,India
2024-11-27,HFCL.NS,LR_W,2024-11-14,120.02,133.48,,Long,Open,133.48,2024-11-27,74.29,,,India
2024-11-27,HGS.NS,EW_DC,2024-11-27,592.95,703.0,,Long,Open,702.95,2024-11-27,9.09,,,India
2024-11-27,HINDCOMPOS.NS,LR_DC,2024-11-22,427.0,471.1,,Long,Open,471.1,2024-11-27,22.68,,,India
2024-11-27,HINDHARD.BO,BB_W,2024-11-18,887.0,1046.7,,Long,Open,1046.7,2024-11-27,6.26,,,India
2024-11-27,HINDTIN.BO,BB_W,2024-11-26,157.6,189.0,,Long,Open,189.0,2024-11-27,31.85,,,India
2024-11-27,HIRECT.NS,BB_W,2024-11-18,1070.0,1208.0,,Long,Open,1208.0,2024-11-27,7.25,,,India
2024-11-27,HOVS.NS,BB_DC,2024-11-22,62.08,69.5,,Long,Open,69.5,2024-11-27,134.77,,,India
2024-11-27,HRYNSHP.BO,BB_DC,2024-11-25,113.0,136.2,,Long,Open,136.2,2024-11-27,43.1,,,India
2024-11-27,HSCL.NS,ATR_DC,2024-11-22,472.0,532.0,,Long,Open,532.0,2024-11-27,16.67,,,India
2024-11-27,IDM.BO,EW_BW,2024-11-27,21.51,23.0,,Long,Open,22.59,2024-11-27,671.14,,,India
2024-11-27,IFINSEC.BO,EW_UC,2024-11-27,144.6,155.0,,Long,Open,155.0,2024-11-27,96.15,,,India
2024-11-27,IL&FSTRANS.NS,BB_DC,2024-11-25,4.95,5.63,,Long,Open,5.63,2024-11-27,1470.59,,,India
2024-11-27,IMPAL.NS,BB_DC,2024-11-25,1088.1,1188.0,,Long,Open,1188.0,2024-11-27,10.01,,,India
2024-11-27,INDCTST.BO,BB_W,2024-11-08,62.0,63.0,70.45,Short,Closed,63.0,2024-11-27,1000.0,Target Hit,70.45,India
2024-11-27,INDIAGLYCO.NS,BB_DC,2024-11-14,1090.8,1214.6,,Long,Open,1214.6,2024-11-27,8.08,,,India
2024-11-27,INDIAHOME.BO,BB_DC,2000-01-01,28.05,33.4,,,,33.4,2024-11-27,186.92,,,India
2024-11-27,INDIAMART.NS,EW_DC,2024-11-27,2234.15,2366.0,,Long,Open,2365.95,2024-11-27,7.58,,,India
2024-11-27,INDOCITY.BO,EW_DC,2024-11-27,13.0,14.0,,Long,Open,14.1,2024-11-27,1000.0,,,India
2024-11-27,INDORAMA.NS,BB_DC,2024-11-22,37.71,41.5,,Long,Open,41.5,2024-11-27,263.85,,,India
2024-11-27,INDRAMEDCO.NS,LR_UC,2024-11-21,402.0,436.4,,Long,Open,436.4,2024-11-27,29.07,,,India
2024-11-27,INFOMEDIA.NS,EWBB_W,2024-11-27,5.69,6.0,,Long,Open,6.03,2024-11-27,3225.81,,,India
2024-11-27,INFRONICS.BO,EW_UC,2024-11-27,42.65,52.0,,Long,Open,52.45,2024-11-27,106.95,,,India
2024-11-27,ISGEC.BO,ATRLR_BW,2024-11-18,1224.4,1400.0,,Long,Open,1400.0,2024-11-27,5.69,,,India
2024-11-27,ISHANCH.BO,EW_UC,2024-11-27,52.1,56.0,,Long,Open,55.6,2024-11-27,256.41,,,India
2024-11-27,ITDC.NS,BB_DC,2024-11-22,499.9,640.0,,Long,Open,640.0,2024-11-27,7.14,,,India
2024-11-27,IWP.BO,ATRBB_BW,2024-11-18,29.0,43.8,,Long,Open,43.8,2024-11-27,67.57,,,India
2024-11-27,IZMO.NS,BB_UC,2024-11-25,363.25,487.5,,Long,Open,487.5,2024-11-27,8.05,,,India
2024-11-27,JAICORPLTD.NS,ATR_DC,2024-11-22,288.1,367.5,,Long,Open,367.5,2024-11-27,12.59,,,India
2024-11-27,JAMNAAUTO.NS,BB_DC,2024-11-26,96.51,104.1,,Long,Open,104.1,2024-11-27,131.75,,,India
2024-11-27,JBMA.NS,BB_DC,2024-11-22,1388.0,1537.85,,Long,Open,1537.85,2024-11-27,6.67,,,India
2024-11-27,JHS.NS,EW_DC,2024-11-27,20.53,22.0,,Long,Open,21.81,2024-11-27,680.27,,,India
2024-11-27,JISLJALEQS.NS,BB_DC,2024-11-22,62.65,72.63,,Long,Open,72.63,2024-11-27,100.2,,,India
2024-11-27,JPPOWER.NS,EWBB_W,2024-11-27,16.08,17.0,,Long,Open,17.29,2024-11-27,1086.96,,,India
2024-11-27,JTAPARIA.BO,EW_DC,2024-11-27,21.5,24.0,,Long,Open,23.6,2024-11-27,400.0,,,India
2024-11-27,JYOTHYLAB.NS,BB_DC,2024-11-01,394.7,407.85,531.63,Short,Closed,407.85,2024-11-27,76.05,Target Hit,531.63,India
