Ticker,Date/Time,Buy
360ONE.NS,9/26/2024,1
1STCUS.BO,9/24/2024,1
^CNXAUTO,9/26/2024,1
^CNXPSUBANK,9/23/2024,1
^CNXMETAL,9/24/2024,1
^CNXMETAL,9/26/2024,1
AARTECH.BO,9/26/2024,1
ABFRL.NS,9/23/2024,1
ADCINDIA.BO,9/25/2024,1
ADORWELD.NS,9/25/2024,1
ADVANIHOTR.NS,9/23/2024,1
AGARIND.NS,9/23/2024,1
AGIOPAPER.BO,9/23/2024,1
AGRITECH.NS,9/27/2024,1
AKASH.NS,9/23/2024,1
AKZOINDIA.NS,9/27/2024,1
ALFATRAN.BO,9/23/2024,1
ALICON.NS,9/24/2024,1
ALKEM.NS,9/25/2024,1
ALPA.NS,9/27/2024,1
AMARAJABAT.NS,12/27/2023,1
AMBARPIL.BO,9/20/2024,1
AMBARPIL.BO,9/23/2024,1
AMBARPIL.BO,9/24/2024,1
AMBER.NS,9/23/2024,1
ANSALAPI.NS,9/20/2024,1
APOLSINHOT.NS,9/24/2024,1
APOLLOTYRE.NS,9/26/2024,1
ARCHIES.NS,9/26/2024,1
ARIHANT.BO,9/26/2024,1
ARIHANTSUP.NS,9/23/2024,1
ARNOLD.BO,9/23/2024,1
AROGRANITE.NS,9/23/2024,1
ARVSMART.NS,9/24/2024,1
ASAHIINDIA.NS,9/23/2024,1
ASHIS.BO,9/26/2024,1
ASHIS.BO,9/27/2024,1
ASMTEC.BO,9/23/2024,1
ASTEC.NS,9/24/2024,1
ASTRAZEN.NS,9/24/2024,1
AUSOMENT.NS,9/23/2024,1
AUSOMENT.NS,9/24/2024,1
BABA.BO,9/25/2024,1
BAGFILMS.NS,9/25/2024,1
BAJAJ-AUTO.NS,9/23/2024,1
BAJAJHIND.NS,9/27/2024,1
BALMLAWRIE.NS,9/27/2024,1
BANARBEADS.NS,9/26/2024,1
BANARISUG.NS,9/23/2024,1
BALRAMCHIN.NS,9/27/2024,1
BASANTGL.BO,9/23/2024,1
BASF.NS,9/27/2024,1
BBL.NS,9/27/2024,1
BBTC.NS,9/27/2024,1
BENGALT.BO,9/25/2024,1
BEPL.NS,9/23/2024,1
BFINVEST.NS,9/23/2024,1
BFUTILITIE.NS,9/23/2024,1
BFUTILITIE.NS,9/24/2024,1
BFUTILITIE.NS,9/26/2024,1
BGJL.BO,9/25/2024,1
BGWTATO.BO,9/23/2024,1
BIBCL.BO,9/27/2024,1
BKMINDST.NS,9/23/2024,1
BLOOM.BO,9/26/2024,1
BLUESTARCO.NS,9/26/2024,1
BOSCHLTD.NS,9/27/2024,1
BPCL.NS,9/27/2024,1
BRIGADE.NS,9/27/2024,1
BRPL.BO,9/27/2024,1
CANBK.NS,9/23/2024,1
CEINSYSTECH.BO,9/25/2024,1
CHANDRIMA.BO,9/26/2024,1
CHENFERRO.BO,9/23/2024,1
CHORDIA.BO,9/26/2024,1
CIPLA.NS,9/27/2024,1
CORDSCABLE.NS,9/27/2024,1
CRANESSOFT.BO,9/27/2024,1
DAIKAFFI.BO,9/23/2024,1
DAULAT.BO,9/25/2024,1
DAULAT.BO,9/27/2024,1
DARJEELING.BO,9/26/2024,1
DBL.NS,9/23/2024,1
DBCORP.NS,9/25/2024,1
DEEPAKFERT.NS,9/23/2024,1
DEVIT.NS,9/25/2024,1
DHANFAB.BO,9/23/2024,1
DIAMONDYD.NS,9/26/2024,1
DLF.NS,9/23/2024,1
DLTNCBL.BO,9/27/2024,1
DPSCLTD.NS,9/25/2024,1
DYNAMATECH.NS,9/27/2024,1
ECLERX.NS,9/25/2024,1
EDELWEISS.NS,9/23/2024,1
EKAMLEA.BO,9/23/2024,1
ELECON.NS,9/26/2024,1
ELPROINTL.BO,9/24/2024,1
ELPROINTL.BO,9/27/2024,1
EMMESSA.BO,9/23/2024,1
ENIL.NS,9/26/2024,1
ENKEIWHEL.BO,9/26/2024,1
ESABINDIA.NS,9/24/2024,1
ESCORTS.NS,9/23/2024,1
EXIDEIND.NS,9/27/2024,1
FINCABLES.NS,9/23/2024,1
FINELINE.BO,9/23/2024,1
FORCEMOT.BO,9/27/2024,1
FOSECOIND.NS,9/23/2024,1
GAGAN.BO,9/27/2024,1
GALADAFIN.BO,9/13/2024,1
GAIL.NS,9/23/2024,1
GANDHITUBE.NS,9/23/2024,1
GAYAHWS.NS,9/23/2024,1
GEECEE.NS,9/24/2024,1
GEMSI.BO,9/24/2024,1
GENNEX.BO,9/23/2024,1
GET&D.NS,9/25/2024,1
GITARENEW.BO,9/25/2024,1
GLOBUSSPR.NS,9/26/2024,1
GNA.NS,9/23/2024,1
GODREJPROP.NS,9/23/2024,1
GODREJPROP.NS,9/25/2024,1
GOTHIPL.BO,9/24/2024,1
GOTHIPL.BO,9/25/2024,1
GPIL.NS,9/23/2024,1
GPIL.NS,9/24/2024,1
GRASIM.NS,9/26/2024,1
GTNINDS.BO,9/25/2024,1
GTNTEX.BO,9/26/2024,1
GUJARATPOLY.BO,9/23/2024,1
HARYNACAP.BO,9/25/2024,1
HBESD.BO,9/26/2024,1
HBPOR.BO,9/24/2024,1
HCL-INSYS.NS,9/24/2024,1
HCL-INSYS.NS,9/25/2024,1
HECPROJECT.NS,9/23/2024,1
HEG.NS,9/25/2024,1
HEMIPROP.NS,9/23/2024,1
HEMIPROP.NS,9/26/2024,1
HERITGFOOD.NS,9/27/2024,1
HESTERBIO.NS,9/25/2024,1
HEROMOTOCO.NS,9/23/2024,1
HIGHENE.BO,9/25/2024,1
HINDALCO.NS,9/24/2024,1
HINDTIN.BO,9/24/2024,1
HINDPETRO.NS,9/27/2024,1
HISARMETAL.NS,9/24/2024,1
HISARSP.BO,9/23/2024,1
HISARSP.BO,9/25/2024,1
HITECHCORP.NS,9/23/2024,1
HNDFDS.NS,9/10/2024,1
HOCL.BO,9/26/2024,1
IBRIGST.BO,9/24/2024,1
ICEMAKE.NS,9/23/2024,1
ICICIPRULI.NS,9/27/2024,1
IEX.NS,9/23/2024,1
IFINSEC.BO,9/26/2024,1
IITLPROJ.BO,9/27/2024,1
IMCAP.BO,9/16/2024,1
INDIANB.NS,9/23/2024,1
INDSUCR.BO,9/26/2024,1
INOVSYNTH.BO,9/24/2024,1
INTEGFD.BO,9/24/2024,1
IOB.NS,9/23/2024,1
IOC.NS,9/27/2024,1
JAICORPLTD.NS,9/23/2024,1
JCHAC.NS,9/25/2024,1
JMFINANCIL.NS,9/24/2024,1
JSWISPL.BO,8/3/2023,1
JSWISPL.BO,8/9/2023,1
JSWHL.NS,9/23/2024,1
JSWHL.NS,9/24/2024,1
JTEKTINDIA.NS,9/23/2024,1
JYOTIRES.BO,9/23/2024,1
KALYANKJIL.NS,9/23/2024,1
KANSHST.BO,9/26/2024,1
KARURVYSYA.NS,9/23/2024,1
KEYCORP.BO,9/27/2024,1
KFBL.BO,9/27/2024,1
KGPETRO.BO,9/27/2024,1
KHADIM.NS,9/25/2024,1
KICL.NS,9/23/2024,1
KIRANVYPAR.BO,9/26/2024,1
KNRCON.NS,9/24/2024,1
KPIL.NS,9/27/2024,1
KPEL.BO,9/24/2024,1
KPEL.BO,9/27/2024,1
KPRMILL.NS,9/24/2024,1
KRISHNACAP.BO,9/27/2024,1
LAFFANSQ.BO,9/25/2024,1
LATIMMETAL.BO,9/23/2024,1
LEADFIN.BO,9/24/2024,1
LEENEE.BO,9/27/2024,1
LAXMIMACH.NS,9/23/2024,1
LAXMIMACH.NS,9/27/2024,1
LEHAR.BO,9/27/2024,1
LFIC.NS,9/27/2024,1
LICNETFSEN.BO,9/20/2024,1
LIPPISYS.BO,9/26/2024,1
LKPSEC.BO,9/26/2024,1
LLOYDSME.NS,9/26/2024,1
LOTUSEYE.NS,9/26/2024,1
MACPOWER.NS,9/26/2024,1
MAHABANK.NS,9/23/2024,1
MAHLIFE.NS,9/25/2024,1
MANSIFIN.BO,9/24/2024,1
MANSIFIN.BO,9/26/2024,1
MARUTISE.BO,9/23/2024,1
MARUTI.NS,9/26/2024,1
MCDOWELL-N.NS,8/7/2024,1
MCLEODRUSS.NS,9/26/2024,1
MEDICAMEQ.BO,9/25/2024,1
MEDICAMEQ.BO,9/27/2024,1
MEERA.BO,9/24/2024,1
MEGASTAR.BO,9/25/2024,1
MEGASOFT.NS,9/24/2024,1
MEGASOFT.NS,9/25/2024,1
MEHAI.BO,9/23/2024,1
METROPOLIS.NS,9/23/2024,1
MINDACORP.NS,9/23/2024,1
MINID.BO,9/24/2024,1
MITTAL.NS,9/24/2024,1
MITTAL.NS,9/27/2024,1
MOHITE.BO,9/25/2024,1
MUKESHB.BO,9/26/2024,1
MUKTAARTS.NS,9/25/2024,1
MUTHOOTCAP.NS,9/24/2024,1
MYSORPETRO.BO,9/23/2024,1
NAM-INDIA.NS,9/23/2024,1
NATIONALUM.NS,9/24/2024,1
NATIONALUM.NS,9/26/2024,1
NEELKAN.BO,9/27/2024,1
NETLINK.BO,9/27/2024,1
NLCINDIA.NS,9/24/2024,1
NLCINDIA.NS,9/27/2024,1
NMDC.NS,9/26/2024,1
NOVARTIND.BO,9/26/2024,1
OILCOUNTUB.NS,9/24/2024,1
OPTIEMUS.NS,9/23/2024,1
OPTIEMUS.NS,9/25/2024,1
ORIENTHOT.NS,9/27/2024,1
PADMALAYAT.BO,9/23/2024,1
PALREDTEC.NS,9/27/2024,1
PANACEABIO.NS,9/27/2024,1
PARMCOS-B.BO,9/23/2024,1
PARSHWANA.BO,9/23/2024,1
PARSHWANA.BO,9/24/2024,1
PATINTLOG.NS,9/25/2024,1
PAVNAIND.NS,9/23/2024,1
PBAINFRA.BO,9/13/2024,1
PCBL.NS,9/27/2024,1
PENIND.NS,9/24/2024,1
PFIZER.NS,9/27/2024,1
PGEL.NS,9/25/2024,1
PGHL.NS,9/27/2024,1
PIDILITIND.NS,9/27/2024,1
PILITA.NS,9/23/2024,1
PITTIENG.NS,9/27/2024,1
PKTEA.NS,9/26/2024,1
PNB.NS,9/23/2024,1
PNC.NS,9/25/2024,1
PODDARMENT.NS,9/23/2024,1
POLYCAB.NS,9/27/2024,1
POWERINDIA.NS,9/25/2024,1
POWERGRID.NS,9/25/2024,1
PRAJIND.NS,9/27/2024,1
PRECWIRE.NS,9/24/2024,1
PREMEXPLN.NS,9/23/2024,1
PSB.NS,9/23/2024,1
PSUBNKBEES.BO,9/23/2024,1
PTCIL.BO,9/27/2024,1
RAMCOIND.NS,9/26/2024,1
RAP.BO,9/24/2024,1
RASRESOR.BO,9/26/2024,1
RBA.NS,9/23/2024,1
RCAN.BO,9/26/2024,1
REFEX.NS,9/23/2024,1
REGENCY.BO,9/23/2024,1
RELIANCE.NS,9/27/2024,1
RENUKA.NS,9/27/2024,1
REPL.NS,9/26/2024,1
RESPONSINF.BO,9/26/2024,1
RESTILE.BO,9/23/2024,1
RHFL.NS,9/26/2024,1
RIIL.NS,9/23/2024,1
RITESHIN.BO,9/27/2024,1
ROSSARI.NS,9/23/2024,1
SAIL.NS,9/26/2024,1
SAKTHIFIN.BO,9/25/2024,1
SAKSOFT.NS,9/27/2024,1
SANGAMIND.NS,9/23/2024,1
SANJIVIN.BO,9/27/2024,1
SAREGAMA.NS,9/25/2024,1
SARTHAKIND.BO,9/23/2024,1
SBIN.NS,9/23/2024,1
SCANSTL.BO,9/27/2024,1
SCHNEIDER.NS,9/24/2024,1
SDL.BO,9/26/2024,1
SEQUENT.NS,9/24/2024,1
SEQUENT.NS,9/27/2024,1
SHAHALLOYS.NS,9/24/2024,1
SHANTI.NS,9/23/2024,1
SHANTI.NS,9/24/2024,1
SHANTIGEAR.NS,9/24/2024,1
SHANTIGEAR.NS,9/27/2024,1
SHEMAROO.NS,9/25/2024,1
SHILGRAVQ.BO,9/24/2024,1
SHIVACEM.BO,9/23/2024,1
SHIVAMILLS.NS,9/24/2024,1
SHK.NS,9/24/2024,1
SHKARTP.BO,9/24/2024,1
SHREYAS.NS,9/23/2024,1
SIGIND.NS,9/23/2024,1
SIEMENS.NS,9/24/2024,1
SIEMENS.NS,9/27/2024,1
SIKA.BO,9/23/2024,1
SINTERCOM.NS,9/23/2024,1
SJVN.NS,9/27/2024,1
SKIPPER.NS,9/23/2024,1
SMARTLINK.NS,9/24/2024,1
SNOWMAN.NS,9/23/2024,1
SOFTSOL.BO,9/27/2024,1
SOLARINDS.NS,9/24/2024,1
SOMANYCERA.NS,9/24/2024,1
SOMATEX.NS,9/27/2024,1
SOVERDIA.BO,9/23/2024,1
SOVERDIA.BO,9/24/2024,1
SPAL.NS,9/27/2024,1
SPENTA.BO,9/26/2024,1
SRHHYPOLTD.NS,9/23/2024,1
SRHHYPOLTD.NS,9/26/2024,1
SRMCL.BO,9/27/2024,1
STAR.NS,9/23/2024,1
STDBAT.BO,9/26/2024,1
STELLAR.BO,9/23/2024,1
STELLAR.BO,9/26/2024,1
STELLAR.BO,9/27/2024,1
STRLGUA.BO,9/24/2024,1
SUDAI.BO,9/24/2024,1
SUNDARMFIN.NS,9/27/2024,1
SUNGOLD.BO,9/23/2024,1
SUNFLAG.NS,9/24/2024,1
SUNFLAG.NS,9/25/2024,1
SUNPHARMA.NS,9/26/2024,1
SUNPHARMA.NS,9/27/2024,1
SURFI.BO,9/23/2024,1
SURYAROSNI.NS,9/23/2024,1
SURYVANSP.BO,9/24/2024,1
SVCIND.BO,9/24/2024,1
SYMBIOX.BO,9/26/2024,1
TANAA.BO,9/23/2024,1
TATACOFFEE.NS,1/12/2024,1
TATACOMM.NS,9/25/2024,1
TATAMETALI.NS,2/2/2024,1
TATAPOWER.NS,9/24/2024,1
TATASTEEL.NS,9/24/2024,1
TATASTEEL.NS,9/26/2024,1
TATASTLLP.NS,11/15/2023,1
THAKDEV.BO,9/25/2024,1
THAKDEV.BO,9/26/2024,1
THEMISMED.NS,9/25/2024,1
THIRDFIN.BO,9/27/2024,1
TIMESGTY.NS,9/26/2024,1
TRANSCOR.BO,9/23/2024,1
TRANSCHEM.BO,9/23/2024,1
TVSMOTOR.NS,9/27/2024,1
TYROON.BO,9/25/2024,1
UCOBANK.NS,9/23/2024,1
UFO.NS,9/25/2024,1
UNITDSPR.BO,9/23/2024,1
UNITEDPOLY.NS,9/23/2024,1
UNIVARTS.BO,9/24/2024,1
UNIVPHOTO.NS,9/26/2024,1
UNIVSTAR.BO,9/27/2024,1
UNJHAFOR.BO,9/25/2024,1
VADILENT.BO,9/27/2024,1
VAKRANGEE.NS,9/25/2024,1
VAKRANGEE.NS,9/26/2024,1
VAKRANGEE.NS,9/27/2024,1
VARROC.NS,9/24/2024,1
VARDMNPOLY.NS,9/23/2024,1
VASWANI.NS,9/24/2024,1
VEDAVAAG.BO,9/26/2024,1
VEDL.NS,9/24/2024,1
VEDL.NS,9/26/2024,1
VESUVIUS.NS,9/23/2024,1
VHL.NS,9/23/2024,1
VHL.NS,9/24/2024,1
VIDHIING.NS,9/24/2024,1
VIDHIING.NS,9/27/2024,1
VINATIORGA.NS,9/27/2024,1
VIPIND.NS,9/23/2024,1
VISHWARAJ.NS,9/25/2024,1
VMART.NS,9/23/2024,1
VSSL.NS,9/24/2024,1
WARRENTEA.BO,9/25/2024,1
WELCORP.NS,9/24/2024,1
WELSPUNIND.NS,2/9/2024,1
WESTLIFE.BO,9/27/2024,1
WHBRADY.BO,9/23/2024,1
ZBINTXPP.BO,9/27/2024,1
ZEEMEDIA.NS,9/23/2024,1
ZEEMEDIA.NS,9/26/2024,1
ZSARACOM.BO,9/27/2024,1
ZUARI.NS,9/27/2024,1
