"Buy_DATE","Sell_Day","Call","Entry_Criteria","Stock","Buy_Qty","Buy_Price","Sell_Qty","Sell_Price","Stop_Loss","Target_Price","Duration"
"2024-01-19","2024-01-22",NULL,"ATR/EW_BW","SALASAR","28","79.00","28","44.00","44.00",NULL,13
"2024-01-19","2024-01-30",NULL,"EW_BW","BPL","96","91.00","96","120.00","81.00","120.00",13
"2024-01-19","2024-01-20",NULL,"EW_UC","HITECH","13","149.00","13","152.00","71.00","152.00",13
"2024-01-19","2024-01-25",NULL,"EW_W","JETFREIGHT","194","14.00","194","16.00","9.00","16.00",13
"2024-01-19","2024-01-31",NULL,"EW_UC","TNTELE","247","11.00","247","14.00","7.00","14.00",13
"2024-01-23","2024-01-30",NULL,"D_EW","VIKASECO","1176","4.00","1176","5.00","3.00","5.00",9
"2024-01-24","2024-01-29",NULL,"D_EW","AGROPHOS","67","48.00","67","49.00","33.00","49.00",8
"2024-01-24","2024-01-31",NULL,"D_EW","DIGISPICE","220","32.00","220","41.00","27.00","41.00",8
"2024-01-24","2024-01-31",NULL,"D_EW","DVL","15","370.00","15","548.00","303.00","548.00",8
"2024-01-24","2024-01-29",NULL,"D_EW","INDUSTOWER","19","230.00","19","232.00","177.00","232.00",8
"2024-01-24","2024-01-25",NULL,"D_EW","JETFREIGHT","172","15.00","172","16.00","9.00","16.00",8
"2024-01-24","2024-01-31",NULL,"D_EW","MTNL","60","42.00","60","50.00","25.00","50.00",8
"2024-01-24","2024-01-29",NULL,"D_EW","NFL","17","123.00","17","129.00","65.00","129.00",8
"2024-01-25","2024-01-30",NULL,"D_EW","IBULHSGFIN","1000","199.00","1000","198.00","198.00",NULL,7
"2024-01-25","2024-01-31",NULL,"D_EW","INDIACEM","51","253.00","51","264.00","233.00","264.00",7
"2024-01-25","2024-01-25",NULL,"D_EW","KHAICHEM","34","91.00","34","93.00","62.00","93.00",7
"2024-01-29","2024-02-05",NULL,"D_EW","MSTCLTD","76","1011.00","76","1081.00","417.00",NULL,8
"2024-01-29","2024-02-05",NULL,"D_EW","RADIOCITY","5923","21.00","5923","24.00","13.00",NULL,8
"2024-01-29","2024-02-02",NULL,"D_EW","RTNPOWER","5526","11.00","5526","12.00","3.00",NULL,8
"2024-01-29","2024-02-02",NULL,"D_EW","VARDHACRLC","2832","67.00","2832","67.00","51.00",NULL,8
"2024-01-30","2024-01-08",NULL,"PR_EW","ORCHPHARMA","105","864.00","105","832.00","432.00","773.00",7
"2024-01-31","2023-12-01",NULL,"PR_EW","HGS","816","983.00","816","1022.00","927.00","1022.00",6
