Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL
360ONE.NS,2/7/2024,1014,265.38,637.21,,652.70
360ONE.NS,2/26/2024,1014,358.38,,760.70,775.00
360ONE.NS,4/1/2024,1014,357.50,683.60,,702.50
360ONE.NS,4/25/2024,1014,308.95,,832.21,900.95
360ONE.NS,5/10/2024,1014,426.42,742.76,,900.95
360ONE.NS,5/24/2024,1014,431.65,,825.44,829.90
360ONE.NS,6/5/2024,1014,420.25,735.30,,829.90
360ONE.NS,7/1/2024,1014,395.10,,1002.86,1065.00
360ONE.NS,7/5/2024,1014,395.10,932.08,,1065.00
360ONE.NS,7/10/2024,1014,475.00,,1015.69,1034.95
360ONE.NS,7/15/2024,1014,475.00,948.47,,1034.95
360ONE.NS,7/31/2024,1014,475.00,,1128.16,1139.10
360ONE.NS,8/7/2024,1014,475.00,989.41,,1215.00
360ONE.NS,9/12/2024,1014,691.40,,1104.03,1119.65
21STCENMGM.NS,2/1/2024,105,20.75,,43.80,43.80
21STCENMGM.NS,2/7/2024,105,20.75,42.05,,43.80
21STCENMGM.NS,2/26/2024,105,53.25,,53.57,53.60
21STCENMGM.NS,4/1/2024,105,26.45,41.72,,51.35
21STCENMGM.NS,4/23/2024,105,23.45,,53.83,54.30
21STCENMGM.NS,4/30/2024,105,24.00,49.44,,55.00
21STCENMGM.NS,5/6/2024,105,22.30,,53.13,53.65
21STCENMGM.NS,5/23/2024,105,22.00,43.21,,54.50
21STCENMGM.NS,7/16/2024,105,18.10,,81.10,81.10
21STCENMGM.NS,7/23/2024,105,18.15,76.09,,81.10
21STCENMGM.NS,9/11/2024,105,42.70,,140.01,141.40
1STCUS.BO,1/9/2024,117,28.50,56.96,,66.00
1STCUS.BO,1/15/2024,117,28.50,,61.72,66.00
1STCUS.BO,1/30/2024,117,28.50,51.10,,66.00
1STCUS.BO,2/7/2024,117,28.50,,61.23,62.70
1STCUS.BO,2/13/2024,117,38.00,51.23,,62.70
1STCUS.BO,2/23/2024,117,38.00,,61.52,62.99
1STCUS.BO,4/8/2024,117,46.00,49.46,,49.46
1STCUS.BO,4/18/2024,117,46.00,,61.81,62.58
1STCUS.BO,4/19/2024,117,46.00,57.96,,62.58
1STCUS.BO,4/22/2024,117,46.00,60.00,60.00,62.58
1STCUS.BO,4/23/2024,117,46.00,61.50,62.50,63.00
1STCUS.BO,4/24/2024,117,43.80,61.00,61.00,63.00
1STCUS.BO,4/25/2024,117,41.65,,61.00,63.00
1STCUS.BO,4/30/2024,117,35.25,53.60,,63.00
1STCUS.BO,5/15/2024,117,36.95,,62.00,64.00
1STCUS.BO,5/16/2024,117,36.50,60.08,,64.00
1STCUS.BO,5/17/2024,117,36.50,57.96,60.93,64.00
1STCUS.BO,5/21/2024,117,36.50,61.37,62.10,64.00
1STCUS.BO,5/22/2024,117,36.50,59.48,62.53,64.05
1STCUS.BO,5/23/2024,117,36.50,67.20,67.20,67.20
1STCUS.BO,5/24/2024,117,36.50,70.56,70.56,70.56
1STCUS.BO,5/27/2024,117,36.50,74.08,74.08,74.08
1STCUS.BO,5/28/2024,117,36.50,77.78,77.78,77.78
1STCUS.BO,5/29/2024,117,37.05,81.66,81.66,81.66
1STCUS.BO,5/30/2024,117,36.80,85.74,85.74,85.74
1STCUS.BO,5/31/2024,117,36.80,,90.02,90.02
1STCUS.BO,6/6/2024,117,36.80,79.65,,94.52
1STCUS.BO,6/24/2024,117,29.45,,141.23,141.23
1STCUS.BO,7/30/2024,117,32.87,86.31,,97.30
1STCUS.BO,8/13/2024,117,50.00,,127.15,127.15
1STCUS.BO,9/13/2024,117,47.69,89.36,,127.19
1STCUS.BO,9/25/2024,117,93.90,,125.13,126.35
20MICRONS.NS,1/12/2024,293,28.20,178.21,180.64,181.85
20MICRONS.NS,1/15/2024,293,28.20,177.19,181.06,183.00
20MICRONS.NS,1/16/2024,293,28.20,,175.96,183.00
20MICRONS.NS,2/14/2024,293,48.45,147.80,,177.70
20MICRONS.NS,2/20/2024,293,55.50,,157.91,159.20
20MICRONS.NS,3/14/2024,293,67.00,139.30,,174.30
20MICRONS.NS,3/15/2024,293,67.00,,152.38,154.90
20MICRONS.NS,4/1/2024,293,77.15,138.58,,159.00
20MICRONS.NS,5/6/2024,293,93.15,,173.04,177.00
20MICRONS.NS,5/10/2024,293,87.25,160.84,,177.00
20MICRONS.NS,5/16/2024,293,87.25,,189.39,191.65
20MICRONS.NS,5/29/2024,293,76.00,166.70,,195.00
20MICRONS.NS,5/30/2024,293,71.90,,181.89,185.65
20MICRONS.NS,6/6/2024,293,64.00,171.65,,185.65
20MICRONS.NS,7/9/2024,293,63.05,,233.25,236.00
20MICRONS.NS,7/19/2024,293,63.05,209.49,,233.70
20MICRONS.NS,8/2/2024,293,161.00,,283.54,294.80
20MICRONS.NS,8/7/2024,293,161.00,274.42,,302.70
20MICRONS.NS,8/9/2024,293,161.00,,324.01,331.50
20MICRONS.NS,8/16/2024,293,144.50,293.60,,331.50
20MICRONS.NS,8/23/2024,293,132.00,,337.48,348.00
3IINFOLTD.NS,1/12/2024,33,67.00,54.60,,57.90
3IINFOLTD.NS,1/31/2024,33,84.50,,62.68,63.90
3IINFOLTD.NS,2/6/2024,33,66.50,57.01,,63.90
3IINFOLTD.NS,2/7/2024,33,66.50,,60.35,61.20
3IINFOLTD.NS,2/14/2024,33,66.50,47.63,,61.20
3IINFOLTD.NS,2/15/2024,33,66.50,,53.97,55.50
3IINFOLTD.NS,3/14/2024,33,49.10,40.26,,55.50
3IINFOLTD.NS,3/15/2024,33,49.10,41.10,42.70,55.50
3IINFOLTD.NS,3/18/2024,33,49.10,40.66,41.49,55.50
3IINFOLTD.NS,3/19/2024,33,49.10,40.40,41.00,55.50
3IINFOLTD.NS,3/20/2024,33,49.10,39.84,40.71,55.50
3IINFOLTD.NS,3/21/2024,33,49.10,40.96,41.89,55.50
3IINFOLTD.NS,3/22/2024,33,49.10,41.44,42.11,42.45
3IINFOLTD.NS,3/26/2024,33,49.10,,41.36,42.45
3IINFOLTD.NS,4/1/2024,33,43.20,40.79,,43.30
3IINFOLTD.NS,4/4/2024,33,43.00,,45.49,46.00
3IINFOLTD.NS,5/16/2024,33,41.40,37.89,,39.50
3IINFOLTD.NS,5/17/2024,33,40.60,,39.65,39.80
3IINFOLTD.NS,7/3/2024,33,30.70,36.81,,39.50
3IINFOLTD.NS,7/8/2024,33,31.80,,41.98,42.59
3IINFOLTD.NS,8/19/2024,33,44.85,33.93,,34.74
3IINFOLTD.NS,8/28/2024,33,38.50,,37.42,38.17
3PLAND.NS,1/17/2024,38,7.65,,36.14,37.20
3PLAND.NS,1/19/2024,38,7.65,34.40,,37.20
3PLAND.NS,1/20/2024,38,12.60,,37.01,37.45
3PLAND.NS,1/30/2024,38,12.30,37.03,,39.25
3PLAND.NS,2/5/2024,38,13.75,,39.50,40.00
3PLAND.NS,2/15/2024,38,12.65,34.05,,40.00
3PLAND.NS,2/19/2024,38,12.50,,35.59,36.35
3PLAND.NS,3/19/2024,38,14.15,29.55,,30.60
3PLAND.NS,3/21/2024,38,14.00,,30.61,31.45
3PLAND.NS,4/1/2024,38,13.80,26.93,,31.45
3PLAND.NS,4/5/2024,38,13.00,,33.94,34.25
3PLAND.NS,4/29/2024,38,13.00,29.99,,35.95
3PLAND.NS,5/3/2024,38,16.00,,33.30,33.55
3PLAND.NS,5/10/2024,38,16.00,29.89,,33.55
