Ticker,Date/Time,Close,hh,ll,FromLow,FromHigh
1STCUS.BO,10/4/2024,117.00,126.35,89.35,3.00,1.00
1STCUS.BO,10/9/2024,116.00,126.35,89.35,4.00,2.00
20MICRONS.NS,10/4/2024,276.65,348.00,266.75,0.00,0.00
20MICRONS.NS,10/9/2024,274.10,348.00,257.60,0.00,0.00
21STCENMGM.NS,10/4/2024,100.70,141.40,100.70,0.00,0.00
21STCENMGM.NS,10/9/2024,102.66,141.40,96.70,0.00,0.00
360ONE.NS,10/4/2024,1011.20,1215.00,940.00,0.00,0.00
360ONE.NS,10/9/2024,1010.00,1215.00,940.00,1.00,1.00
3IINFOLTD.NS,10/4/2024,31.67,42.59,31.50,0.00,0.00
3IINFOLTD.NS,10/9/2024,30.43,42.59,29.52,0.00,0.00
3MINDIA.NS,10/4/2024,34329.85,40856.50,33444.05,0.00,0.00
3MINDIA.NS,10/9/2024,34926.50,40856.50,33444.05,1.00,0.00
3RDROCK.NS,10/4/2024,64.60,64.60,61.20,,84.00
3RDROCK.NS,10/8/2024,64.60,64.60,61.20,,85.00
3PLAND.NS,10/4/2024,37.94,56.15,36.00,8.00,0.00
3PLAND.NS,10/9/2024,37.61,56.15,35.53,9.00,0.00
4THGEN.BO,10/4/2024,6.24,6.24,5.17,0.00,0.00
4THGEN.BO,10/8/2024,6.24,6.24,5.17,0.00,1.00
7NR.BO,10/4/2024,5.80,,5.62,,1.00
7NR.BO,10/9/2024,5.81,,5.40,,0.00
5PAISA.NS,10/4/2024,524.45,575.50,458.00,0.00,1.00
5PAISA.NS,10/9/2024,526.20,575.50,458.00,0.00,2.00
7SEASL.BO,9/9/2024,80.94,,,,
63MOONS.NS,10/4/2024,389.80,449.00,316.00,2.00,3.00
63MOONS.NS,10/9/2024,391.25,449.00,351.00,0.00,4.00
7TEC.BO,10/4/2024,54.16,66.85,53.05,0.00,0.00
7TEC.BO,10/9/2024,53.46,66.85,51.00,0.00,0.00
^CNXAUTO,10/4/2024,25926.30,27696.10,24464.50,0.00,1.00
^CNXAUTO,10/9/2024,26450.25,27696.10,24464.50,0.00,2.00
^CNXENERGY,10/4/2024,42080.65,44721.10,41498.35,0.00,0.00
^CNXENERGY,10/9/2024,41377.80,44721.10,40704.65,0.00,0.00
^CNXFMCG,10/4/2024,63380.05,66438.70,53057.65,0.00,1.00
^CNXFMCG,10/9/2024,62334.35,66438.70,62190.75,0.00,2.00
^CNXIT,10/4/2024,41912.50,43645.90,31320.15,2.00,2.00
^CNXIT,10/9/2024,42622.75,43645.90,31320.15,3.00,3.00
^CNXMETAL,10/4/2024,10113.20,10322.05,8727.80,0.00,0.00
^CNXMETAL,10/9/2024,9800.75,10322.05,8727.80,0.00,1.00
^CNXPSUBANK,10/4/2024,6714.65,7542.55,6503.30,17.00,1.00
^CNXPSUBANK,10/9/2024,6623.45,7542.55,6442.20,0.00,0.00
^CNXREALTY,10/4/2024,1031.80,1140.40,1011.80,0.00,1.00
^CNXREALTY,10/9/2024,1052.05,1140.40,1011.80,1.00,2.00
^NSEBANK,10/4/2024,51462.05,54467.35,49654.65,0.00,1.00
^NSEBANK,10/9/2024,51007.00,54467.35,50194.30,0.00,2.00
AAATECH.NS,10/4/2024,126.05,160.85,93.55,0.00,2.00
AAATECH.NS,10/9/2024,131.45,160.85,115.00,0.00,3.00
^NSEI,10/4/2024,25014.60,26277.35,23893.70,0.00,1.00
^NSEI,10/9/2024,24981.95,26277.35,24694.35,0.00,2.00
AAIL.BO,10/4/2024,109.20,123.00,108.40,15.00,12.00
AAIL.BO,10/9/2024,107.60,123.00,104.80,16.00,0.00
A2ZINFRA.NS,10/4/2024,16.58,20.68,15.87,7.00,6.00
A2ZINFRA.NS,10/9/2024,17.81,20.68,15.75,8.00,0.00
AANANDALAK.BO,9/9/2024,19.11,19.63,4.76,0.00,0.00
AAKASH.NS,10/4/2024,11.49,17.15,11.25,0.00,0.00
AAKASH.NS,10/9/2024,12.02,17.15,10.47,0.00,0.00
AANCHALISP.BO,10/4/2024,5.81,6.54,5.66,0.00,4.00
AANCHALISP.BO,10/9/2024,5.54,6.54,5.25,0.00,0.00
AARNAV.BO,9/9/2024,54.95,,,,
AARON.NS,10/4/2024,260.90,291.00,252.00,0.00,0.00
AARON.NS,10/9/2024,258.30,291.00,251.05,0.00,0.00
AARTIDRUGS.NS,10/4/2024,516.35,635.00,505.05,0.00,0.00
AARTIDRUGS.NS,10/9/2024,510.55,635.00,499.45,0.00,0.00
AARTECH.BO,10/4/2024,68.18,84.75,68.18,0.00,0.00
AARTECH.BO,10/9/2024,67.27,84.75,63.00,0.00,0.00
AARTIIND.NS,10/4/2024,551.15,765.50,549.00,0.00,0.00
AARTIIND.NS,10/9/2024,530.10,765.50,526.25,0.00,0.00
AARTISURF.NS,10/4/2024,809.55,918.00,605.00,2.00,2.00
AARTISURF.NS,10/9/2024,794.30,918.00,605.00,3.00,3.00
AARVEEDEN.NS,10/4/2024,49.00,58.22,21.65,1.00,2.00
AARVEEDEN.NS,10/9/2024,49.56,58.22,21.65,2.00,3.00
AAVAS.NS,10/4/2024,1776.90,1939.95,1603.30,0.00,1.00
AAVAS.NS,10/9/2024,1722.55,1939.95,1690.00,0.00,2.00
AARVI.NS,10/4/2024,136.06,165.00,135.00,0.00,0.00
AARVI.NS,10/9/2024,148.52,160.12,129.25,0.00,0.00
AAYUSH.BO,10/4/2024,73.11,73.12,26.51,0.00,10.00
AAYUSH.BO,10/9/2024,77.57,77.57,26.51,0.00,11.00
ABAN.NS,10/4/2024,72.79,91.50,70.06,2.00,6.00
ABAN.NS,10/9/2024,71.12,91.50,68.10,0.00,0.00
ABANSENT.BO,10/4/2024,178.00,198.35,124.10,0.00,0.00
ABANSENT.BO,10/9/2024,193.10,198.35,124.10,1.00,1.00
ABB.NS,10/4/2024,7930.40,8303.25,7350.05,0.00,0.00
ABB.NS,10/9/2024,8458.05,8579.80,7350.05,0.00,0.00
ABBOTINDIA.NS,9/6/2024,29895.75,30521.00,26770.00,1.00,1.00
ABBOTINDIA.NS,9/13/2024,29559.00,30521.00,26770.00,2.00,2.00
ABBOTINDIA.BO,10/4/2024,28090.70,30499.90,27534.30,2.00,5.00
ABBOTINDIA.BO,10/9/2024,28589.35,30499.90,27534.30,3.00,6.00
ABCINDQ.BO,10/4/2024,126.35,165.00,118.10,0.00,5.00
ABCINDQ.BO,10/9/2024,131.10,165.00,118.10,1.00,6.00
ABHIFIN.BO,9/9/2024,37.27,,,,
ABHICAP.BO,10/4/2024,157.00,195.00,152.20,0.00,0.00
ABHICAP.BO,10/9/2024,161.85,195.00,150.00,0.00,0.00
ABHIINFRA.BO,10/4/2024,9.29,11.36,5.92,0.00,2.00
ABHIINFRA.BO,10/8/2024,8.83,11.36,5.92,0.00,3.00
ABIRAFN.BO,10/4/2024,58.20,63.95,52.25,2.00,1.00
ABIRAFN.BO,10/9/2024,53.75,63.95,52.25,3.00,2.00
ABMKNO.BO,10/4/2024,137.75,171.00,132.80,2.00,2.00
ABMKNO.BO,10/9/2024,135.70,171.00,126.30,0.00,0.00
ABVL.BO,10/7/2024,121.30,121.30,,0.00,
ABFRL.NS,10/4/2024,333.00,364.40,303.00,1.00,1.00
ABFRL.NS,10/9/2024,341.20,364.40,303.00,0.00,2.00
ABCAPITAL.NS,10/4/2024,227.83,244.00,200.05,0.00,0.00
ABCAPITAL.NS,10/9/2024,225.61,244.00,200.05,0.00,1.00
