Ticker,Date/Time,Close,myBuy ,myShort
1STCUS.BO,9/18/2024,122,1,
^CNXAUTO,9/20/2024,27611,1,
A2ZINFRA.NS,9/25/2024,19,1,
AAVAS.NS,9/27/2024,1820,,1
ABB.NS,9/25/2024,8133,1,
ACIIN.BO,9/20/2024,2,1,
ADFFOODS.NS,9/23/2024,272,,1
ADVAIT.BO,9/25/2024,1870,1,
AIAENG.NS,9/24/2024,4290,1,
AMRUTANJAN.NS,9/25/2024,769,,1
ANJANIFIN.BO,9/23/2024,13,,1
ARNOLD.BO,9/19/2024,68,,1
ASHIMASYN.NS,9/18/2024,33,1,
ASIANHOTNR.NS,9/27/2024,188,1,
ASMTEC.BO,9/19/2024,1650,1,
ASTEC.NS,9/26/2024,1181,,1
ATFL.NS,9/26/2024,832,1,
AVANTEL.BO,9/18/2024,172,1,
AWHCL.NS,9/24/2024,720,1,
BAJAJHIND.NS,9/24/2024,43,1,
BALKRISHNA.NS,9/18/2024,29,,1
BAROEXT.BO,9/26/2024,12,,1
BEEKAY.BO,9/19/2024,718,1,
BHAGERIA.NS,9/19/2024,235,,1
BHASKAGR.BO,9/24/2024,68,1,
BIOCON.NS,9/18/2024,369,,1
CALSOFT.NS,9/18/2024,23,,1
CENTRUM.NS,9/19/2024,36,1,
CHEMBOND.NS,9/24/2024,604,1,
CHLOGIST.BO,9/24/2024,11,,1
CHOKSILA.BO,9/19/2024,73,,1
CIEINDIA.NS,9/26/2024,544,,1
CINELINE.NS,9/26/2024,118,,1
CITADEL.BO,9/25/2024,57,,1
CLEDUCATE.NS,9/20/2024,114,,1
COALINDIA.NS,9/27/2024,516,1,
CORDSCABLE.NS,9/24/2024,226,1,
COROENGG.BO,9/23/2024,58,1,
COSYN.BO,9/24/2024,45,,1
CPSEETF.BO,9/25/2024,102,1,
CRANEX.BO,9/24/2024,146,,1
CREATIVE.NS,9/24/2024,854,,1
CTL.BO,9/27/2024,46,1,
CTE.NS,9/23/2024,107,1,
CUBEXTUB.NS,9/25/2024,103,1,
CUBIFIN.BO,9/24/2024,2,,1
CUMMINSIND.NS,9/26/2024,3865,,1
CYBERMEDIA.NS,9/27/2024,26,1,
DCI.NS,9/23/2024,360,1,
DEEPENR.NS,9/19/2024,312,,1
DIAMINESQ.BO,9/23/2024,563,1,
DRCSYSTEMS.NS,9/24/2024,24,,1
DREDGECORP.NS,9/24/2024,943,1,
DRREDDY.NS,9/27/2024,6750,1,
ELGIEQUIP.NS,9/23/2024,666,,1
ENDURANCE.NS,9/19/2024,2367,1,
