Date/Time_x,Ticker_x,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close_x,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave_x,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL_x,UpBars,Uptrend Length,hh,ll,myShort,Buy,Primary_Key,Ticker_y,Date/Time_y,Close_y,SL_y,Mega Buy by Larger Wave ,Mega Sellby Larger Wave_y,Short_SL,Call,Status
2024-09-27,ACROW.BO,1.0,,,BB,EW,,,762.0,,,4.0,4.0,,,,,3563.0,_DC,34.22,2344.0,5.5,3.58,722.0,,,1020.0,601.0,,EWBB_DC,ACROW.BO_2024-09-27,ACROW.BO,2024-09-27,790,601.0,732.09,,815.0,Long,Open
2024-09-27,AGRITECH.NS,1.0,,ATR,,EW,,,226.0,,,9.0,9.0,,,,,3563.0,_BW,62.46,1338.0,4.76,16.01,210.15,,,246.99,205.3,,ATREW_BW,AGRITECH.NS_2024-09-27,AGRITECH.NS,2024-09-27,221,205.3,216.32,,234.85,Long,Open
2024-09-27,AKZOINDIA.NS,1.0,,ATR,,,,,3782.85,,,2.0,0.0,,,,,3563.0,_UC,83.55,587.0,5.9,32.37,,,,3971.25,2752.0,,ATR_UC,AKZOINDIA.NS_2024-09-27,AKZOINDIA.NS,2024-09-27,3935,2752.0,3709.55,,3860.0,Long,Open
2024-09-27,ALPA.NS,1.0,,ATR,BB,EW,,,132.0,,,0.0,0.0,,,,,3563.0,_W,87.2,457.0,22.32,38.46,109.51,,,132.81,69.9,,ATREWBB_W,ALPA.NS_2024-09-27,ALPA.NS,2024-09-27,135,69.9,116.21,,132.81,Long,Open
2024-09-27,BALPHARMA.NS,1.0,,,,EW,,,133.0,,,4.0,0.0,,,,,3563.0,_DC,64.35,1271.0,5.7,17.03,121.76,,,157.98,121.76,,EW_DC,BALPHARMA.NS_2024-09-27,BALPHARMA.NS,2024-09-27,137,109.18,127.85,,133.25,Long,Open
2024-09-27,BBL.NS,0.0,,ATR,,EW,,,4842.0,,,0.0,10.0,,,,,3563.0,_UC,79.51,731.0,3.22,27.86,4545.0,,,5470.0,4545.0,,ATREW_UC,BBL.NS_2024-09-27,BBL.NS,2024-09-27,4663,4545.05,4675.83,,4900.0,Long,Open
2024-09-27,BBTC.NS,1.0,,ATR,,EW,,ZZ,2859.0,0.0,9.0,0.0,0.0,2734.42,2792.7,2850.99,,3563.0,_BW,91.13,317.0,8.12,46.7,2506.15,6.0,6.0,2878.0,1318.2,,ATREW_BW,BBTC.NS_2024-09-27,BBTC.NS,2024-09-27,2885,1318.2,2744.46,,2878.0,Long,Open
2024-09-27,BERYLSE.BO,1.0,,,,EW,,,28.0,,,3.0,5.0,,,,,3563.0,_W,26.42,2622.0,4.44,0.11,26.0,,,32.0,23.37,,EW_W,BERYLSE.BO_2024-09-27,BERYLSE.BO,2024-09-27,31,23.37,28.1,,29.76,Long,Open
2024-09-27,BIBCL.BO,1.0,,ATR,,EW,,,30.0,,,0.0,1.0,,,,,3563.0,_DC,34.45,2336.0,6.18,3.67,27.11,,,30.52,27.05,,ATREW_DC,BIBCL.BO_2024-09-27,BIBCL.BO,2024-09-27,28,27.05,27.96,,30.52,Long,Open
2024-09-27,BLOIN.BO,1.0,,,,EW,,,33.0,,,0.0,0.0,,,,,3563.0,_BW,98.51,54.0,18.25,147.46,28.5,,,36.62,3.95,,EW_BW,BLOIN.BO_2024-09-27,BLOIN.BO,2024-09-27,47,3.95,31.99,,36.62,Long,Open
2024-09-27,BNRSEC.BO,1.0,,,,EW,,,175.0,,,0.0,2.0,,,,,3563.0,_W,88.12,424.0,6.12,40.28,132.0,,,180.3,132.0,,EW_W,BNRSEC.BO_2024-09-27,BNRSEC.BO,2024-09-27,180,132.0,171.01,,180.3,Long,Open
2024-09-27,BPL.NS,0.0,,,,EW,,,109.0,,,1.0,1.0,,,,,3563.0,_DC,42.2,2060.0,0.79,6.78,107.6,,,147.85,106.2,,EW_DC,BPL.NS_2024-09-27,BPL.NS,2024-09-27,110,106.2,108.65,,114.0,Long,Open
2024-09-27,BRADYM.BO,1.0,,,,EW,,,1855.0,,,1.0,1.0,,,,,3563.0,_UC,96.1,140.0,5.61,76.11,1681.0,,,1994.1,1060.0,,EW_UC,BRADYM.BO_2024-09-27,BRADYM.BO,2024-09-27,1987,1060.0,1789.74,,1994.1,Long,Open
