Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
1STCUS.BO,9/27/2024,121.55,10.00,0.00,32.00,10.00,138.49,135.98,133.48,1
3RDROCK.NS,9/26/2024,64.60,276.00,0.00,,276.00,,,,1
5PAISA.NS,9/27/2024,537.60,35.00,0.00,73.00,35.00,582.56,553.97,525.38,1
4THGEN.BO,9/26/2024,5.95,37.00,0.00,48.00,37.00,5.96,5.71,5.47,1
^CNXAUTO,9/27/2024,27610.75,37.00,0.00,41.00,37.00,27454.21,26691.33,25928.45,1
^CNXENERGY,9/27/2024,44545.00,12.00,0.00,40.00,12.00,44818.72,44262.31,43705.90,1
^CNXIT,9/27/2024,42312.60,38.00,0.00,43.00,38.00,46527.44,45318.58,44109.71,1
^CNXFMCG,9/27/2024,65845.45,128.00,0.00,177.00,128.00,67500.14,65424.28,63348.41,1
^CNXMETAL,9/27/2024,10064.60,31.00,0.00,40.00,31.00,10009.31,9613.98,9218.65,1
^CNXREALTY,9/27/2024,1117.80,38.00,0.00,71.00,38.00,1135.24,1095.52,1055.80,1
^NSEBANK,9/27/2024,53834.30,31.00,0.00,59.00,31.00,54794.24,53659.15,52524.05,1
A2ZINFRA.NS,9/27/2024,18.83,9.00,0.00,27.00,9.00,18.90,18.77,18.65,1
^NSEI,9/27/2024,26178.95,226.00,0.00,252.00,226.00,26391.68,25458.38,24525.08,1
AAVAS.NS,9/27/2024,1819.85,35.00,0.00,70.00,35.00,1966.30,1898.44,1830.59,1
AAYUSH.BO,9/27/2024,67.58,45.00,0.00,65.00,45.00,67.23,64.75,62.28,1
ABANSENT.BO,9/27/2024,162.65,18.00,0.00,28.00,18.00,162.60,156.00,149.40,1
ABAN.NS,9/27/2024,75.75,6.00,0.00,16.00,6.00,90.68,88.98,87.28,1
ABCAPITAL.NS,9/27/2024,236.30,31.00,0.00,41.00,31.00,240.92,232.16,223.39,1
ABBOTINDIA.NS,9/13/2024,29559.00,23.00,0.00,40.00,23.00,33379.60,32942.86,32506.12,1
ABFRL.NS,9/27/2024,352.10,14.00,0.00,41.00,14.00,357.41,349.94,342.46,1
ACC.NS,9/27/2024,2483.30,31.00,0.00,61.00,31.00,0.00,0.00,0.00,1
ACCURACY.NS,9/27/2024,10.54,5.00,0.00,26.00,5.00,10.64,10.53,10.43,1
ACCELYA.NS,9/27/2024,1848.25,31.00,0.00,44.00,31.00,1883.57,1833.56,1783.54,1
ABB.NS,9/27/2024,8133.45,14.00,0.00,34.00,14.00,8327.84,8100.62,7873.41,1
ACESOFT.BO,9/27/2024,384.50,4.00,0.00,9.00,4.00,392.33,387.61,382.89,1
ACME.BO,9/27/2024,37.70,5.00,0.00,13.00,5.00,44.16,43.75,43.34,1
ACE.NS,9/27/2024,1418.80,14.00,0.00,26.00,14.00,1544.39,1487.51,1430.63,1
ADANIENT.NS,9/27/2024,3130.30,6.00,0.00,40.00,6.00,3191.53,3155.10,3118.68,1
ADANIGREEN.NS,9/27/2024,1981.85,10.00,0.00,27.00,10.00,2180.06,2123.13,2066.19,1
ADANIPOWER.NS,9/27/2024,654.30,12.00,0.00,40.00,12.00,705.06,686.39,667.72,1
ADCINDIA.BO,9/27/2024,2004.00,6.00,0.00,17.00,6.00,2066.30,2010.43,1954.56,1
ADITYASP.BO,9/27/2024,25.90,9.00,0.00,13.00,9.00,29.40,28.17,26.94,1
ADMANUM.BO,9/27/2024,131.04,11.00,0.00,14.00,11.00,143.23,141.09,138.95,1
ADORFO.BO,9/24/2024,142.50,11.00,0.00,50.00,11.00,146.62,142.25,137.89,1
ADVAIT.BO,9/27/2024,1870.00,5.00,0.00,20.00,5.00,2017.97,1992.24,1966.51,1
ADORWELD.NS,9/27/2024,1387.30,19.00,0.00,43.00,19.00,1432.26,1387.73,1343.20,1
