Ticker,Last Alert Date,Buy Price,Target,Call,Status
1STCUS.BO,2024-09-25,,125.13,Short,Close
20MICRONS.NS,2024-10-16,278.0,,Long,Open
21STCENMGM.NS,2024-10-08,97.69,,Long,Open
360ONE.NS,2024-10-16,,1123.01,Short,Close
3IINFOLTD.NS,2024-08-28,,37.42,Short,Close
3MINDIA.NS,2024-07-30,,40222.6,Short,Close
3PLAND.NS,2024-09-09,,44.95,Short,Close
4THGEN.BO,2024-09-16,5.67,,Long,Open
5PAISA.NS,2024-10-15,,582.34,Short,Close
63MOONS.NS,2024-10-15,,528.26,Short,Close
7NR.BO,2024-09-27,,6.0,Short,Close
7TEC.BO,2024-08-01,,65.69,Short,Close
A2ZINFRA.NS,2024-10-16,18.21,,Long,Open
AAATECH.NS,2024-10-18,,132.98,Short,Close
AAIL.BO,2024-10-16,,121.0,Short,Close
AAKASH.NS,2024-07-31,,14.11,Short,Close
AANANDALAK.BO,2024-09-13,18.24,,Long,Open
AANCHALISP.BO,2024-10-17,,6.05,Short,Close
AARON.NS,2024-10-14,,290.3,Short,Close
AARTECH.BO,2024-10-16,,68.93,Short,Close
AARTIDRUGS.NS,2024-08-26,,613.4,Short,Close
AARTIIND.NS,2024-09-24,,586.67,Short,Close
AARTISURF.NS,2024-10-03,,847.76,Short,Close
AARVEEDEN.NS,2024-10-10,,50.35,Short,Close
AARVI.NS,2024-10-09,149.95,,Long,Open
AAVAS.NS,2024-09-23,,1907.79,Short,Close
AAYUSH.BO,2024-10-04,73.11,,Long,Open
ABAN.NS,2024-09-24,,79.94,Short,Close
ABANSENT.BO,2024-10-18,38.13,,Long,Open
ABB.NS,2024-10-18,,8777.51,Short,Close
ABBOTINDIA.BO,2024-10-08,28154.05,,Long,Open
ABBOTINDIA.NS,2024-08-21,27946.75,,Long,Open
ABCAPITAL.NS,2024-10-01,,241.8,Short,Close
ABCINDQ.BO,2024-10-10,,132.94,Short,Close
ABFRL.NS,2024-10-15,,350.92,Short,Close
ABHICAP.BO,2024-10-09,160.6,,Long,Open
ABHIINFRA.BO,2024-09-16,,10.82,Short,Close
ABIRAFN.BO,2024-10-16,49.9,,Long,Open
ABMKNO.BO,2024-08-28,,165.36,Short,Close
ACC.NS,2024-09-13,,2507.04,Short,Close
ACCEL.BO,2024-10-15,,25.13,Short,Close
ACCELYA.NS,2024-10-10,,1818.75,Short,Close
ACCURACY.NS,2024-10-16,,10.91,Short,Close
ACE.NS,2024-10-16,,1409.0,Short,Close
ACEINTEG.NS,2024-09-30,35.62,,Long,Open
ACEMEN.BO,2024-10-03,,76.5,Short,Close
ACESOFT.BO,2024-09-24,370.9,,Long,Open
ACGL.BO,2024-10-17,,2762.01,Short,Close
ACIIN.BO,2024-10-22,,2.78,Short,Close
ACKNIT.BO,2024-09-18,,353.79,Short,Close
ACL.NS,2024-10-01,88.95,,Long,Open
ACME.BO,2024-10-10,,35.31,Short,Close
ACML.BO,2024-10-09,70.46,,Long,Open
ACROW.BO,2024-10-11,,767.85,Short,Close
ADANIENT.NS,2024-10-10,,3172.27,Short,Close
ADANIGREEN.NS,2024-09-24,,2065.66,Short,Close
ADANIPORTS.NS,2024-08-01,,1595.84,Short,Close
ADANIPOWER.NS,2024-09-24,,675.17,Short,Close
ADARSHPL.BO,2024-10-15,,34.86,Short,Close
ADCINDIA.BO,2024-10-09,,1936.29,Short,Close
ADCON.BO,2024-10-17,,1.04,Short,Close
ADDIND.BO,2024-09-20,,51.83,Short,Close
ADFFOODS.NS,2024-10-16,295.05,,Long,Open
ADIEXRE.BO,2024-10-09,24.98,,Long,Open
ADINATH.BO,2024-10-01,,31.01,Short,Close
ADITYA.BO,2024-09-27,,10.46,Short,Close
ADITYASP.BO,2024-10-07,25.0,,Long,Open
ADL.NS,2024-09-12,137.9,,Long,Open
ADMANUM.BO,2024-10-10,,112.2,Short,Close
ADORFO.BO,2024-09-10,133.05,,Long,Open
ADORMUL.BO,2024-10-17,,38.46,Short,Close
ADORWELD.NS,2024-10-16,,1385.9,Short,Close
ADROITINFO.NS,2024-10-10,19.95,,Long,Open
ADSL.NS,2024-10-16,,300.51,Short,Close
ADVAIT.BO,2024-10-11,,1858.56,Short,Close
ADVANIHOTR.NS,2024-09-23,74.34,,Long,Open
ADVENZYMES.NS,2024-09-16,,562.5,Short,Close
ADVIKCA.BO,2024-10-08,,3.19,Short,Close
AEGISCHEM.NS,2024-07-26,,892.86,Short,Close
AEGISLOG.BO,2024-10-15,686.2,,Long,Open
AEL.BO,2024-10-18,,221.5,Short,Close
AFEL.BO,2024-10-11,18.13,,Long,Open
AFFLE.NS,2024-10-11,,1614.4,Short,Close
AGARIND.NS,2024-10-10,,1141.08,Short,Close
AGIIL.BO,2024-10-17,,993.0,Short,Close
AGIOPAPER.BO,2024-09-27,,8.5,Short,Close
AGRITECH.NS,2024-10-09,,236.0,Short,Close
AGROPHOS.NS,2024-10-18,43.24,,Long,Open
AHLADA.NS,2024-10-10,,106.68,Short,Close
AHLEAST.NS,2024-10-17,,191.63,Short,Close
AHLUCONT.NS,2024-10-18,,1168.51,Short,Close
AHMDSTE.BO,2024-09-05,198.0,,Long,Open
AIAENG.NS,2024-08-12,,4897.94,Short,Close
AICHAMP.BO,2024-10-18,,60.84,Short,Close
AIIL.BO,2024-10-21,,1882.91,Short,Close
AIRAN.NS,2024-10-16,,37.72,Short,Close
AIROLAM.NS,2024-10-10,,144.61,Short,Close
AJANTPHARM.NS,2024-10-08,,3371.36,Short,Close
AJANTSOY.BO,2024-10-04,,48.49,Short,Close
AJCON.BO,2024-10-09,44.26,,Long,Open
AJEL.BO,2024-10-18,15.36,,Long,Open
AJMERA.NS,2024-10-15,711.5,,Long,Open
AJOONI.NS,2024-10-10,,8.69,Short,Close
AJWAFUN.BO,2021-02-12,6.83,,Long,Open
AKASH.NS,2024-09-24,,40.42,Short,Close
AKCAPIT.BO,2024-10-17,,1128.73,Short,Close
AKG.NS,2024-09-18,,22.13,Short,Close
AKI.BO,2024-10-18,19.28,,Long,Open
AKSHAR.BO,2024-09-20,1.66,,Long,Open
AKSHARCHEM.NS,2024-10-11,,324.77,Short,Close
AKSHOPTFBR.NS,2024-10-21,,11.84,Short,Close
AKSPINTEX.BO,2024-10-01,226.99,,Long,Open
AKZOINDIA.NS,2024-10-09,,4455.52,Short,Close
ALANKIT.NS,2024-10-08,22.29,,Long,Open
ALBERTDAVD.NS,2024-10-22,1386.24,,Long,Open
ALEMBICLTD.NS,2024-10-15,,139.34,Short,Close
ALEXANDER.BO,2024-10-21,15.34,,Long,Open
ALFAICA.BO,2024-10-16,,100.37,Short,Close
ALFATRAN.BO,2024-10-21,,134.38,Short,Close
ALFAVIO.BO,2024-09-27,,18.37,Short,Close
ALFL.BO,2024-09-17,,2.13,Short,Close
ALFREDHE.BO,2024-09-25,1606.21,,Long,Open
ALICON.NS,2024-10-11,,1336.14,Short,Close
ALKALI.NS,2024-10-14,,125.54,Short,Close
ALKEM.NS,2024-09-24,6020.26,,Long,Open
ALKYLAMINE.NS,2024-10-14,,2326.23,Short,Close
ALLCARGO.NS,2024-09-10,67.37,,Long,Open
ALLSEC.NS,2024-10-16,1012.75,,Long,Open
ALMONDZ.NS,2024-10-16,,33.73,Short,Close
ALOKINDS.NS,2024-10-01,,27.54,Short,Close
ALPA.NS,2024-09-30,,142.13,Short,Close
ALPHAGEO.NS,2024-10-16,,435.5,Short,Close
ALPINEHOU.BO,2024-10-11,101.94,,Long,Open
ALPSINDUS.NS,2024-10-04,,4.07,Short,Close
ALSTONE.BO,2024-10-11,,0.81,Short,Close
ALUFLUOR.BO,2024-10-17,,407.74,Short,Close
AMAL.BO,2024-10-21,,443.64,Short,Close
AMALGAM.BO,2024-10-10,,98.01,Short,Close
AMARAJABAT.NS,2023-12-20,749.97,,Long,Open
AMARJOTHI.BO,2024-08-27,,231.11,Short,Close
AMBALALSA.BO,2024-10-14,,62.19,Short,Close
AMBER.NS,2024-10-22,,6195.77,Short,Close
AMBICAAGAR.BO,2024-09-30,28.16,,Long,Open
AMBIKCO.NS,2024-09-17,,1821.13,Short,Close
AMBITION.BO,2024-08-22,2.69,,Long,Open
AMBUJACEM.NS,2024-07-01,,692.36,Short,Close
AMCOIND.BO,2024-10-16,,118.01,Short,Close
AMDIND.NS,2024-10-18,,70.77,Short,Close
AMFORG.BO,2024-10-14,,10.99,Short,Close
AMITINT.BO,2024-10-16,3.78,,Long,Open
AMJLAND.NS,2024-10-18,,53.1,Short,Close
AMNPLST.BO,2024-10-18,,336.16,Short,Close
AMRAAGRI.BO,2024-08-26,,1.18,Short,Close
AMRAPLIN.BO,2024-10-14,,17.16,Short,Close
AMRUTANJAN.NS,2024-10-16,,782.53,Short,Close
AMTL.BO,2024-10-14,,41.4,Short,Close
ANANTRAJ.NS,2024-10-16,,788.46,Short,Close
ANDHRAPAP.NS,2024-09-10,,117.07,Short,Close
ANDHRAPET.BO,2024-09-13,,100.93,Short,Close
ANDHRSUGAR.NS,2024-09-04,,116.0,Short,Close
ANDREWYU.BO,2024-10-15,,46.2,Short,Close
ANERI.BO,2024-09-30,5.98,,Long,Open
ANG.BO,2024-10-09,,50.42,Short,Close
ANGELONE.NS,2024-10-16,,3318.3,Short,Close
ANIKINDS.NS,2024-10-09,72.64,,Long,Open
ANJANI.BO,2024-10-11,,50.7,Short,Close
ANJANIFIN.BO,2024-10-14,,13.91,Short,Close
ANJANIFOODS.BO,2024-10-22,35.73,,Long,Open
ANKIN.BO,2024-10-18,,14.58,Short,Close
ANKITMETAL.NS,2024-10-18,3.56,,Long,Open
ANMOL.BO,2024-10-11,,33.95,Short,Close
ANNAINFRA.BO,2024-10-18,31.45,,Long,Open
ANSALAPI.NS,2024-09-20,,14.59,Short,Close
ANSALBU.BO,2024-10-10,179.81,,Long,Open
ANSALHSG.BO,2024-10-11,,21.53,Short,Close
ANSINDUS.BO,2024-09-26,11.62,,Long,Open
ANUHPHR.BO,2024-10-14,,210.25,Short,Close
ANUP.NS,2024-09-26,2205.76,,Long,Open
ANURAS.NS,2024-08-21,,806.89,Short,Close
APARINDS.NS,2024-10-15,,10862.64,Short,Close
APCL.NS,2024-10-04,,186.5,Short,Close
APCOTEXIND.NS,2024-08-30,,460.96,Short,Close
APEX.NS,2024-10-18,,263.35,Short,Close
APIL.BO,2024-10-14,24.95,,Long,Open
APLAB.BO,2024-09-06,,83.16,Short,Close
APLAPOLLO.NS,2024-10-01,,1614.19,Short,Close
APLLTD.NS,2024-10-16,,1189.05,Short,Close
APMIN.BO,2024-09-16,,59.06,Short,Close
APOLLO.NS,2024-09-16,,111.59,Short,Close
APOLLOFI.BO,2024-10-16,,889.0,Short,Close
APOLLOHOSP.NS,2024-10-08,6796.53,,Long,Open
APOLLOPIPE.NS,2024-09-04,,654.0,Short,Close
APOLLOTYRE.NS,2024-09-27,,553.18,Short,Close
APOLSINHOT.NS,2024-10-10,,1982.49,Short,Close
APTECHT.NS,2024-08-27,,251.28,Short,Close
ARAVALIS.BO,2024-10-17,,5.04,Short,Close
ARCEEIN.BO,2024-10-15,,6.9,Short,Close
ARCFIN.BO,2024-10-18,1.96,,Long,Open
ARCHIDPLY.NS,2024-10-11,,140.03,Short,Close
ARCHIES.NS,2024-10-01,33.3,,Long,Open
ARCHITORG.BO,2024-10-11,,46.93,Short,Close
ARENTERP.NS,2024-08-09,,77.49,Short,Close
AREXMIS.BO,2024-10-21,,178.25,Short,Close
ARFIN.BO,2024-09-13,,42.35,Short,Close
ARIES.NS,2024-10-16,,268.86,Short,Close
ARIHANT.BO,2024-10-04,463.92,,Long,Open
ARIHANTSUP.NS,2024-10-01,,430.0,Short,Close
ARISE.BO,2024-10-21,,36.34,Short,Close
ARMANFIN.NS,2024-09-20,,1839.75,Short,Close
ARNOLD.BO,2024-10-18,,54.93,Short,Close
AROGRANITE.NS,2024-09-23,,60.68,Short,Close
ARROWGREEN.NS,2024-10-15,,827.25,Short,Close
ARSHIYA.NS,2024-08-30,,5.38,Short,Close
ARSSINFRA.NS,2024-10-14,,18.88,Short,Close
ARTEFACT.BO,2024-09-13,,81.95,Short,Close
ARTEMISMED.NS,2024-10-16,,288.04,Short,Close
ARTNIRMAN.NS,2024-08-08,,89.34,Short,Close
ARTSONEN.BO,2024-10-21,182.7,,Long,Open
ARUNAHTEL.BO,2024-09-12,,12.18,Short,Close
ARVEE.NS,2024-10-18,181.18,,Long,Open
ARVIND.NS,2024-08-21,,412.23,Short,Close
ARVINDFASN.NS,2024-10-15,,634.66,Short,Close
ARVSMART.NS,2024-10-16,,872.19,Short,Close
ARYAMAN.BO,2024-09-06,,421.69,Short,Close
ASAHIINDIA.NS,2024-09-23,,819.85,Short,Close
ASAHISONG.NS,2024-10-11,,480.5,Short,Close
