Buy Date,Ticker,Buy Strat,Last Alert Date,Stop Loss,Buy Price,Target,Call,Status,CMP,Quantity,Hit Type,Sell Price,Sell Date
10/9/2024,AAATECH.NS,EW_BW,10/9/2024,115,125.79,0,Long,Open,130.2200012,93,ISL Hit,stop loss price,yf date
10/9/2024,AARVI.NS,EWBB_DC,10/9/2024, ,149.95,0,Long,Open,157.8300018,#VALUE!,Target Hit,target price,
10/9/2024,ABB.NS,ATR_W,10/8/2024,7350.05,7853.04,0,Long,Open,8743.349609,2,,,
10/9/2024,ABCINDQ.BO,EW_W,10/9/2024,118.1,127.75,0,Long,Open,127.25,104,,,
10/9/2024,ABHICAP.BO,EW_DC,10/9/2024,150,160.6,0,Long,Open,155.6000061,94,,,
10/9/2024,ACE.NS,ATREW_UC,10/9/2024,1225.05,1314.28,0,Long,Open,1391.699951,11,,,
10/9/2024,ACME.BO,EW_DC,10/9/2024,32.3,34.11,0,Long,Open,33.5,552,,,
10/9/2024,ACML.BO,EW_DC,10/9/2024,66.67,70.46,0,Long,Open,70.44000244,264,,,
10/9/2024,ADFFOODS.NS,ATRBB_UC,10/7/2024,209.11,268.21,0,Long,Open,309.5499878,17,,,
10/9/2024,AFFLE.NS,ATREW_DC,10/9/2024,1470.05,1541.99,0,Long,Open,1588.25,14,,,
10/9/2024,AGRITECH.NS,ATRBB_DC,10/8/2024,205.3,209.17,0,Long,Open,224.6900024,258,,,
10/9/2024,AIIL.BO,EW_UC,10/9/2024,961.6,1731.02,0,Long,Open,1845.949951,1,,,
10/9/2024,AJCON.BO,EW_UC,10/9/2024,37.5,44.26,0,Long,Open,44.90000153,148,,,
10/9/2024,AKG.NS,EW_BW,10/9/2024,17.9,20.03,0,Long,Open,19.29999924,469,,,
10/9/2024,AKZOINDIA.NS,ATR_UC,9/27/2024,2752,3709.55,0,Long,Open,3986.899902,1,,,
10/9/2024,ALFAICA.BO,LR_W,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98,#N/A,,,
10/9/2024,ALFREDHE.BO,BB_BW,9/25/2024,1359,1606.21,0,Long,Open,1700,4,,,
10/9/2024,ALSTONE.BO,EW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.74000001,#N/A,,,
10/9/2024,ALUFLUOR.BO,EW_DC,10/9/2024,360,383.73,0,Long,Open,404,42,,,
10/9/2024,AMALGAM.BO,EW_DC,10/9/2024,45.6,87.75,0,Long,Open,93,24,,,
10/9/2024,AMBALALSA.BO,EW_DC,10/9/2024,51.27,55.31,0,Long,Open,58.11000061,248,,,
10/9/2024,AMBER.NS,BB_W,9/30/2024,3964,4647.14,0,Long,Open,5482.899902,1,,,
10/9/2024,AMFORG.BO,EW_DC,10/9/2024,9.07,10.13,0,Long,Open,10.48999977,943,,,
10/9/2024,ANDHRAPET.BO,EW_BW,10/9/2024,85.05,91.46,0,Long,Open,89.98000336,156,,,
10/9/2024,ANJANI.BO,ATR,9/26/2024,37.35,41.4,0,Long,Open,47.68999863,247,,,
10/9/2024,APARINDS.NS,EW_BW,10/9/2024,7595,9650,0,Long,Open,10285.9502,0,,,
10/9/2024,ARCEEIN.BO,BB_DC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.869999886,#N/A,,,
10/9/2024,ARFIN.BO,EW_DC,10/9/2024,34.75,37.12,0,Long,Open,36.74000168,422,,,
10/9/2024,ARVINDFASN.NS,EW_BW,10/9/2024,544.45,586.22,0,Long,Open,604.4500122,24,,,
10/9/2024,ARVSMART.NS,ATR_UC,10/8/2024,687,764.25,0,Long,Open,860,13,,,
10/9/2024,ASHAI.BO,ATR_DC,10/3/2024,11.49,11.98,0,Long,Open,16.47999954,2041,,,
10/9/2024,ASHAPURMIN.NS,BB_DC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,303.25,#N/A,,,
10/9/2024,ASHIS.BO,EW_UC,10/9/2024,36.6,53.05,0,Long,Open,52.20000076,61,,,
10/9/2024,ASHISHPO.BO,LR_DC,10/3/2024,55.89,54.23,0,Long,Open,59.99000168,-602,,,
10/9/2024,ASHNOOR.BO,EW_UC,10/9/2024,39.02,47.85,0,Long,Open,50.31000137,113,,,
10/9/2024,ASMTEC.BO,EW_BW,10/9/2024,1244,1466.6,0,Long,Open,1510,4,,,
10/9/2024,ASTAR.BO,EW_DC,10/9/2024,800,835.75,0,Long,Open,831,28,,,
10/9/2024,ATISHAY.BO,ATR_UC,9/24/2024,59.1,128.88,0,Long,Open,180.3000031,14,,,
10/9/2024,ATUL.NS,LR_DC,10/8/2024,7450,7578.98,0,Long,Open,7724.850098,8,,,
10/9/2024,AURIONPRO.NS,EW_DC,10/9/2024,1418.9,1575.49,0,Long,Open,1723.25,6,,,
10/9/2024,AUSOMENT.NS,BB_UC,9/11/2024,72.2,93.13,0,Long,Open,161.2400055,48,,,
10/9/2024,AUSTENG.BO,EW_W,10/9/2024,200.1,215.03,0,Long,Open,216.8000031,67,,,
10/9/2024,AWHCL.NS,BB_UC,10/7/2024,667.1,715.46,0,Long,Open,814,21,,,
10/9/2024,AXELPOLY.BO,BB_DC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59.54999924,#N/A,,,
10/9/2024,BALTE.BO,ATREW_BW,10/9/2024,25.8,30.31,0,Long,Open,37.59999847,222,,,
10/9/2024,BANG.NS,EW_BW,10/9/2024,46,53.11,0,Long,Open,54.22999954,141,,,
10/9/2024,BANKA.NS,EW_DC,10/9/2024,105.21,110.58,0,Long,Open,126.4599991,186,,,
10/9/2024,BAPACK.BO,BB_DC,10/8/2024,411.15,411.45,0,Long,Open,437.5,3333,,,
10/9/2024,BBL.NS,BB_DC,10/8/2024,4545,4386.76,0,Long,Open,4950,-6,,,
10/9/2024,BDL.NS,EW_DC,10/9/2024,1040.6,1155.98,0,Long,Open,1157,9,,,
10/9/2024,BELLACASA.BO,EW_DC,10/9/2024,467.35,515.06,0,Long,Open,601.2000122,21,,,
10/9/2024,BGWTATO.BO,EW_UC,10/9/2024,421.2,494.63,0,Long,Open,480,14,,,
10/9/2024,BHAGCHEM.BO,EW_DC,10/9/2024,330,351.48,0,Long,Open,366.1499939,47,,,
10/9/2024,BIGBLOC.NS,EWBB_DC,10/9/2024,105.3,116.22,0,Long,Open,134.2100067,92,,,
10/9/2024,BIOFILCHEM.NS,EW_DC,10/9/2024,58.66,74.93,0,Long,Open,73.70999908,61,,,
10/9/2024,BIRLAPREC.BO,EW_DC,10/9/2024,61,66.32,0,Long,Open,66.81999969,188,,,
10/9/2024,BLIL.BO,EW_DC,10/9/2024,77.5,82.27,0,Long,Open,81.5,210,,,
10/9/2024,BLISSGVS.NS,EW_DC,10/9/2024,119.4,127.72,0,Long,Open,132.8399963,120,,,
10/9/2024,BLUESTARCO.NS,ATREW_UC,10/9/2024,1539.1,1938.86,0,Long,Open,2013.099976,3,,,
10/9/2024,BMAL.BO,ATRBB_W,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,,,
10/9/2024,BNRUDY.BO,EWBB_DC,10/9/2024,73,74.8,0,Long,Open,84.63999939,556,,,
10/9/2024,BRADYM.BO,EW_UC,10/9/2024,1060,1919.04,0,Long,Open,2411.899902,1,,,
10/9/2024,BROOKS.NS,BB_W,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,141.1699982,#N/A,,,
10/9/2024,CALCOM.BO,EW_BW,10/9/2024,104,121.5,0,Long,Open,126.8000031,57,,,
10/9/2024,CAMS.BO,EW_BW,10/9/2024,4049.05,4390.95,0,Long,Open,4860.450195,3,,,
10/9/2024,CAPTRUST.NS,EW_DC,10/9/2024,118.5,127.18,0,Long,Open,128.9499969,115,,,
10/9/2024,CDSL.NS,ATREW_W,10/9/2024,1344.6,1406.24,0,Long,Open,1547.75,16,,,
10/9/2024,CEETAIN.BO,EW_BW,10/9/2024,37.1,41.4,0,Long,Open,60.43999863,233,,,
10/9/2024,CEINSYSTECH.BO,ATRBB_UC,10/3/2024,396.5,695,0,Long,Open,1166.150024,3,,,
10/9/2024,CENTENKA.NS,EW_DC,10/9/2024,606,646.74,0,Long,Open,633.0999756,25,,,
10/9/2024,CENTEXT.NS,EWBB_DC,10/9/2024,22.6,23.79,0,Long,Open,23.5,840,,,
10/9/2024,CHDCHEM.BO,EW_DC,10/9/2024,5.56,6.77,0,Long,Open,7,826,,,
10/9/2024,CHEMFAB.NS,BB_DC,10/8/2024,500.45,994.5,0,Long,Open,1165,2,,,
10/9/2024,CHEMOPH.BO,ATREWBB_DC,10/9/2024,59.58,64.83,0,Long,Open,69.19999695,190,,,
10/9/2024,CHEMTECH.BO,ATR_BW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,272.9500122,#N/A,,,
10/9/2024,CHOICEIN.BO,ATREW_UC,10/9/2024,359.9,460.76,0,Long,Open,483.2999878,10,,,
10/9/2024,CIPLA.NS,ATR_BW,7/2/2024,852,1482.63,0,Long,Open,1556.099976,2,,,
10/9/2024,COCHINM.BO,EWBB_DC,10/9/2024,287,315.76,0,Long,Open,316.3500061,35,,,
10/9/2024,COCHINSHIP.NS,EW_DC,10/9/2024,1505,1632.5,0,Long,Open,1556.900024,8,,,
10/9/2024,COMPUSOFT.NS,EW_DC,10/9/2024,27.62,29.99,0,Long,Open,31.39999962,422,,,
10/9/2024,CONTICON.BO,EW_DC,10/9/2024,10.65,11.73,0,Long,Open,11.80000019,926,,,
10/9/2024,CONTPTR.BO,EW_UC,10/9/2024,92.8,96.71,0,Long,Open,98,256,,,
10/9/2024,COSCO.BO,ATR_DC,10/8/2024,302.05,353.47,0,Long,Open,393.0499878,19,,,
10/9/2024,CRANESSOFT.BO,EW_DC,10/9/2024,4.02,4.21,0,Long,Open,4.300000191,5263,,,
10/9/2024,CTCL.BO,BB_DC,10/8/2024,270,262.58,0,Long,Open,0,-135,,,
10/9/2024,CUBEXTUB.NS,ATREW_DC,10/9/2024,90.1,99.07,0,Long,Open,108.5,111,,,
10/9/2024,CYBERMEDIA.NS,ATRBB_W,10/8/2024,24.47,25.62,0,Long,Open,29.15999985,870,,,
10/9/2024,DANLAW.BO,EW_DC,10/9/2024,1745,1939.15,0,Long,Open,2070,5,,,
10/9/2024,DATAMATICS.NS,ATREWBB_W,10/9/2024,558,588.32,0,Long,Open,603.5,33,,,
10/9/2024,DBSTOCKBRO.NS,ATREWBB_W,10/9/2024,43.61,48.79,0,Long,Open,50.40000153,193,,,
10/9/2024,DCAL.NS,EW_DC,10/9/2024,161.21,175.13,0,Long,Open,197.6399994,72,,,
10/9/2024,DHANCOT.BO,EW_UC,10/9/2024,90.3,95.31,0,Long,Open,119.1500015,200,,,
10/9/2024,DHANI.NS,ATRBB_BW,10/8/2024,48.41,48.94,0,Long,Open,66.66999817,1887,,,
10/9/2024,DIAMINESQ.BO,EW_BW,10/9/2024,505,537.11,0,Long,Open,540,31,,,
10/9/2024,DIVISLAB.NS,ATRBB_UC,8/21/2024,3540.3,4792.05,0,Long,Open,6058,1,,,
10/9/2024,DLTNCBL.BO,BB_W,9/30/2024,490,610.99,0,Long,Open,705,8,,,
10/9/2024,DONEAR.NS,EW_DC,10/9/2024,104.96,109.89,0,Long,Open,128.4900055,203,,,
10/9/2024,DPABHUSHAN.NS,ATREW_UC,10/9/2024,1530.05,1662.04,0,Long,Open,1828.900024,8,,,
10/9/2024,DPWIRES.NS,EW_UC,10/9/2024,383,398.79,0,Long,Open,421.0499878,63,,,
10/9/2024,DSSL.NS,EW_W,10/9/2024,1246.35,1382.55,0,Long,Open,1328.400024,7,,,
10/9/2024,DYNAMICP.BO,EW_BW,10/9/2024,42.67,45.62,0,Long,Open,39.59999847,339,,,
10/9/2024,DYNAMIND.BO,EW_UC,10/9/2024,85,99.92,0,Long,Open,102,67,,,
10/9/2024,EASTRED.BO,EWBB_DC,10/9/2024,40,45.49,0,Long,Open,45.38999939,182,,,
