Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Buy Price,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2000-01-01,1STCUS.BO,,2024-09-25,,,125.13,Short,Close,,2000-01-01,,,,India
2000-01-01,20MICRONS.NS,,2024-10-21,,,314.0,Short,Close,,2000-01-01,,,,India
2000-01-01,21STCENMGM.NS,,2024-10-21,,,120.24,Short,Close,,2000-01-01,,,,India
2000-01-01,360ONE.NS,,2024-10-29,,1005.4,,Long,Open,,2000-01-01,,,,India
2000-01-01,3IINFOLTD.NS,,2024-08-28,,,37.42,Short,Close,,2000-01-01,,,,India
2024-10-31,3MINDIA.NS,ATREWLR_DC,2024-10-31,33131.6,34931.05,,Long,Open,36047.6,2024-11-01,0.5557253605268263,,,India
2000-01-01,3PLAND.NS,,2024-10-29,,36.53,,Long,Open,,2000-01-01,,,,India
2000-01-01,4THGEN.BO,,2024-09-16,,5.67,,Long,Open,,2000-01-01,,,,India
2000-01-01,5PAISA.NS,,2024-10-28,,490.67,,Long,Open,,2000-01-01,,,,India
2024-10-31,63MOONS.NS,ATR_W,2024-10-28,436.1,465.0,,Long,Open,572.75,2024-11-01,34.6020761245675,,,India
2024-10-31,7TEC.BO,ATREWBB_DC,2024-10-31,50.26,53.46,,Long,Open,60.23,2024-11-01,312.4999999999997,,,India
2024-10-31,A2ZINFRA.NS,BB_W,2024-10-29,15.83,16.02,,Long,Open,16.96,2024-11-01,5263.157894736856,,,India
2000-01-01,AAATECH.NS,,2024-10-28,,112.57,,Long,Open,,2000-01-01,,,,India
2000-01-01,AAIL.BO,,2024-10-28,,100.16,,Long,Open,,2000-01-01,,,,India
2024-10-31,AAKASH.NS,BBLR_W,2024-10-30,10.51,10.77,,Long,Open,11.66,2024-11-01,3846.1538461538494,,,India
2000-01-01,AANCHALISP.BO,,2024-10-29,,5.19,,Long,Open,,2000-01-01,,,,India
2000-01-01,AARON.NS,,2024-10-28,,260.85,,Long,Open,,2000-01-01,,,,India
2000-01-01,AARTECH.BO,,2024-10-16,,,68.93,Short,Close,,2000-01-01,,,,India
2000-01-01,AARTIDRUGS.NS,,2024-08-26,,,613.4,Short,Close,,2000-01-01,,,,India
2000-01-01,AARTIIND.NS,,2024-10-28,,491.16,,Long,Open,,2000-01-01,,,,India
2000-01-01,AARTISURF.NS,,2024-10-30,,717.8,,Long,Open,,2000-01-01,,,,India
2024-10-31,AARVEEDEN.NS,BB_DC,2024-10-29,41.25,43.03,,Long,Open,50.09,2024-11-01,561.7977528089884,,,India
2000-01-01,AARVI.NS,,2024-10-28,,140.74,,Long,Open,,2000-01-01,,,,India
2000-01-01,AAVAS.NS,,2024-09-23,,,1907.79,Short,Close,,2000-01-01,,,,India
2000-01-01,AAYUSH.BO,,2024-10-04,,73.11,,Long,Open,,2000-01-01,,,,India
2000-01-01,ABAN.NS,,2024-10-30,,65.5,,Long,Open,,2000-01-01,,,,India
2000-01-01,ABANSENT.BO,,2024-10-30,,26.7,,Long,Open,,2000-01-01,,,,India
2000-01-01,ABB.NS,,2024-10-18,,,8777.51,Short,Close,,2000-01-01,,,,India
2000-01-01,ABBOTINDIA.BO,,2024-10-08,,28154.05,,Long,Open,,2000-01-01,,,,India
2000-01-01,ABCAPITAL.NS,,2024-10-01,,,241.8,Short,Close,,2000-01-01,,,,India
2000-01-01,ABCINDQ.BO,,2024-10-23,,118.23,,Long,Open,,2000-01-01,,,,India
2000-01-01,ABFRL.NS,,2024-10-15,,,350.92,Short,Close,,2000-01-01,,,,India
2000-01-01,ABHICAP.BO,,2024-10-24,,155.8,,Long,Open,,2000-01-01,,,,India
2000-01-01,ABHIINFRA.BO,,2024-09-16,,,10.82,Short,Close,,2000-01-01,,,,India
2000-01-01,ABIRAFN.BO,,2024-10-28,,48.99,,Long,Open,,2000-01-01,,,,India
2024-10-31,ABMKNO.BO,BB_DC,2024-10-29,115.05,122.71,,Long,Open,138.2,2024-11-01,130.54830287206272,,,India
2000-01-01,ACC.NS,,2024-09-13,,,2507.04,Short,Close,,2000-01-01,,,,India
2000-01-01,ACCEL.BO,,2024-10-28,,21.96,,Long,Open,,2000-01-01,,,,India
2000-01-01,ACCELYA.NS,,2024-10-10,,,1818.75,Short,Close,,2000-01-01,,,,India
2000-01-01,ACCURACY.NS,,2024-10-30,,9.67,,Long,Open,,2000-01-01,,,,India
2000-01-01,ACE.NS,,2024-10-30,,1203.85,,Long,Open,,2000-01-01,,,,India
2024-10-31,ACEINTEG.NS,EW_BW,2024-10-31,31.05,33.06,,Long,Open,33.54,2024-11-01,497.5124378109449,,,India
2000-01-01,ACEMEN.BO,,2024-10-25,,69.47,,Long,Open,,2000-01-01,,,,India
2000-01-01,ACESOFT.BO,,2024-09-24,,370.9,,Long,Open,,2000-01-01,,,,India
2000-01-01,ACGL.BO,,2024-10-29,,2263.17,,Long,Open,,2000-01-01,,,,India
