Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
1STCUS.BO,2024-09-25,117,93.9,89.36,125.13,126.35,Short,Close
20MICRONS.NS,2024-08-23,293,132.0,293.6,337.48,348.0,Short,Close
21STCENMGM.NS,2024-09-11,105,42.7,76.09,140.01,141.4,Short,Close
360ONE.NS,2024-09-12,1014,691.4,989.41,1104.03,1119.65,Short,Close
3IINFOLTD.NS,2024-08-28,33,38.5,33.93,37.42,38.17,Short,Close
3MINDIA.NS,2024-07-30,34430,28870.0,37389.17,40222.6,40642.95,Short,Close
3PLAND.NS,2024-09-09,38,27.8,42.34,44.95,45.9,Short,Close
4THGEN.BO,2024-09-16,6,5.33,5.67,5.93,5.67,Long,Open
5PAISA.NS,2024-08-09,550,404.0,472.73,489.5,492.9,Long,Open
63MOONS.NS,2024-09-30,408,316.0,378.51,412.25,416.0,Long,Open
7TEC.BO,2024-08-01,55,46.0,56.33,65.69,66.85,Short,Close
A2ZINFRA.NS,2024-09-27,17,15.87,16.5,18.82,18.83,Short,Close
AAATECH.NS,2024-09-18,133,93.55,130.9,143.0,146.3,Short,Close
AAIL.BO,2024-09-03,112,107.5,110.4,116.64,118.8,Short,Close
AAKASH.NS,2024-07-31,12,5.7,13.2,14.11,14.48,Short,Close
AANANDALAK.BO,2024-09-13,19,4.76,18.24,5.2,19.63,Long,Open
AANCHALISP.BO,2024-09-04,6,5.88,5.28,6.2,6.34,Short,Close
AARON.NS,2024-09-06,263,242.1,269.72,280.25,282.5,Short,Close
AARTECH.BO,2024-09-04,72,43.43,73.49,81.0,82.0,Short,Close
AARTIDRUGS.NS,2024-08-26,521,431.05,504.56,613.4,632.5,Short,Close
AARTIIND.NS,2024-09-19,587,630.0,561.9,644.11,648.9,Long,Open
AARTISURF.NS,2024-08-09,831,600.0,626.7,756.35,636.0,Long,Open
AARVEEDEN.NS,2024-09-16,48,21.65,43.98,56.04,58.22,Short,Close
AARVI.NS,2024-09-05,140,134.35,143.12,153.25,156.38,Short,Close
AAVAS.NS,2024-09-12,1851,1460.95,1784.0,1900.75,1925.0,Long,Open
