Ticker,Last Alert Date_x,Buy Price_x,Target_x,Call_x,Status_x,Buy Date,Buy Strat,Last Alert Date_y,ll,Buy Price_y,Target_y,Call_y,Status_y,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
3MINDIA.NS,2024-10-31,34931.05,,Long,Open,2024-10-31,ATREWLR_DC,2024-10-31,33131.6,34931.05,,Long,Open,36047.6,2024-11-01,0.5557253605268263,,,India
63MOONS.NS,2024-10-28,465.0,,Long,Open,2024-10-31,ATR_W,2024-10-28,436.1,465.0,,Long,Open,572.75,2024-11-01,34.6020761245675,,,India
7TEC.BO,2024-10-31,53.46,,Long,Open,2024-10-31,ATREWBB_DC,2024-10-31,50.26,53.46,,Long,Open,60.23,2024-11-01,312.4999999999997,,,India
A2ZINFRA.NS,2024-10-29,16.02,,Long,Open,2024-10-31,BB_W,2024-10-29,15.83,16.02,,Long,Open,16.96,2024-11-01,5263.157894736856,,,India
AAKASH.NS,2024-10-30,10.77,,Long,Open,2024-10-31,BBLR_W,2024-10-30,10.51,10.77,,Long,Open,11.66,2024-11-01,3846.15384615385,,,India
AARVEEDEN.NS,2024-10-29,43.03,,Long,Open,2024-10-31,BB_DC,2024-10-29,41.25,43.03,,Long,Open,50.09,2024-11-01,561.7977528089884,,,India
ABMKNO.BO,2024-10-29,122.71,,Long,Open,2024-10-31,BB_DC,2024-10-29,115.05,122.71,,Long,Open,138.2,2024-11-01,130.54830287206272,,,India
ACEINTEG.NS,2024-10-31,33.06,,Long,Open,2024-10-31,EW_BW,2024-10-31,31.05,33.06,,Long,Open,33.54,2024-11-01,497.5124378109449,,,India
ACIIN.BO,2024-10-24,2.3,,Long,Open,2024-10-31,BB_W,2024-10-24,2.1,2.3,,Long,Open,2.58,2024-11-01,5000.000000000006,,,India
ACKNIT.BO,2024-10-31,302.75,,Long,Open,2024-10-31,EW_DC,2024-10-31,287.7,302.75,,Long,Open,308.0,2024-11-01,66.44518272425245,,,India
ACME.BO,2024-10-31,32.45,,Long,Open,2024-10-31,EW_DC,2024-10-31,30.8,32.45,,Long,Open,34.97,2024-11-01,606.0606060606053,,,India
ADFFOODS.NS,2024-10-28,274.15,,Long,Open,2024-10-31,BB_DC,2024-10-28,268.0,274.15,,Long,Open,298.8,2024-11-01,162.60162601626075,,,India
ADMANUM.BO,2024-10-30,96.79,,Long,Open,2024-10-31,BB_DC,2024-10-30,91.15,96.79,,Long,Open,108.85,2024-11-01,177.30496453900707,,,India
ADORWELD.NS,2024-10-28,1232.55,,Long,Open,2024-10-31,BB_DC,2024-10-28,1216.0,1232.55,,Long,Open,1315.35,2024-11-01,60.4229607250757,,,India
ADROITINFO.NS,2024-10-23,19.32,,Long,Open,2024-10-31,BB_DC,2024-10-23,17.4,19.32,,Long,Open,20.2,2024-11-01,520.8333333333329,,,India
AGIIL.BO,2024-10-23,906.58,,Long,Open,2024-10-31,BB_BW,2024-10-23,885.0,906.58,,Long,Open,1231.15,2024-11-01,46.3392029657089,,,India
AHLADA.NS,2024-10-29,97.01,,Long,Open,2024-10-31,BB_DC,2024-10-29,92.11,97.01,,Long,Open,101.71,2024-11-01,204.08163265306095,,,India
AKZOINDIA.NS,2024-10-28,3686.02,,Long,Open,2024-10-31,ATR_W,2024-10-28,3620.0,3686.02,,Long,Open,4402.3,2024-11-01,15.146925174189644,,,India
ALANKIT.NS,2024-10-29,21.34,,Long,Open,2024-10-31,BB_W,2024-10-29,20.04,21.34,,Long,Open,22.41,2024-11-01,769.2307692307688,,,India
ALBERTDAVD.NS,2024-10-31,1377.46,,Long,Open,2024-10-31,EW_DC,2024-10-31,1270.0,1377.46,,Long,Open,1386.05,2024-11-01,9.305788200260558,,,India
ALFL.BO,2024-10-30,1.94,,Long,Open,2024-10-31,BB_DC,2024-10-30,1.82,1.94,,Long,Open,2.16,2024-11-01,8333.333333333341,,,India
ALPINEHOU.BO,2024-10-31,105.4,,Long,Open,2024-10-31,EWBB_DC,2024-10-31,99.0,105.4,,Long,Open,111.1,2024-11-01,156.24999999999986,,,India
AMRAAGRI.BO,2024-10-31,1.1,,Long,Open,2024-10-31,ATREWBB_DT,2024-10-31,1.01,1.1,,Long,Open,1.2,2024-11-01,11111.1111111111,,,India
AMRAPLIN.BO,2024-10-24,15.27,,Long,Open,2024-10-31,ATR_UC,2024-10-24,14.55,15.27,,Long,Open,17.28,2024-11-01,1388.8888888888912,,,India
ANANTRAJ.NS,2024-10-28,647.9,,Long,Open,2024-10-31,ATR_BW,2024-10-28,635.1,647.9,,Long,Open,740.8,2024-11-01,78.12500000000028,,,India
ANDHRSUGAR.NS,2024-10-28,93.44,,Long,Open,2024-10-31,LR_DC,2024-10-28,92.45,93.44,,Long,Open,104.55,2024-11-01,1010.1010101010152,,,India
ANKITMETAL.NS,2024-10-31,3.43,,Long,Open,2024-10-31,EW_BW,2024-10-31,3.35,3.43,,Long,Open,3.66,2024-11-01,12499.999999999987,,,India
ANUP.NS,2024-09-26,2205.76,,Long,Open,2024-10-31,ATR_UC,2024-09-26,2647.0,2205.76,,Long,Open,3481.6,2024-11-01,-2.2663403136615003,,,India
