Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
4THGEN.BO,2024-09-16,6,5.33,5.67,,5.67,Long,Open
63MOONS.NS,2024-10-08,391,316.0,360.5,,428.15,Long,Open
A2ZINFRA.NS,2024-10-08,18,15.87,16.09,,18.83,Long,Open
AAATECH.NS,2024-10-09,131,115.0,125.79,,133.5,Long,Open
AANANDALAK.BO,2024-09-13,19,4.76,18.24,,19.63,Long,Open
AARVEEDEN.NS,2024-10-01,50,21.65,47.22,,47.9,Long,Open
AARVI.NS,2024-10-09,149,129.25,149.95,,160.12,Long,Open
AAYUSH.BO,2024-10-04,78,26.51,73.11,,73.12,Long,Open
ABANSENT.BO,2024-10-08,193,124.1,176.71,,198.35,Long,Open
ABB.NS,2024-10-08,8458,7350.05,7853.04,,8303.25,Long,Open
ABBOTINDIA.BO,2024-10-08,28589,27534.3,28154.05,,29480.0,Long,Open
ABBOTINDIA.NS,2024-08-21,29559,25200.0,27946.75,,28666.15,Long,Open
ABCINDQ.BO,2024-10-09,131,118.1,127.75,,138.25,Long,Open
ABFRL.NS,2024-10-08,341,303.0,322.81,,364.4,Long,Open
ABHICAP.BO,2024-10-09,162,150.0,160.6,,195.0,Long,Open
ACCEL.BO,2024-09-18,23,20.18,24.98,,31.69,Long,Open
ACCELYA.NS,2024-10-08,1699,1652.4,1639.29,,1902.45,Long,Open
ACE.NS,2024-10-09,1355,1225.05,1314.28,,1464.9,Long,Open
ACEINTEG.NS,2024-09-30,34,30.3,35.62,,39.9,Long,Open
ACESOFT.BO,2024-09-24,379,87.68,370.9,,402.15,Long,Open
ACL.NS,2024-10-01,89,88.22,88.95,,94.8,Long,Open
ACME.BO,2024-10-09,35,32.3,34.11,,39.27,Long,Open
ACML.BO,2024-10-09,72,66.67,70.46,,73.19,Long,Open
ACROW.BO,2024-10-08,760,601.0,760.9,,800.0,Long,Open
ADARSHPL.BO,2024-10-08,31,30.35,29.9,,33.51,Long,Open
ADCINDIA.BO,2024-10-08,1915,1850.0,1763.91,,2040.0,Long,Open
ADFFOODS.NS,2024-10-07,318,209.11,268.21,,302.95,Long,Open
ADL.NS,2024-09-12,102,76.4,137.9,,146.6,Long,Open
ADORFO.BO,2024-09-10,143,120.6,133.05,,144.8,Long,Open
ADORWELD.NS,2024-10-08,1361,1269.8,1324.99,,1399.95,Long,Open
ADROITINFO.NS,2024-10-08,22,17.25,18.11,,21.13,Long,Open
ADSL.NS,2024-10-08,287,255.9,252.23,,288.9,Long,Open
ADVANIHOTR.NS,2024-09-23,73,66.0,74.34,,79.8,Long,Open
ADVIKCA.BO,2024-10-07,3,2.46,2.78,,3.02,Long,Open
AFEL.BO,2024-09-11,19,5.49,13.0,,16.04,Long,Open
AFFLE.NS,2024-10-09,1609,1470.05,1541.99,,1618.0,Long,Open
AGARIND.NS,2024-09-23,1120,1086.55,1158.75,,1212.0,Long,Open
AGRITECH.NS,2024-10-08,236,205.3,209.17,,234.85,Long,Open
AHLADA.NS,2024-10-08,105,102.46,100.39,,121.04,Long,Open
AHLEAST.NS,2024-10-08,163,129.11,158.68,,176.0,Long,Open
AHLUCONT.NS,2024-09-20,1098,987.05,1162.72,,1230.9,Long,Open
AHMDSTE.BO,2024-09-05,321,33.8,198.0,,226.45,Long,Open
AICHAMP.BO,2024-10-08,43,42.0,43.61,,48.88,Long,Open
AIIL.BO,2024-10-09,1827,961.6,1731.02,,1850.0,Long,Open
AIROLAM.NS,2024-10-04,142,119.5,130.18,,137.0,Long,Open
AJANTPHARM.NS,2024-09-24,3375,2111.05,3122.79,,3290.0,Long,Open
AJCON.BO,2024-10-09,45,37.5,44.26,,45.05,Long,Open
AJOONI.NS,2024-10-08,8,7.85,7.48,,9.89,Long,Open
AJWAFUN.BO,2021-02-12,24,22.75,6.83,,6.83,Long,Open
AKG.NS,2024-10-09,20,17.9,20.03,,21.34,Long,Open
AKI.BO,2024-10-08,20,18.9,19.49,,23.1,Long,Open
AKSHAR.BO,2024-09-20,2,2.21,1.66,,1.78,Long,Open
AKSHOPTFBR.NS,2024-10-08,9,8.0,8.31,,9.39,Long,Open
AKSPINTEX.BO,2024-10-01,273,186.0,226.99,,233.25,Long,Open
AKZOINDIA.NS,2024-09-27,4339,2752.0,3709.55,,3860.0,Long,Open
ALANKIT.NS,2024-10-08,23,22.5,22.29,,27.6,Long,Open
ALFATRAN.BO,2024-10-08,96,77.74,86.95,,96.0,Long,Open
ALFAVIO.BO,2024-06-28,17,9.99,11.59,,15.64,Long,Open
ALFREDHE.BO,2024-09-25,1745,1359.0,1606.21,,1695.95,Long,Open
ALICON.NS,2024-09-24,1309,1129.95,1404.67,,1503.9,Long,Open
ALKEM.NS,2024-09-24,6294,4407.05,6020.26,,6439.9,Long,Open
ALLCARGO.NS,2024-09-10,62,66.2,67.37,,71.5,Long,Open
ALPINEHOU.BO,2024-09-12,103,123.85,108.04,,120.15,Long,Open
ALUFLUOR.BO,2024-10-09,391,360.0,383.73,,398.85,Long,Open
AMAL.BO,2024-10-08,330,295.5,313.24,,327.0,Long,Open
AMALGAM.BO,2024-10-09,94,45.6,87.75,,117.0,Long,Open
AMARAJABAT.NS,2023-12-20,820,599.0,749.97,,799.6,Long,Open
AMBALALSA.BO,2024-10-09,57,51.27,55.31,,69.5,Long,Open
AMBER.NS,2024-09-30,5154,3964.0,4647.14,,5361.15,Long,Open
AMBITION.BO,2024-08-22,3,3.46,2.69,,2.71,Long,Open
AMCOIND.BO,2024-10-08,78,54.3,74.03,,85.0,Long,Open
AMFORG.BO,2024-10-09,10,9.07,10.13,,11.66,Long,Open
ANANTRAJ.NS,2024-10-08,739,319.15,675.13,,747.8,Long,Open
ANDHRAPET.BO,2024-10-09,93,85.05,91.46,,95.5,Long,Open
ANG.BO,2024-10-08,51,46.0,47.56,,56.85,Long,Open
ANJANI.BO,2024-09-26,49,37.35,41.4,,42.5,Long,Open
ANSINDUS.BO,2024-09-26,10,8.6,11.62,,14.23,Long,Open
ANUP.NS,2024-09-26,2752,1665.05,2205.76,,2408.1,Long,Open
APARINDS.NS,2024-10-09,10031,7595.0,9650.0,,10100.0,Long,Open
APCL.NS,2024-09-26,181,179.92,173.24,,191.66,Long,Open
APLLTD.NS,2024-09-23,1231,823.4,1136.14,,1278.0,Long,Open
APOLSINHOT.NS,2024-10-08,1957,1345.45,1807.75,,2224.85,Long,Open
ARAVALIS.BO,2024-10-07,5,4.45,4.77,,5.25,Long,Open
ARCHIDPLY.NS,2024-09-27,129,90.8,120.46,,140.42,Long,Open
ARCHIES.NS,2024-10-01,29,24.5,33.3,,36.71,Long,Open
ARFIN.BO,2024-10-09,38,34.75,37.12,,40.48,Long,Open
ARIHANT.BO,2024-10-04,507,131.0,463.92,,507.8,Long,Open
ARISE.BO,2024-09-27,33,15.99,29.03,,34.3,Long,Open
ARVINDFASN.NS,2024-10-09,597,544.45,586.22,,599.5,Long,Open
ARVSMART.NS,2024-10-08,842,687.0,764.25,,902.0,Long,Open
ASAL.NS,2024-09-30,733,801.0,751.01,,795.9,Long,Open
ASHAI.BO,2024-10-03,14,11.49,11.98,,15.4,Long,Open
ASHIS.BO,2024-10-09,54,36.6,53.05,,62.65,Long,Open
ASHISHPO.BO,2024-10-03,64,55.89,54.23,,74.25,Long,Open
ASHNOOR.BO,2024-10-09,50,39.02,47.85,,51.0,Long,Open
ASHOKA.NS,2024-10-07,240,227.4,232.74,,251.5,Long,Open
ASHRAM.BO,2024-10-07,5,5.19,5.48,,6.54,Long,Open
ASIANENE.BO,2024-10-07,385,343.0,363.93,,390.85,Long,Open
ASIAPAK.BO,2024-10-07,63,51.82,61.42,,66.13,Long,Open
ASINPET.BO,2021-03-05,22,,3.34,,3.46,Long,Open
ASMTEC.BO,2024-10-09,1511,1244.0,1466.6,,1864.0,Long,Open
ASPIRA.BO,2024-10-04,43,25.0,40.9,,50.11,Long,Open
ASTAR.BO,2024-10-09,849,800.0,835.75,,887.85,Long,Open
ASTEC.NS,2024-09-24,1099,1180.6,1223.06,,1333.5,Long,Open
ASTERDM.NS,2024-08-12,421,317.1,389.45,,410.45,Long,Open
ASTRAZEN.NS,2024-10-07,7881,6367.55,7614.75,,8139.0,Long,Open
ASYL.BO,2024-09-30,6,5.71,5.78,,6.22,Long,Open
ATALREAL.NS,2024-10-07,8,7.1,8.21,,9.45,Long,Open
ATFL.NS,2024-09-23,866,644.45,808.81,,840.05,Long,Open
ATHARVENT.BO,2024-10-08,3,2.5,2.6,,3.25,Long,Open
ATHENAGLO.BO,2024-10-08,97,92.8,91.49,,114.95,Long,Open
