Ticker,Date/Time,Close,Mega Sellby Larger Wave,SL
21STCENMGM.NS,9/11/2024,103,140.01,74.35
360ONE.NS,7/31/2024,1010,1128.16,926.30
360ONE.NS,9/12/2024,1010,1104.03,1054.50
20MICRONS.NS,8/2/2024,274,283.54,255.75
20MICRONS.NS,8/9/2024,274,324.01,255.75
20MICRONS.NS,8/23/2024,274,337.48,285.05
1STCUS.BO,8/13/2024,116,127.15,84.20
1STCUS.BO,9/25/2024,116,125.13,89.35
3IINFOLTD.NS,8/28/2024,30,37.42,32.40
3MINDIA.NS,7/30/2024,34927,40222.60,37018.90
3PLAND.NS,7/23/2024,38,37.90,33.40
3PLAND.NS,7/24/2024,38,37.27,33.40
3PLAND.NS,7/25/2024,38,39.35,33.40
3PLAND.NS,7/26/2024,38,38.96,33.40
3PLAND.NS,7/29/2024,38,38.85,33.40
3PLAND.NS,7/30/2024,38,38.24,33.40
3PLAND.NS,7/31/2024,38,38.25,36.00
3PLAND.NS,8/1/2024,38,37.44,36.00
3PLAND.NS,8/2/2024,38,37.26,35.98
3PLAND.NS,8/5/2024,38,37.89,35.80
3PLAND.NS,8/6/2024,38,38.13,35.53
3PLAND.NS,8/7/2024,38,38.90,35.53
3PLAND.NS,8/8/2024,38,45.38,35.53
3PLAND.NS,8/12/2024,38,49.66,35.53
3PLAND.NS,8/23/2024,38,46.61,39.47
3PLAND.NS,9/9/2024,38,44.95,41.70
4THGEN.BO,7/22/2024,6,5.93,5.70
5PAISA.NS,7/31/2024,526,489.50,470.00
5PAISA.NS,9/23/2024,526,570.15,502.15
7NR.BO,9/27/2024,6,6.00,5.62
7TEC.BO,8/1/2024,53,65.69,53.00
^CNXENERGY,7/23/2024,41378,41730.15,40325.70
^CNXENERGY,7/24/2024,41378,42280.41,40325.70
^CNXENERGY,7/25/2024,41378,42591.53,40325.70
^CNXENERGY,7/26/2024,41378,43273.06,40325.70
^CNXENERGY,7/29/2024,41378,43626.60,40325.70
^CNXENERGY,7/30/2024,41378,44131.29,40325.70
^CNXENERGY,7/31/2024,41378,44022.23,40325.70
^CNXENERGY,8/1/2024,41378,44840.00,40325.70
^CNXENERGY,9/27/2024,41378,44483.56,42093.10
^CNXAUTO,8/1/2024,26450,26789.90,24473.80
^CNXAUTO,9/30/2024,26450,27393.94,25191.00
63MOONS.NS,8/2/2024,391,405.86,316.00
63MOONS.NS,9/9/2024,391,425.80,324.90
63MOONS.NS,9/16/2024,391,410.01,387.20
63MOONS.NS,9/17/2024,391,391.39,380.55
63MOONS.NS,9/24/2024,391,412.25,371.70
63MOONS.NS,10/1/2024,391,403.07,372.10
^CNXFMCG,9/23/2024,62334,66275.87,64261.95
^CNXIT,7/26/2024,42623,40825.71,37108.35
^CNXMETAL,8/26/2024,9801,9464.80,8727.80
^CNXREALTY,9/26/2024,1052,1134.97,1022.25
A2ZINFRA.NS,7/31/2024,18,20.40,18.24
A2ZINFRA.NS,8/21/2024,18,20.44,15.73
A2ZINFRA.NS,9/27/2024,18,18.82,15.87
^NSEBANK,9/26/2024,51007,54353.23,50369.40
AAKASH.NS,7/31/2024,12,14.11,12.90
AAIL.BO,8/1/2024,108,116.30,100.15
AAIL.BO,8/27/2024,108,119.14,100.65
AAIL.BO,9/3/2024,108,116.64,100.65
AANCHALISP.BO,8/7/2024,6,5.88,5.02
AANCHALISP.BO,9/4/2024,6,6.20,5.07
AARON.NS,8/1/2024,258,289.77,253.90
AARON.NS,9/6/2024,258,280.25,261.50
AARTECH.BO,8/6/2024,67,76.83,69.75
AARTECH.BO,8/12/2024,67,76.22,69.75
AARTECH.BO,8/26/2024,67,76.55,66.00
AARTECH.BO,9/4/2024,67,81.00,66.00
^NSEI,7/23/2024,24982,24455.46,24074.20
^NSEI,7/24/2024,24982,24455.00,24074.20
^NSEI,7/25/2024,24982,24372.31,24074.20
^NSEI,7/26/2024,24982,24748.59,24074.20
^NSEI,7/29/2024,24982,24943.46,24074.20
^NSEI,7/30/2024,24982,24928.47,24074.20
^NSEI,7/31/2024,24982,24952.58,24074.20
^NSEI,8/1/2024,24982,25047.82,24074.20
^NSEI,8/2/2024,24982,24810.64,24686.85
^NSEI,8/5/2024,24982,24235.96,23893.70
^NSEI,8/6/2024,24982,24277.05,23893.70
^NSEI,8/7/2024,24982,24299.50,23893.70
^NSEI,8/8/2024,24982,24275.30,23893.70
^NSEI,8/9/2024,24982,24392.61,23893.70
^NSEI,8/12/2024,24982,24407.63,23893.70
^NSEI,8/13/2024,24982,24299.09,23893.70
^NSEI,8/14/2024,24982,24172.30,23893.70
^NSEI,8/16/2024,24982,24474.05,23893.70
^NSEI,8/19/2024,24982,24609.84,23893.70
^NSEI,8/20/2024,24982,24702.52,23893.70
^NSEI,8/21/2024,24982,24754.59,23893.70
^NSEI,8/22/2024,24982,24846.63,23893.70
^NSEI,8/23/2024,24982,24836.71,23893.70
^NSEI,8/26/2024,24982,25001.52,23893.70
^NSEI,8/27/2024,24982,25048.24,23893.70
^NSEI,8/28/2024,24982,25088.36,23893.70
^NSEI,8/29/2024,24982,25144.30,23893.70
^NSEI,8/30/2024,24982,25251.11,23893.70
^NSEI,9/2/2024,24982,25309.11,23893.70
^NSEI,9/3/2024,24982,25300.23,23893.70
^NSEI,9/4/2024,24982,25182.95,23893.70
^NSEI,9/5/2024,24982,25238.52,23893.70
^NSEI,9/6/2024,24982,25076.89,24801.30
^NSEI,9/9/2024,24982,24906.41,24753.15
^NSEI,9/10/2024,24982,25072.07,24753.15
^NSEI,9/11/2024,24982,25056.56,24753.15
^NSEI,9/12/2024,24982,25310.38,24753.15
^NSEI,9/13/2024,24982,25395.99,24753.15
^NSEI,9/16/2024,24982,25418.32,24753.15
^NSEI,9/17/2024,24982,25419.30,24753.15
^NSEI,9/18/2024,24982,25433.04,24753.15
^NSEI,9/19/2024,24982,25552.98,24753.15
^NSEI,9/20/2024,24982,25743.59,24753.15
^NSEI,9/23/2024,24982,25928.84,24753.15
^NSEI,9/24/2024,24982,25980.38,24753.15
^NSEI,9/25/2024,24982,25992.44,24753.15
^NSEI,9/26/2024,24982,26187.78,24753.15
AARTIIND.NS,7/31/2024,530,749.71,630.00
AARTIIND.NS,8/28/2024,530,644.11,593.05
AARTIIND.NS,9/24/2024,530,586.67,559.00
AARTISURF.NS,10/3/2024,794,847.76,808.05
AARVEEDEN.NS,8/1/2024,50,39.70,29.25
AARVEEDEN.NS,8/28/2024,50,47.80,35.36
AARVEEDEN.NS,9/16/2024,50,56.04,43.12
AARTIDRUGS.NS,8/26/2024,511,613.40,492.05
AAVAS.NS,8/14/2024,1723,1709.96,1603.30
AAVAS.NS,8/19/2024,1723,1689.40,1651.75
AAVAS.NS,9/9/2024,1723,1900.75,1651.75
AAVAS.NS,9/23/2024,1723,1907.79,1651.75
ABAN.NS,8/20/2024,71,87.72,64.01
ABAN.NS,9/4/2024,71,83.33,75.14
ABAN.NS,9/24/2024,71,79.94,70.06
ABANSENT.BO,7/24/2024,193,133.25,126.00
ABANSENT.BO,7/31/2024,193,134.22,126.00
ABANSENT.BO,8/20/2024,193,148.21,124.10
ABANSENT.BO,10/4/2024,193,190.71,137.00
ABB.NS,8/9/2024,8458,8178.06,7236.80
ABB.NS,8/28/2024,8458,7928.22,7700.00
