Date/Time,Ticker,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy
2021-03-02,AVI.BO,,,,,EW,,,12,,,,,,,,,,,,,,,4.8,,,,,,EW
2021-03-04,BFLAFL.BO,,,,,EW,,,22,,,,,,,,,,,,,,,87.4,,,,,,EW
2021-03-04,BLUECLOUDS.BO,,,,,EW,,,188,,,,,,,,,,,,,,,9.8,,,,,,EW
2021-03-08,BLUECLOUDS.BO,,,,,EW,,,188,,,,,,,,,,,,,,,9.8,,,,,,EW
2021-03-08,POLOHOT.BO,,,,,EW,,,9,,,,,,,,,,,,,,,3.74,,,,,,EW
2021-03-19,GTV.BO,,,,,EW,,,465,,,,,,,,,,,,,,,23.3,,,,,,EW
2021-03-22,GTV.BO,,,,,EW,,,465,,,,,,,,25.6,,,,,,,23.3,,,,,,EW
2021-03-23,DDIL.BO,,,,,EW,,,10,,,,,,,,,,,,,,,12.0,,,,,,EW
2021-03-23,GTV.BO,,,,,EW,,,465,,,,,,,,26.56,,,,,,,23.3,,,,,,EW
2021-03-24,GTV.BO,,,,,EW,,,465,,,,,,,,26.85,,,,,,,23.3,,,,,,EW
2021-03-25,GTV.BO,,,,,EW,,,465,,,,,,,,26.85,,,,,,,23.3,,,,,,EW
2021-03-26,GTV.BO,,,,,EW,,,465,,,,,,,,26.66,,,,,,,23.3,,,,,,EW
2021-03-26,PASUSPG.BO,,,,,EW,,,30,,,,,,,,,,,,,,,4.82,,,,,,EW
2021-03-26,POLOHOT.BO,,,,,EW,,,9,,,,,,,,,,,,,,,3.12,,,,,,EW
2021-03-30,GTV.BO,,,,,EW,,,465,,,,,,,,26.1,,,,,,,23.3,,,,,,EW
2021-03-31,GTV.BO,,,,,EW,,,465,,,,,,,,26.1,,,,,,,23.3,,,,,,EW
2021-04-01,GTV.BO,,,,,EW,,,465,,,,,,,,26.1,,,,,,,23.3,,,,,,EW
2021-04-05,GTV.BO,,,,,EW,,,465,,,,,,,,27.29,,,,,,,23.3,,,,,,EW
2021-04-06,GTV.BO,,,,,EW,,,465,,,,,,,,26.95,,,,,,,23.3,,,,,,EW
2021-04-07,GTV.BO,,,,,EW,,,465,,,,,,,,27.56,,,,,,,25.65,,,,,,EW
2021-04-08,GTV.BO,,,,,EW,,,465,,,,,,,,26.8,,,,,,,25.65,,,,,,EW
2021-04-09,GTV.BO,,,,,EW,,,465,,,,,,,,27.34,,,,,,,25.5,,,,,,EW
2021-04-09,POLOHOT.BO,,,,,EW,,,9,,,,,,,,,,,,,,,3.17,,,,,,EW
2021-04-12,GTV.BO,,,,,EW,,,465,,,,,,,,27.0,,,,,,,25.5,,,,,,EW
