Ticker,Last Alert Date,Close,Stop Loss,Buy Price,Target,Short_SL,Call,Status
1STCUS.BO,2024-09-25,116,84.2,,125.13,126.35,Short,Close
20MICRONS.NS,2024-08-23,274,143.0,,337.48,348.0,Short,Close
21STCENMGM.NS,2024-09-11,103,42.7,,140.01,141.4,Short,Close
360ONE.NS,2024-09-12,1010,691.4,,1104.03,1119.65,Short,Close
3IINFOLTD.NS,2024-08-28,30,38.55,,37.42,38.17,Short,Close
3MINDIA.NS,2024-07-30,34927,28870.0,,40222.6,40642.95,Short,Close
3PLAND.NS,2024-09-09,38,28.55,,44.95,45.9,Short,Close
4THGEN.BO,2024-09-16,6,5.33,5.67,,5.67,Long,Open
5PAISA.NS,2024-09-23,526,458.0,,570.15,575.5,Short,Close
63MOONS.NS,2024-10-08,391,316.0,360.5,,428.15,Long,Open
7NR.BO,2024-09-27,6,,,6.0,6.1,Short,Close
7TEC.BO,2024-08-01,53,38.15,,65.69,66.85,Short,Close
A2ZINFRA.NS,2024-10-08,18,15.87,16.09,,18.83,Long,Open
AAATECH.NS,2024-10-09,131,115.0,125.79,,133.5,Long,Open
AAIL.BO,2024-09-03,108,107.5,,116.64,118.8,Short,Close
AAKASH.NS,2024-07-31,12,5.7,,14.11,14.48,Short,Close
AANANDALAK.BO,2024-09-13,19,4.76,18.24,,19.63,Long,Open
AANCHALISP.BO,2024-09-04,6,5.86,,6.2,6.34,Short,Close
AARON.NS,2024-09-06,258,242.1,,280.25,282.5,Short,Close
AARTECH.BO,2024-09-04,67,43.43,,81.0,82.0,Short,Close
AARTIDRUGS.NS,2024-08-26,511,475.0,,613.4,632.5,Short,Close
AARTIIND.NS,2024-09-24,530,630.0,,586.67,591.05,Short,Close
AARTISURF.NS,2024-10-03,794,605.0,,847.76,918.0,Short,Close
AARVEEDEN.NS,2024-10-01,50,21.65,47.22,,47.9,Long,Open
AARVI.NS,2024-10-09,149,129.25,149.95,,160.12,Long,Open
AAVAS.NS,2024-09-23,1723,1712.1,,1907.79,1919.95,Short,Close
AAYUSH.BO,2024-10-04,78,26.51,73.11,,73.12,Long,Open
ABAN.NS,2024-09-24,71,60.77,,79.94,80.92,Short,Close
ABANSENT.BO,2024-10-08,193,124.1,176.71,,198.35,Long,Open
ABB.NS,2024-10-08,8458,7350.05,7853.04,,8303.25,Long,Open
ABBOTINDIA.BO,2024-10-08,28589,27534.3,28154.05,,29480.0,Long,Open
ABBOTINDIA.NS,2024-08-21,29559,25200.0,27946.75,,28666.15,Long,Open
ABCAPITAL.NS,2024-10-01,226,200.05,,241.8,243.6,Short,Close
ABCINDQ.BO,2024-10-09,131,118.1,127.75,,138.25,Long,Open
ABFRL.NS,2024-10-08,341,303.0,322.81,,364.4,Long,Open
ABHICAP.BO,2024-10-09,162,150.0,160.6,,195.0,Long,Open
ABHIINFRA.BO,2024-09-16,9,5.9,,10.82,10.82,Short,Close
ABIRAFN.BO,2024-10-04,54,52.25,,58.05,59.0,Short,Close
ABMKNO.BO,2024-08-28,136,96.5,,165.36,168.0,Short,Close
ACC.NS,2024-09-13,2340,2150.0,,2507.04,2524.95,Short,Close
ACCEL.BO,2024-09-18,23,20.18,24.98,,31.69,Long,Open
ACCELYA.NS,2024-10-08,1699,1652.4,1639.29,,1902.45,Long,Open
ACCURACY.NS,2024-09-30,10,10.36,,10.92,11.05,Short,Close
ACE.NS,2024-10-09,1355,1225.05,1314.28,,1464.9,Long,Open
ACEINTEG.NS,2024-09-30,34,30.3,35.62,,39.9,Long,Open
ACEMEN.BO,2024-10-03,73,40.5,,76.5,77.12,Short,Close
ACESOFT.BO,2024-09-24,379,87.68,370.9,,402.15,Long,Open
ACGL.BO,2024-08-19,2528,1385.0,,3016.0,3449.0,Short,Close
ACIIN.BO,2024-07-31,2,1.13,,2.42,2.42,Short,Close
ACKNIT.BO,2024-09-18,315,210.0,,353.79,360.0,Short,Close
ACL.NS,2024-10-01,89,88.22,88.95,,94.8,Long,Open
ACME.BO,2024-10-09,35,32.3,34.11,,39.27,Long,Open
ACML.BO,2024-10-09,72,66.67,70.46,,73.19,Long,Open
