Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
21STCENMGM.NS,10/22/2024,117.83,11.00,0.00,29.00,11.00,122.85,122.07,121.29,1
20MICRONS.NS,10/22/2024,306.50,5.00,0.00,42.00,5.00,332.95,328.09,323.22,1
3RDROCK.NS,10/21/2024,64.60,292.00,0.00,,292.00,,,,1
4THGEN.BO,10/21/2024,6.24,53.00,0.00,64.00,53.00,6.59,6.27,5.95,1
^CNXIT,10/22/2024,41420.25,54.00,0.00,59.00,54.00,49222.90,48014.04,46805.17,1
AARVI.NS,10/22/2024,149.29,5.00,0.00,9.00,5.00,179.82,171.38,162.94,1
AAYUSH.BO,10/22/2024,92.63,61.00,0.00,81.00,61.00,91.45,85.84,80.23,1
ABBOTINDIA.NS,9/13/2024,29559.00,23.00,0.00,40.00,23.00,33379.60,32942.86,32506.12,1
ACE.NS,10/22/2024,1309.50,10.00,0.00,20.00,10.00,1473.79,1432.09,1390.39,1
ACESOFT.BO,10/22/2024,437.00,20.00,0.00,25.00,20.00,432.99,411.96,390.94,1
ACIIN.BO,10/22/2024,2.45,10.00,0.00,45.00,10.00,2.67,2.47,2.28,1
ACML.BO,10/22/2024,72.80,11.00,0.00,25.00,11.00,74.39,71.69,68.99,1
ACROW.BO,10/22/2024,727.00,11.00,0.00,14.00,11.00,0.00,0.00,0.00,1
ADINATH.BO,10/22/2024,29.00,21.00,0.00,40.00,21.00,0.00,0.00,0.00,1
ADITYASP.BO,10/22/2024,28.50,6.00,0.00,15.00,6.00,32.71,31.44,30.16,1
ADORFO.BO,9/24/2024,142.50,11.00,0.00,50.00,11.00,146.62,142.25,137.89,1
ADORMUL.BO,10/22/2024,37.46,8.00,0.00,18.00,8.00,40.46,39.83,39.19,1
ADSL.NS,10/22/2024,282.90,11.00,0.00,25.00,11.00,322.76,305.19,287.63,1
AEGISLOG.BO,10/22/2024,737.15,10.00,0.00,32.00,10.00,765.51,741.87,718.23,1
AEL.BO,10/22/2024,205.30,11.00,0.00,42.00,11.00,238.83,228.80,218.78,1
AFEL.BO,10/22/2024,19.02,8.00,0.00,11.00,8.00,0.00,0.00,0.00,1
AHLUCONT.NS,10/22/2024,1105.00,6.00,0.00,29.00,6.00,1227.17,1214.39,1201.61,1
AHMDSTE.BO,10/22/2024,383.35,32.00,0.00,39.00,32.00,383.14,373.71,364.28,1
AJCON.BO,10/22/2024,45.05,11.00,0.00,18.00,11.00,47.44,45.55,43.66,1
AJEL.BO,10/22/2024,16.10,3.00,0.00,15.00,3.00,16.74,16.49,16.23,1
AKSPINTEX.BO,10/22/2024,325.70,17.00,0.00,34.00,17.00,343.12,330.01,316.91,1
ALEXANDER.BO,10/22/2024,15.92,4.00,0.00,,4.00,,,,1
AJMERA.NS,10/22/2024,853.75,11.00,0.00,45.00,11.00,969.01,911.00,852.99,1
ALFATRAN.BO,10/22/2024,128.43,10.00,0.00,14.00,10.00,149.21,139.01,128.81,1
ALLSEC.NS,10/21/2024,1082.90,10.00,0.00,33.00,10.00,1135.21,1089.76,1044.31,1
ALFREDHE.BO,10/22/2024,1765.15,19.00,0.00,28.00,19.00,1806.54,1709.90,1613.25,1
ALPHAGEO.NS,10/22/2024,408.10,10.00,0.00,13.00,10.00,0.00,0.00,0.00,1
AMAL.BO,10/22/2024,400.00,15.00,0.00,75.00,15.00,438.40,402.02,365.63,1
AMBER.NS,10/22/2024,5733.05,16.00,0.00,19.00,16.00,6069.56,5739.95,5410.34,1
AMARAJABAT.NS,12/28/2023,820.45,39.00,0.00,73.00,39.00,854.31,810.48,766.64,1
AMBITION.BO,10/21/2024,2.96,45.00,0.00,77.00,45.00,3.18,3.03,2.88,1
AMITINT.BO,10/22/2024,4.63,5.00,0.00,8.00,5.00,4.76,4.60,4.43,1
AMDIND.NS,10/22/2024,65.67,10.00,0.00,41.00,10.00,70.68,69.18,67.67,1
ANERI.BO,10/21/2024,6.50,15.00,0.00,40.00,15.00,6.67,6.53,6.38,1
ANIKINDS.NS,10/22/2024,80.50,10.00,0.00,28.00,10.00,84.87,83.00,81.13,1
ANKIN.BO,10/22/2024,13.54,7.00,0.00,12.00,7.00,15.48,14.92,14.35,1
ANKITMETAL.NS,10/22/2024,3.90,4.00,0.00,12.00,4.00,4.07,3.95,3.83,1
ANNAINFRA.BO,10/22/2024,33.00,3.00,0.00,38.00,3.00,34.21,33.44,32.67,1
ANSALBU.BO,10/22/2024,210.05,10.00,0.00,31.00,10.00,226.46,217.13,207.80,1
ANUP.NS,10/22/2024,2841.90,22.00,0.00,31.00,22.00,3127.11,2907.76,2688.42,1
APEX.NS,10/22/2024,245.52,11.00,0.00,50.00,11.00,278.19,271.93,265.66,1
ARCFIN.BO,10/22/2024,2.02,5.00,0.00,17.00,5.00,2.02,2.02,2.02,1
ARCHITORG.BO,10/22/2024,45.00,10.00,0.00,25.00,10.00,0.00,0.00,0.00,1
AREXMIS.BO,10/22/2024,173.00,4.00,0.00,39.00,4.00,196.80,196.39,195.98,1
ARIHANT.BO,10/22/2024,605.80,13.00,0.00,16.00,13.00,606.91,603.04,599.18,1
ARISE.BO,10/22/2024,32.05,17.00,0.00,20.00,17.00,36.73,34.54,32.34,1
ARNOLD.BO,10/22/2024,51.35,10.00,0.00,18.00,10.00,0.00,0.00,0.00,1
ARVEE.NS,10/22/2024,220.55,3.00,0.00,7.00,3.00,228.43,224.18,219.94,1
ASHNOOR.BO,10/22/2024,48.00,15.00,0.00,23.00,15.00,52.65,51.68,50.70,1
ASHRAM.BO,10/22/2024,5.84,3.00,0.00,4.00,3.00,6.07,5.94,5.82,1
ASIAPAK.BO,10/22/2024,74.99,16.00,0.00,32.00,16.00,79.15,76.62,74.10,1
ASPIRA.BO,10/22/2024,50.95,13.00,0.00,15.00,13.00,51.11,49.65,48.19,1
ASTERDM.NS,10/22/2024,408.00,62.00,0.00,83.00,62.00,469.39,440.45,411.50,1
ATALREAL.NS,10/22/2024,10.41,9.00,0.00,14.00,9.00,10.35,9.98,9.61,1
ATFL.NS,10/22/2024,912.50,24.00,0.00,59.00,24.00,997.05,960.24,923.43,1
ATHENAGLO.BO,10/22/2024,93.90,11.00,0.00,42.00,11.00,108.89,104.90,100.91,1
ATISHAY.BO,10/22/2024,189.00,3.00,0.00,6.00,3.00,199.27,193.25,187.23,1
AURIONPRO.NS,10/22/2024,1643.05,10.00,0.00,39.00,10.00,1855.72,1761.34,1666.95,1
AVI.BO,9/13/2024,11.99,165.00,0.00,391.00,165.00,9.93,7.53,5.12,1
AVIVA.BO,10/21/2024,25.69,40.00,0.00,356.00,40.00,25.60,25.18,24.76,1
AVONMORE.BO,10/22/2024,16.50,8.00,0.00,23.00,8.00,17.20,17.10,17.00,1
AXELPOLY.BO,10/22/2024,63.67,11.00,0.00,16.00,11.00,63.83,61.29,58.75,1
AXISBANK.NS,10/22/2024,1182.75,3.00,0.00,17.00,3.00,1262.93,1231.45,1199.97,1
AYMSYNTEX.NS,10/22/2024,240.78,9.00,0.00,14.00,9.00,251.50,248.32,245.14,1
BABA.BO,10/22/2024,12.75,10.00,0.00,16.00,10.00,0.00,0.00,0.00,1
BAJAJHCARE.BO,10/22/2024,365.00,11.00,0.00,24.00,11.00,394.15,385.64,377.12,1
BALLARPUR.BO,10/21/2024,269.70,330.00,0.00,338.00,330.00,277.08,270.34,263.61,1
BALKRISIND.NS,10/22/2024,2960.40,11.00,0.00,19.00,11.00,0.00,0.00,0.00,1
BANARISUG.NS,10/22/2024,3700.25,22.00,0.00,30.00,22.00,4207.97,4082.81,3957.64,1
BANKBARODA.NS,10/22/2024,234.97,28.00,0.00,42.00,28.00,0.00,0.00,0.00,1
BAYERCROP.BO,10/22/2024,6575.90,45.00,0.00,50.00,45.00,0.00,0.00,0.00,1
BATAINDIA.NS,10/22/2024,1405.85,11.00,0.00,34.00,11.00,1494.50,1476.68,1458.87,1
