Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Buy Price,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2024-10-22,AJEL.BO,LR_BW,2024-10-29,15.0,,17.13,Short,Closed,14.55,2024-11-12,,ISL Hit,15.0,India
2024-10-22,ALBERTDAVD.NS,EW_BW,2024-10-31,1288.55,1377.46,,Long,Open,1405.0,2024-11-12,11.247328759419627,,,India
2024-10-22,AMITINT.BO,BB_BW,2000-01-01,3.51,,,,,3.77,2024-11-12,,,,India
2024-10-22,ANJANIFOODS.BO,EW_DC,2024-10-28,35.11,34.1,,Long,Open,,2000-01-01,-990.0990099009921,,,India
2024-10-22,ATALREAL.NS,ATR_UC,2024-10-07,7.1,8.21,,Long,Open,13.42,2024-11-12,900.9009009009,,,India
2024-10-22,BERVINL.BO,BB_DC,2024-10-25,55.63,61.9,,Long,Open,79.5,2024-11-12,159.4896331738438,,,India
2024-10-22,BLOIN.BO,BB_W,2000-01-01,3.95,,,,,,2000-01-01,,,,India
2024-10-22,CHMBBRW.BO,BB_W,2024-10-31,5.8,5.33,,Long,Open,,2000-01-01,-2127.6595744680862,,,India
2024-10-22,CHRTEDCA.BO,BB_BW,2024-11-04,210.0,,344.93,Short,Close,,2000-01-01,,,,India
2024-10-22,CLFL.BO,ATRBB_UC,2024-11-05,13.02,27.15,,Long,Open,31.68,2024-11-12,70.7714083510262,,,India
2024-10-22,CLIOINFO.BO,EWBB_DC,2024-11-06,5.15,,6.25,Short,Closed,5.32,2024-11-12,,Target Hit,6.25,India
2024-10-22,CMMHOSP.BO,BB_DC,2024-11-01,30.05,39.41,,Long,Open,,2000-01-01,106.83760683760688,,,India
2024-10-22,CONTILI.BO,ATREW_UC,2024-11-01,141.35,,299.2,Short,Closed,259.9,2024-11-12,,Target Hit,299.2,India
2024-10-22,CTE.NS,BB_W,2024-10-30,90.0,93.01,,Long,Open,94.8,2024-11-12,332.2259136212619,,,India
2024-10-22,CUB.NS,EW_DC,2024-10-22,150.2,164.1,,Long,Open,174.94,2024-11-12,71.94244604316543,,,India
