Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
1STCUS.BO,2024-09-25,109,47.69,,125.13,126.35,Short,Close
20MICRONS.NS,2024-10-16,307,285.4,278.0,,316.2,Long,Open
21STCENMGM.NS,2024-10-08,118,42.7,97.69,,141.4,Long,Open
360ONE.NS,2024-10-16,1030,1016.95,,1123.01,1128.35,Short,Close
3IINFOLTD.NS,2024-08-28,27,34.65,,37.42,38.17,Short,Close
3MINDIA.NS,2024-07-30,33800,26628.0,,40222.6,40642.95,Short,Close
3PLAND.NS,2024-09-09,37,26.05,,44.95,45.9,Short,Close
4THGEN.BO,2024-09-16,6,4.53,5.67,,5.67,Long,Open
5PAISA.NS,2024-10-15,514,458.0,,582.34,596.45,Short,Close
63MOONS.NS,2024-10-15,445,316.0,,528.26,542.5,Short,Close
7NR.BO,2024-09-27,5,,,6.0,6.1,Short,Close
7TEC.BO,2024-08-01,52,38.15,,65.69,66.85,Short,Close
A2ZINFRA.NS,2024-10-16,17,15.87,18.21,,20.61,Long,Open
AAATECH.NS,2024-10-18,122,115.0,,132.98,134.95,Short,Close
AAIL.BO,2024-10-16,108,87.8,,121.0,122.0,Short,Close
AAKASH.NS,2024-07-31,11,5.7,,14.11,14.48,Short,Close
AANANDALAK.BO,2024-09-13,19,4.76,18.24,,19.63,Long,Open
AANCHALISP.BO,2024-10-17,6,5.66,,6.05,6.2,Short,Close
AARON.NS,2024-10-14,262,261.5,,290.3,297.0,Short,Close
AARTECH.BO,2024-10-16,63,69.65,,68.93,69.8,Short,Close
AARTIDRUGS.NS,2024-08-26,484,444.0,,613.4,632.5,Short,Close
AARTIIND.NS,2024-09-24,495,563.0,,586.67,591.05,Short,Close
AARTISURF.NS,2024-10-03,728,626.2,,847.76,918.0,Short,Close
AARVEEDEN.NS,2024-10-10,46,21.65,,50.35,50.5,Short,Close
AARVI.NS,2024-10-09,149,127.72,149.95,,160.12,Long,Open
AAVAS.NS,2024-09-23,1684,1460.95,,1907.79,1919.95,Short,Close
AAYUSH.BO,2024-10-04,93,26.51,73.11,,73.12,Long,Open
ABAN.NS,2024-09-24,64,55.15,,79.94,80.92,Short,Close
ABANSENT.BO,2024-10-18,33,34.56,38.13,,43.6,Long,Open
ABB.NS,2024-10-18,8204,7350.05,,8777.51,8940.6,Short,Close
ABBOTINDIA.BO,2024-10-08,29114,26500.05,28154.05,,29480.0,Long,Open
ABBOTINDIA.NS,2024-08-21,29559,25200.0,27946.75,,28666.15,Long,Open
ABCAPITAL.NS,2024-10-01,210,215.05,,241.8,243.6,Short,Close
ABCINDQ.BO,2024-10-10,120,102.0,,132.94,138.25,Short,Close
ABFRL.NS,2024-10-15,311,303.0,,350.92,353.55,Short,Close
ABHICAP.BO,2024-10-09,149,166.0,160.6,,195.0,Long,Open
ABHIINFRA.BO,2024-09-16,8,5.72,,10.82,10.82,Short,Close
ABIRAFN.BO,2024-10-16,50,52.25,49.9,,59.0,Long,Open
ABMKNO.BO,2024-08-28,127,122.1,,165.36,168.0,Short,Close
ACC.NS,2024-09-13,2261,2368.0,,2507.04,2524.95,Short,Close
ACCEL.BO,2024-10-15,23,21.5,,25.13,25.5,Short,Close
ACCELYA.NS,2024-10-10,1602,1652.4,,1818.75,1845.0,Short,Close
ACCURACY.NS,2024-10-16,10,9.37,,10.91,10.99,Short,Close
ACE.NS,2024-10-16,1310,1225.05,,1409.0,1435.0,Short,Close
ACEINTEG.NS,2024-09-30,33,32.0,35.62,,39.9,Long,Open
ACEMEN.BO,2024-10-03,70,40.5,,76.5,77.12,Short,Close
ACESOFT.BO,2024-09-24,437,87.68,370.9,,402.15,Long,Open
ACGL.BO,2024-10-17,2460,2529.0,,2762.01,2810.0,Short,Close
ACIIN.BO,2024-10-22,2,1.88,,2.78,2.9,Short,Close
ACKNIT.BO,2024-09-18,323,210.0,,353.79,360.0,Short,Close
ACL.NS,2024-10-01,84,93.1,88.95,,94.8,Long,Open
ACME.BO,2024-10-10,33,33.03,,35.31,39.27,Short,Close
ACML.BO,2024-10-09,73,71.25,70.46,,73.19,Long,Open
