Ticker,Date/Time,Close,Mega Buy by Larger Wave ,SL
360ONE.NS,10/11/2024,1061,1037.96,940.00
360ONE.NS,10/29/2024,1061,1005.40,982.00
21STCENMGM.NS,10/8/2024,109,97.69,96.70
5PAISA.NS,10/10/2024,514,538.70,504.50
5PAISA.NS,10/28/2024,514,490.67,480.00
1STCUS.BO,9/13/2024,103,89.36,89.35
4THGEN.BO,9/16/2024,6,5.67,5.17
20MICRONS.NS,8/16/2024,272,293.60,285.05
20MICRONS.NS,10/16/2024,272,278.00,260.00
3PLAND.NS,8/16/2024,39,40.45,39.47
3PLAND.NS,9/4/2024,39,42.34,41.70
3PLAND.NS,10/29/2024,39,36.53,34.05
3IINFOLTD.NS,8/19/2024,28,33.93,32.40
63MOONS.NS,9/3/2024,521,360.35,324.90
63MOONS.NS,9/13/2024,521,396.91,387.20
63MOONS.NS,9/16/2024,521,400.04,387.20
63MOONS.NS,9/18/2024,521,380.33,371.70
63MOONS.NS,9/30/2024,521,378.51,372.10
63MOONS.NS,10/8/2024,521,360.50,351.00
63MOONS.NS,10/23/2024,521,449.00,436.10
63MOONS.NS,10/24/2024,521,473.16,436.10
63MOONS.NS,10/28/2024,521,465.00,436.10
^CNXENERGY,9/25/2024,39296,43761.85,42093.10
^CNXPSUBANK,10/29/2024,6742,6571.60,6188.85
^CNXMETAL,8/19/2024,9342,9066.93,8727.80
^CNXMETAL,9/12/2024,9342,9128.11,8993.35
^CNXREALTY,9/13/2024,1001,1043.32,1022.25
^CNXREALTY,10/8/2024,1001,1017.64,1011.80
^NSEBANK,8/20/2024,51808,50555.35,49654.65
AAATECH.NS,8/16/2024,121,114.80,113.10
AAATECH.NS,8/30/2024,121,116.76,113.61
AAATECH.NS,9/13/2024,121,130.90,126.20
AAATECH.NS,10/9/2024,121,125.79,115.00
AAATECH.NS,10/28/2024,121,112.57,110.00
^NSEI,8/13/2024,24341,24177.36,23893.70
^NSEI,8/14/2024,24341,24123.90,23893.70
^NSEI,8/16/2024,24341,24294.35,23893.70
^NSEI,8/19/2024,24341,24551.91,23893.70
^NSEI,8/20/2024,24341,24638.97,23893.70
^NSEI,8/21/2024,24341,24687.86,23893.70
^NSEI,8/22/2024,24341,24805.17,23893.70
^NSEI,8/23/2024,24341,24793.34,23893.70
^NSEI,8/26/2024,24341,24916.97,23893.70
^NSEI,8/27/2024,24341,24998.51,23893.70
^NSEI,8/28/2024,24341,25005.89,23893.70
^NSEI,8/29/2024,24341,25047.10,23893.70
^NSEI,8/30/2024,24341,25216.64,23893.70
^NSEI,9/2/2024,24341,25260.04,23893.70
^NSEI,9/3/2024,24341,25257.28,23893.70
^NSEI,9/4/2024,24341,25116.85,23893.70
^NSEI,9/5/2024,24341,25164.68,23893.70
^NSEI,9/6/2024,24341,24893.16,24801.30
^NSEI,9/9/2024,24341,24804.24,24753.15
^NSEI,9/10/2024,24341,24955.23,24753.15
^NSEI,9/11/2024,24341,24942.29,24753.15
^NSEI,9/12/2024,24341,25064.42,24753.15
^NSEI,9/13/2024,24341,25326.96,24753.15
^NSEI,9/16/2024,24341,25363.57,24753.15
^NSEI,9/17/2024,24341,25374.60,24753.15
^NSEI,9/18/2024,24341,25334.71,24753.15
^NSEI,9/19/2024,24341,25435.03,24753.15
^NSEI,9/20/2024,24341,25532.26,24753.15
^NSEI,9/23/2024,24341,25874.51,24753.15
^NSEI,9/24/2024,24341,25918.02,24753.15
^NSEI,9/25/2024,24341,25911.71,24753.15
AARTECH.BO,8/20/2024,62,66.96,66.00
AARTECH.BO,9/2/2024,62,73.49,66.00
AARTECH.BO,10/9/2024,62,67.48,63.00
A2ZINFRA.NS,8/13/2024,17,16.14,15.73
A2ZINFRA.NS,9/18/2024,17,16.50,15.87
A2ZINFRA.NS,10/8/2024,17,16.09,15.75
A2ZINFRA.NS,10/16/2024,17,18.21,15.75
A2ZINFRA.NS,10/17/2024,17,18.31,17.90
A2ZINFRA.NS,10/18/2024,17,17.78,17.41
A2ZINFRA.NS,10/21/2024,17,18.08,17.41
A2ZINFRA.NS,10/22/2024,17,17.19,16.96
A2ZINFRA.NS,10/24/2024,17,16.51,16.21
AARON.NS,9/5/2024,267,269.72,261.50
AARON.NS,10/10/2024,267,260.25,251.05
AARON.NS,10/28/2024,267,260.85,252.00
AAIL.BO,8/30/2024,105,110.40,100.65
AAIL.BO,10/11/2024,105,109.01,104.80
AAIL.BO,10/28/2024,105,100.16,96.00
AANCHALISP.BO,8/22/2024,6,5.28,5.07
AANCHALISP.BO,10/14/2024,6,5.81,5.25
AANCHALISP.BO,10/29/2024,6,5.19,5.07
AAVAS.NS,8/16/2024,1669,1674.95,1603.30
AAVAS.NS,8/20/2024,1669,1667.25,1651.75
AAVAS.NS,9/12/2024,1669,1784.00,1651.75
AARVI.NS,8/19/2024,146,138.04,134.01
AARVI.NS,8/30/2024,146,143.12,141.65
AARVI.NS,10/9/2024,146,149.95,129.25
AARVI.NS,10/28/2024,146,140.74,137.60
AAYUSH.BO,10/4/2024,104,73.11,26.51
AARTIDRUGS.NS,8/19/2024,485,504.56,492.05
ABBOTINDIA.BO,8/21/2024,28395,28005.78,26783.65
ABBOTINDIA.BO,9/26/2024,28395,28814.25,27534.30
ABBOTINDIA.BO,10/8/2024,28395,28154.05,27800.00
AARVEEDEN.NS,9/6/2024,48,43.98,43.12
AARVEEDEN.NS,10/1/2024,48,47.22,45.00
AARVEEDEN.NS,10/29/2024,48,43.03,41.25
AARTIIND.NS,8/20/2024,513,616.06,593.05
AARTIIND.NS,9/19/2024,513,561.90,559.00
AARTIIND.NS,10/28/2024,513,491.16,480.40
ABB.NS,8/14/2024,7427,7542.00,7451.00
ABB.NS,9/11/2024,7427,7563.14,7431.55
ABB.NS,10/8/2024,7427,7853.04,7672.15
ABANSENT.BO,9/16/2024,29,141.02,137.00
ABANSENT.BO,10/18/2024,29,38.13,35.05
ABANSENT.BO,10/21/2024,29,40.60,35.05
ABANSENT.BO,10/23/2024,29,30.74,29.00
ABANSENT.BO,10/24/2024,29,33.70,29.00
ABANSENT.BO,10/25/2024,29,30.29,28.85
ABANSENT.BO,10/28/2024,29,27.71,27.00
ABANSENT.BO,10/30/2024,29,26.70,25.10
ABCINDQ.BO,8/14/2024,120,116.25,102.00
ABCINDQ.BO,10/9/2024,120,127.75,118.10
ABCINDQ.BO,10/23/2024,120,118.23,112.50
ABFRL.NS,9/12/2024,307,318.59,303.00
ABFRL.NS,10/8/2024,307,322.81,318.80
ABHIINFRA.BO,8/22/2024,8,6.95,5.92
ABHIINFRA.BO,8/28/2024,8,7.12,5.92
ABHIINFRA.BO,8/29/2024,8,7.13,5.92
ABHIINFRA.BO,8/30/2024,8,7.23,5.92
ABHIINFRA.BO,9/9/2024,8,6.91,6.20
ABHICAP.BO,8/13/2024,153,175.76,166.75
ABHICAP.BO,8/14/2024,153,180.55,166.75
ABHICAP.BO,8/16/2024,153,174.25,166.00
ABHICAP.BO,8/20/2024,153,174.61,166.00
ABHICAP.BO,8/21/2024,153,175.43,166.00
ABHICAP.BO,8/22/2024,153,173.52,166.00
ABHICAP.BO,8/23/2024,153,179.67,166.00
ABHICAP.BO,8/26/2024,153,173.91,169.40
ABHICAP.BO,8/27/2024,153,174.63,169.40
ABHICAP.BO,8/28/2024,153,174.66,169.40
ABHICAP.BO,8/29/2024,153,168.80,166.40
ABHICAP.BO,8/30/2024,153,171.76,166.40
ABHICAP.BO,9/9/2024,153,177.71,165.10
ABHICAP.BO,9/19/2024,153,176.33,167.00
ABHICAP.BO,10/9/2024,153,160.60,150.00
ABHICAP.BO,10/10/2024,153,161.38,150.00
ABHICAP.BO,10/11/2024,153,160.25,150.00
ABHICAP.BO,10/14/2024,153,160.25,150.00
ABHICAP.BO,10/15/2024,153,160.39,155.00
ABHICAP.BO,10/16/2024,153,158.63,155.00
ABHICAP.BO,10/17/2024,153,155.63,155.00
ABHICAP.BO,10/18/2024,153,151.55,150.40
ABHICAP.BO,10/21/2024,153,150.80,146.85
ABHICAP.BO,10/22/2024,153,147.65,146.85
ABHICAP.BO,10/24/2024,153,155.80,140.20
ABIRAFN.BO,8/20/2024,51,57.06,55.60
ABIRAFN.BO,8/30/2024,51,56.17,55.00
ABIRAFN.BO,9/19/2024,51,53.63,52.25
ABIRAFN.BO,9/30/2024,51,53.61,52.50
ABIRAFN.BO,10/16/2024,51,49.90,49.00
ABIRAFN.BO,10/17/2024,51,50.32,49.00
ABIRAFN.BO,10/18/2024,51,48.25,47.50
ABIRAFN.BO,10/21/2024,51,48.63,47.50
ABIRAFN.BO,10/22/2024,51,50.34,47.50
ABIRAFN.BO,10/23/2024,51,48.41,47.50
ABIRAFN.BO,10/28/2024,51,48.99,45.40
ABMKNO.BO,8/19/2024,129,147.18,140.00
ABMKNO.BO,10/29/2024,129,122.71,115.05
ACCEL.BO,9/18/2024,23,24.98,24.50
ACCEL.BO,9/19/2024,23,25.56,24.50
ACCEL.BO,9/20/2024,23,25.22,24.50
ACCEL.BO,9/23/2024,23,25.22,24.50
ACCEL.BO,9/24/2024,23,25.41,24.50
ACCEL.BO,9/25/2024,23,25.08,24.50
ACCEL.BO,9/26/2024,23,25.07,24.67
ACCEL.BO,9/27/2024,23,25.48,24.67
ACCEL.BO,9/30/2024,23,24.57,24.16
ACCEL.BO,10/1/2024,23,24.46,24.16
ACCEL.BO,10/3/2024,23,23.86,23.56
ACCEL.BO,10/4/2024,23,24.00,23.56
ACCEL.BO,10/7/2024,23,23.77,23.22
ACCEL.BO,10/8/2024,23,22.66,22.25
ACCEL.BO,10/9/2024,23,23.38,22.25
ACCEL.BO,10/14/2024,23,23.77,22.25
ACCEL.BO,10/28/2024,23,21.96,21.52
ACEINTEG.NS,8/13/2024,32,32.46,32.01
ACEINTEG.NS,8/14/2024,32,31.04,30.30
ACEINTEG.NS,8/22/2024,32,33.00,30.30
ACEINTEG.NS,9/24/2024,32,34.72,32.70
ACEINTEG.NS,9/25/2024,32,34.69,32.70
ACEINTEG.NS,9/26/2024,32,34.33,32.70
ACEINTEG.NS,9/30/2024,32,35.62,32.70
ACC.NS,8/26/2024,2332,2327.50,2312.65
ACCELYA.NS,8/20/2024,1595,1746.70,1652.40
ACCELYA.NS,10/8/2024,1595,1639.29,1600.10
ACEMEN.BO,9/25/2024,75,61.83,60.18
ACEMEN.BO,10/25/2024,75,69.47,67.00
ACGL.BO,8/16/2024,2427,2900.39,2825.00
ACGL.BO,10/14/2024,2427,2582.75,2436.00
ACGL.BO,10/29/2024,2427,2263.17,2217.35
ACESOFT.BO,8/26/2024,482,311.98,304.50
ACESOFT.BO,8/27/2024,482,325.20,304.50
ACESOFT.BO,8/29/2024,482,308.06,303.70
ACESOFT.BO,9/9/2024,482,325.59,320.50
ACESOFT.BO,9/24/2024,482,370.90,363.65
ACIIN.BO,10/14/2024,2,2.17,1.88
ACIIN.BO,10/16/2024,2,2.13,2.10
ACIIN.BO,10/24/2024,2,2.30,2.10
ACME.BO,9/3/2024,32,34.58,34.50
ACME.BO,9/23/2024,32,35.44,34.30
ACME.BO,10/9/2024,32,34.11,32.30
ACKNIT.BO,8/21/2024,291,301.65,292.00
ACKNIT.BO,9/12/2024,291,312.50,298.55
ACML.BO,8/21/2024,71,75.95,74.57
ACML.BO,9/10/2024,71,81.52,78.84
ACML.BO,9/11/2024,71,80.13,78.84
ACML.BO,9/12/2024,71,80.00,78.84
ACML.BO,9/13/2024,71,81.24,78.84
ACML.BO,9/16/2024,71,82.75,78.84
ACML.BO,9/18/2024,71,79.29,77.90
ACML.BO,9/19/2024,71,78.63,77.90
ACML.BO,9/20/2024,71,75.41,75.05
ACML.BO,9/23/2024,71,72.80,71.30
ACML.BO,9/24/2024,71,72.43,71.30
ACML.BO,9/25/2024,71,71.94,71.30
ACML.BO,9/26/2024,71,69.25,68.34
ACML.BO,9/27/2024,71,68.52,67.70
ACML.BO,9/30/2024,71,68.45,67.51
ACML.BO,10/1/2024,71,71.55,67.51
ACML.BO,10/3/2024,71,68.81,67.51
ACML.BO,10/4/2024,71,70.17,67.51
ACML.BO,10/9/2024,71,70.46,66.67
ACML.BO,10/29/2024,71,66.86,60.10
ADANIGREEN.NS,9/16/2024,1634,1860.28,1780.40
ACROW.BO,8/26/2024,681,676.96,620.90
ACROW.BO,9/11/2024,681,744.86,707.00
ACROW.BO,9/27/2024,681,732.09,722.00
ACROW.BO,10/8/2024,681,760.90,725.00
ADANIPORTS.NS,10/28/2024,1396,1318.39,1303.15
ADANIPOWER.NS,9/2/2024,592,642.15,628.05
ADANIPOWER.NS,9/3/2024,592,660.79,628.05
ADANIPOWER.NS,9/4/2024,592,651.50,628.05
ADANIPOWER.NS,9/5/2024,592,644.72,628.05
ADANIPOWER.NS,9/6/2024,592,634.51,628.05
ADANIPOWER.NS,9/9/2024,592,627.00,621.00
ADANIPOWER.NS,9/10/2024,592,636.25,621.00
ADANIPOWER.NS,9/12/2024,592,631.00,621.00
ADANIENT.NS,9/20/2024,2969,2962.79,2890.35
ADANIENT.NS,10/8/2024,2969,3038.64,2980.45
ADANIENT.NS,10/28/2024,2969,2709.68,2654.70
ADCON.BO,8/21/2024,1,0.79,0.77
ADCON.BO,9/2/2024,1,0.88,0.86
ADCON.BO,9/10/2024,1,0.90,0.86
ADCON.BO,9/26/2024,1,0.99,0.97
ADCON.BO,10/16/2024,1,0.89,0.83
ADCINDIA.BO,8/19/2024,1773,1918.72,1818.75
ADCINDIA.BO,9/2/2024,1773,2014.72,1950.00
ADCINDIA.BO,9/24/2024,1773,1871.24,1850.00
ADCINDIA.BO,10/8/2024,1773,1763.91,1725.00
ADCINDIA.BO,10/29/2024,1773,1625.32,1530.00
ADDIND.BO,9/11/2024,42,49.51,46.22
ADDIND.BO,10/24/2024,42,39.49,37.65
ADARSHPL.BO,8/13/2024,28,31.89,28.12
ADARSHPL.BO,8/14/2024,28,33.74,28.12
ADARSHPL.BO,8/16/2024,28,33.33,28.12
ADARSHPL.BO,8/19/2024,28,34.11,28.12
ADARSHPL.BO,8/20/2024,28,35.39,28.12
ADARSHPL.BO,8/21/2024,28,34.52,28.12
ADARSHPL.BO,8/22/2024,28,34.76,28.12
ADARSHPL.BO,9/17/2024,28,31.62,31.00
ADARSHPL.BO,10/4/2024,28,31.49,30.35
ADARSHPL.BO,10/8/2024,28,29.90,29.14
ADIEXRE.BO,9/18/2024,26,26.17,24.65
ADIEXRE.BO,9/26/2024,26,24.47,24.01
ADIEXRE.BO,10/9/2024,26,24.98,24.38
ADFFOODS.NS,9/11/2024,286,263.08,226.60
ADFFOODS.NS,9/17/2024,286,276.99,226.60
ADFFOODS.NS,9/18/2024,286,283.50,226.60
ADFFOODS.NS,9/19/2024,286,270.56,265.75
ADFFOODS.NS,9/20/2024,286,272.16,265.75
ADFFOODS.NS,9/23/2024,286,269.01,265.75
ADFFOODS.NS,9/24/2024,286,266.95,265.35
ADFFOODS.NS,9/25/2024,286,272.30,265.35
ADFFOODS.NS,9/26/2024,286,272.59,265.35
ADFFOODS.NS,9/27/2024,286,272.55,265.35
ADFFOODS.NS,10/7/2024,286,268.21,252.10
ADFFOODS.NS,10/8/2024,286,268.79,252.10
ADFFOODS.NS,10/16/2024,286,295.05,288.05
ADFFOODS.NS,10/17/2024,286,308.99,288.05
ADFFOODS.NS,10/18/2024,286,300.54,288.05
ADFFOODS.NS,10/21/2024,286,297.13,288.05
ADFFOODS.NS,10/22/2024,286,282.94,278.00
ADFFOODS.NS,10/23/2024,286,280.85,276.05
ADFFOODS.NS,10/24/2024,286,283.56,276.05
ADFFOODS.NS,10/28/2024,286,274.15,268.00
ADL.NS,8/13/2024,93,96.38,88.30
ADL.NS,8/14/2024,93,94.93,88.30
ADL.NS,8/16/2024,93,95.50,93.40
ADL.NS,8/19/2024,93,96.01,93.40
ADL.NS,8/20/2024,93,97.47,93.40
ADL.NS,8/21/2024,93,97.07,93.40
ADL.NS,8/22/2024,93,96.51,93.40
ADL.NS,8/23/2024,93,95.60,93.40
ADL.NS,8/26/2024,93,96.55,93.40
ADL.NS,8/27/2024,93,95.62,94.50
ADL.NS,8/28/2024,93,94.47,93.00
ADL.NS,8/29/2024,93,93.74,92.41
ADL.NS,8/30/2024,93,97.61,92.41
ADL.NS,9/2/2024,93,101.39,92.41
ADL.NS,9/3/2024,93,102.23,92.41
