Ticker,Last Alert Date,Buy Price,Target,Call,Status
1STCUS.BO,2024-09-25,,125.13,Short,Close
20MICRONS.NS,2024-10-21,,314.0,Short,Close
21STCENMGM.NS,2024-10-21,,120.24,Short,Close
360ONE.NS,2024-10-29,1005.4,,Long,Open
3IINFOLTD.NS,2024-08-28,,37.42,Short,Close
3MINDIA.NS,2024-07-30,,40222.6,Short,Close
3PLAND.NS,2024-10-29,36.53,,Long,Open
4THGEN.BO,2024-09-16,5.67,,Long,Open
5PAISA.NS,2024-10-28,490.67,,Long,Open
63MOONS.NS,2024-10-28,465.0,,Long,Open
7TEC.BO,2024-08-01,,65.69,Short,Close
A2ZINFRA.NS,2024-10-24,16.51,,Long,Open
AAATECH.NS,2024-10-28,112.57,,Long,Open
AAIL.BO,2024-10-28,100.16,,Long,Open
AAKASH.NS,2024-07-31,,14.11,Short,Close
AANCHALISP.BO,2024-10-29,5.19,,Long,Open
AARON.NS,2024-10-28,260.85,,Long,Open
AARTECH.BO,2024-10-16,,68.93,Short,Close
AARTIDRUGS.NS,2024-08-26,,613.4,Short,Close
AARTIIND.NS,2024-10-28,491.16,,Long,Open
AARTISURF.NS,2024-10-30,717.8,,Long,Open
AARVEEDEN.NS,2024-10-29,43.03,,Long,Open
AARVI.NS,2024-10-28,140.74,,Long,Open
AAVAS.NS,2024-09-23,,1907.79,Short,Close
AAYUSH.BO,2024-10-04,73.11,,Long,Open
ABAN.NS,2024-10-30,65.5,,Long,Open
ABANSENT.BO,2024-10-30,26.7,,Long,Open
ABB.NS,2024-10-18,,8777.51,Short,Close
ABBOTINDIA.BO,2024-10-08,28154.05,,Long,Open
ABCAPITAL.NS,2024-10-30,207.7,,Long,Open
ABCINDQ.BO,2024-10-23,118.23,,Long,Open
ABFRL.NS,2024-10-15,,350.92,Short,Close
ABHICAP.BO,2024-10-24,155.8,,Long,Open
ABHIINFRA.BO,2024-09-16,,10.82,Short,Close
ABIRAFN.BO,2024-10-28,48.99,,Long,Open
ABMKNO.BO,2024-10-29,122.71,,Long,Open
ACC.NS,2024-09-13,,2507.04,Short,Close
ACCEL.BO,2024-10-28,21.96,,Long,Open
ACCELYA.NS,2024-10-10,,1818.75,Short,Close
ACCURACY.NS,2024-10-30,9.67,,Long,Open
ACE.NS,2024-10-30,1203.85,,Long,Open
ACEINTEG.NS,2024-09-30,35.62,,Long,Open
ACEMEN.BO,2024-10-25,69.47,,Long,Open
ACESOFT.BO,2024-09-24,370.9,,Long,Open
ACGL.BO,2024-10-29,2263.17,,Long,Open
ACIIN.BO,2024-10-24,2.3,,Long,Open
ACKNIT.BO,2024-09-18,,353.79,Short,Close
ACL.NS,2024-10-30,86.88,,Long,Open
ACME.BO,2024-10-10,,35.31,Short,Close
ACML.BO,2024-10-29,66.86,,Long,Open
ACROW.BO,2024-10-11,,767.85,Short,Close
ADANIENT.NS,2024-10-28,2709.68,,Long,Open
ADANIGREEN.NS,2024-09-24,,2065.66,Short,Close
ADANIPORTS.NS,2024-10-28,1318.39,,Long,Open
ADANIPOWER.NS,2024-09-24,,675.17,Short,Close
ADARSHPL.BO,2024-10-15,,34.86,Short,Close
ADCINDIA.BO,2024-10-29,1625.32,,Long,Open
ADCON.BO,2024-10-17,,1.04,Short,Close
ADDIND.BO,2024-10-24,39.49,,Long,Open
ADFFOODS.NS,2024-10-28,274.15,,Long,Open
ADIEXRE.BO,2024-10-09,24.98,,Long,Open
ADINATH.BO,2024-10-01,,31.01,Short,Close
ADITYA.BO,2024-10-30,10.2,,Long,Open
