Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Close,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2024-10-30,21STCENMGM.NS,ATR_W,2024-10-30,104.36,108.61,,Long,Open,114.28,2024-11-12,235.29,,,India
2024-10-30,3MINDIA.NS,ATRBB_DC,2024-10-31,33131.6,34601.65,,Long,Open,34947.45,2024-11-12,0.68,,,India
2024-10-30,3PLAND.NS,LR_BW,2024-10-29,34.05,39.0,,Long,Open,44.58,2024-11-12,202.02,,,India
2024-10-30,AARTISURF.NS,EW_BW,2024-10-30,678.0,736.0,,Short,Closed,670.6,2024-11-12,17.24,ISL Hit,678.0,India
2024-10-30,AARVEEDEN.NS,ATR_DC,2024-10-29,41.25,48.07,,Long,Open,61.95,2024-11-12,146.63,,,India
2024-10-30,ABAN.NS,EW_DC,2024-10-30,62.56,66.0,,Long,Open,62.94,2024-11-12,290.7,,,India
2024-10-30,ABANSENT.BO,EW_BW,2024-11-04,25.1,29.0,,Long,Open,,2000-01-01,256.41,,,India
2024-10-30,ABCAPITAL.NS,ATREW_UC,2024-10-01,199.44,215.0,241.8,Short,Closed,196.7,2024-11-12,64.27,ISL Hit,199.44,India
2024-10-30,ACCURACY.NS,EW_UC,2024-11-06,9.35,10.0,10.31,Short,Closed,10.01,2024-11-12,1538.46,Target Hit,10.31,India
2024-10-30,ACE.NS,ATREW_DC,2024-10-30,1115.5,1305.0,,Long,Open,1322.0,2024-11-12,5.28,,,India
2024-10-30,ACL.NS,EW_DC,2024-11-04,82.0,88.0,90.13,Short,Close,,2000-01-01,166.67,,,India
2024-10-30,ADINATH.BO,BB_W,2024-11-06,23.05,28.94,30.1,Short,Close,,2000-01-01,169.78,,,India
2024-10-30,ADITYA.BO,EW_BW,2024-10-30,9.07,11.0,,Long,Open,,2000-01-01,518.13,,,India
2024-10-30,ADMANUM.BO,EW_DC,2024-11-04,91.15,99.0,112.19,Short,Close,,2000-01-01,127.39,,,India
2024-10-30,AGARIND.NS,EWBB_DC,2024-10-30,981.2,1074.0,,Long,Open,1079.6,2024-11-12,10.78,,,India
2024-10-30,AJANTSOY.BO,BB_DC,2024-10-30,39.7,44.94,44.01,Short,Close,,2000-01-01,190.84,,,India
2024-10-30,AJCON.BO,EW_UC,2024-10-30,42.55,46.0,,Long,Open,,2000-01-01,289.86,,,India
2024-10-30,AKI.BO,BB_DC,2024-11-01,18.31,19.24,,Long,Open,19.16,2024-11-12,1075.27,,,India
2024-10-30,AKZOINDIA.NS,BB_W,2024-11-01,3620.0,3802.7,4402.3,Short,Closed,3824.0,2024-11-12,5.47,Target Hit,4402.3,India
2024-10-30,ALFAICA.BO,EW_UC,2024-10-30,80.0,86.0,,Long,Open,87.59,2024-11-12,166.67,,,India
2024-10-30,ALFATRAN.BO,EW_UC,2024-10-30,111.63,122.0,,Long,Open,,2000-01-01,96.43,,,India
2024-10-30,ALFAVIO.BO,EWBB_W,2024-10-31,14.75,17.0,,Short,Closed,14.0,2024-11-12,444.44,ISL Hit,14.75,India
2024-10-30,ALFL.BO,EW_DC,2024-11-01,1.82,2.0,2.18,Short,Closed,2.05,2024-11-12,5555.56,Target Hit,2.18,India
2024-10-30,ALOKINDS.NS,EW_DC,2024-10-30,20.62,22.0,,Long,Open,21.27,2024-11-12,724.64,,,India
2024-10-30,ALPSINDUS.NS,EWBB_DC,2024-10-30,3.05,4.0,,Long,Open,4.2,2024-11-11,1052.63,,,India
2024-10-30,AMALGAM.BO,BB_DT,2024-10-10,82.25,85.75,98.01,Short,Close,,2000-01-01,285.71,,,India
2024-10-30,AMBARPIL.BO,BB,2000-01-01,,219.9,,,,,2000-01-01,,,,India
2024-10-30,AMBICAAGAR.BO,EWBB_DT,2024-10-30,25.75,27.0,,Long,Open,29.13,2024-11-12,800.0,,,India
2024-10-30,ANG.BO,EWBB_W,2024-11-01,44.38,48.0,47.4,Short,Closed,44.99,2024-11-12,276.24,Target Hit,47.4,India
2024-10-30,ANIKINDS.NS,ATR_DC,2024-10-24,75.5,87.71,,Long,Open,101.91,2024-11-12,81.9,,,India
2024-10-30,ANJANI.BO,EWBB_W,2024-10-30,40.1,47.0,,Long,Open,45.87,2024-11-12,144.93,,,India
2024-10-30,ANSINDUS.BO,EW_DC,2024-10-30,8.65,10.0,,Long,Open,12.85,2024-11-12,740.74,,,India
2024-10-30,APOLLOFI.BO,BB_W,2024-11-04,761.6,820.4,849.66,Short,Close,,2000-01-01,17.01,,,India
