Ticker,Date/Time,Close,myBuy ,myShort
4THGEN.BO,10/28/2024,6,,1
3PLAND.NS,10/30/2024,39,1,
3MINDIA.NS,10/31/2024,36048,1,
^NSEBANK,10/23/2024,51475,,1
AAKASH.NS,10/31/2024,12,1,
A2ZINFRA.NS,10/22/2024,17,,1
AGROPHOS.NS,10/22/2024,44,,1
AHLEAST.NS,10/23/2024,170,,1
AIRAN.NS,10/22/2024,35,,1
AJEL.BO,10/22/2024,16,1,
AKSHOPTFBR.NS,10/31/2024,10,,1
ALSTONE.BO,10/31/2024,1,1,
AMBALALSA.BO,10/22/2024,54,,1
ALPHAGEO.NS,10/28/2024,416,,1
ANDHRSUGAR.NS,10/31/2024,105,1,
ANKIN.BO,10/28/2024,15,1,
ARCHITORG.BO,10/25/2024,46,1,
ARIES.NS,10/30/2024,264,1,
ARYAMAN.BO,10/31/2024,418,1,
ARVIND.NS,10/31/2024,372,1,
ATFL.NS,10/25/2024,937,,1
AUSOMENT.NS,10/28/2024,121,,1
AUTOAXLES.NS,10/30/2024,1840,1,
AWHCL.NS,10/22/2024,809,,1
AXISBANK.NS,10/23/2024,1160,,1
BALTE.BO,10/22/2024,33,,1
BANKBEES.BO,10/22/2024,530,,1
BBOX.NS,10/22/2024,487,,1
BBOX.NS,10/31/2024,487,1,
BDH.BO,10/30/2024,325,1,
BELLACASA.BO,10/29/2024,541,1,
BHARATSE.BO,10/30/2024,199,1,
BLOOM.BO,10/21/2024,15,,1
BNRSEC.BO,10/22/2024,190,,1
BRADYM.BO,10/23/2024,1971,,1
BSE.NS,10/22/2024,4466,,1
CAMEXLTD.BO,10/24/2024,58,,1
CARERATING.NS,10/22/2024,1461,,1
CCL.NS,10/31/2024,678,1,
CESC.NS,10/22/2024,189,,1
CHEMBOND.NS,10/22/2024,555,,1
CITYONLINE.BO,10/23/2024,6,1,
COLINZ.BO,10/25/2024,62,,1
COLINZ.BO,10/31/2024,62,1,
COROMANDEL.NS,10/31/2024,1669,1,
CRANEINFRA.BO,10/31/2024,25,1,
CRAVATEX.BO,10/29/2024,460,1,
CROWN.NS,10/23/2024,240,1,
CUBIFIN.BO,10/31/2024,2,1,
CYBERTECH.NS,10/31/2024,225,1,
DCI.NS,10/22/2024,361,,1
DECNGOLD.BO,10/30/2024,131,1,
DCMFINSERV.NS,10/31/2024,7,1,
DCMSHRIRAM.NS,10/25/2024,1048,,1
DHANROTO.BO,10/22/2024,229,,1
DHANI.NS,10/24/2024,57,,1
DLINKINDIA.NS,10/31/2024,554,1,
DUTRON.BO,10/29/2024,173,,1
EIDPARRY.NS,10/31/2024,807,1,
EICHERMOT.NS,10/29/2024,4895,1,
ELNET.BO,10/31/2024,354,1,
EMERALL.BO,10/28/2024,168,1,
ENERGYDEV.NS,10/31/2024,25,1,
ESHAMEDIA.BO,10/31/2024,15,1,
FDC.NS,10/31/2024,547,1,
FILTRA.BO,10/23/2024,86,,1
GARNETINT.BO,10/25/2024,127,,1
GARWSYN.BO,10/24/2024,28,1,
GOKULAGRO.NS,10/30/2024,284,1,
GREENPLY.NS,10/29/2024,348,,1
GSLSEC.BO,10/29/2024,15,,1
GTL.NS,10/22/2024,13,,1
GUFICBIO.NS,10/29/2024,438,,1
GUJCOTEX.BO,10/28/2024,12,,1
GUJCONT.BO,10/31/2024,173,1,
GUJPETR.BO,10/22/2024,72,,1
HALDER.BO,10/29/2024,795,1,
HAWAENG.BO,10/22/2024,228,,1
ICEMAKE.NS,10/25/2024,859,,1
IFINSEC.BO,10/25/2024,142,1,
IFINSEC.BO,10/28/2024,142,,1
IFINSEC.BO,10/29/2024,142,1,
IFINSEC.BO,10/30/2024,142,,1
IFBAGRO.NS,10/22/2024,546,,1
IFBIND.NS,10/28/2024,1552,,1
INDIANVSH.BO,10/23/2024,15,,1
INDOCITY.BO,10/31/2024,15,1,
INDTONER.BO,10/31/2024,299,1,
INFOBEAN.NS,10/28/2024,418,1,
INGERRAND.NS,10/24/2024,4299,,1
INSECTICID.NS,10/31/2024,860,1,
IONEXCHANG.BO,10/29/2024,703,1,
JAUSPOL.BO,10/23/2024,9,,1
JETKINGQ.BO,10/29/2024,63,1,
JINDALPHOT.NS,10/22/2024,719,,1
JISLDVREQS.BO,10/31/2024,31,1,
JISLJALEQS.NS,10/31/2024,64,1,
JUBLINDS.NS,10/21/2024,1634,1,
JUBLINDS.NS,10/25/2024,1634,,1
KAMAHOLD.BO,10/25/2024,2591,,1
KALYANIFRG.NS,10/31/2024,462,1,
KANELIND.BO,10/21/2024,2,,1
KESARENT.BO,10/30/2024,148,1,
KERNEX.NS,10/30/2024,770,1,
KHADIM.NS,10/23/2024,374,,1
KIDUJA.BO,10/24/2024,458,1,
KHANDSE.NS,10/30/2024,30,1,
