Ticker,Date/Time,Close,hh,ll,FromLow,FromHigh
1STCUS.BO,10/24/2024,106.90,119.00,106.90,1.00,1.00
1STCUS.BO,10/25/2024,106.90,119.00,104.90,0.00,0.00
1STCUS.BO,10/28/2024,104.80,119.00,104.80,0.00,0.00
1STCUS.BO,10/29/2024,104.70,119.00,104.70,0.00,0.00
1STCUS.BO,10/30/2024,102.65,119.00,102.65,0.00,0.00
1STCUS.BO,10/31/2024,100.60,119.00,100.60,0.00,0.00
1STCUS.BO,11/1/2024,100.60,119.00,100.60,1.00,1.00
1STCUS.BO,11/4/2024,104.70,105.00,100.60,2.00,0.00
1STCUS.BO,11/5/2024,104.70,105.00,100.60,3.00,1.00
1STCUS.BO,11/6/2024,115.35,115.35,100.60,0.00,0.00
21STCENMGM.NS,10/24/2024,113.16,122.64,113.16,0.00,0.00
21STCENMGM.NS,10/25/2024,110.89,122.64,110.89,0.00,0.00
21STCENMGM.NS,10/28/2024,108.67,122.64,108.67,0.00,0.00
21STCENMGM.NS,10/29/2024,106.49,122.64,106.49,0.00,0.00
21STCENMGM.NS,10/30/2024,108.61,122.64,104.36,0.00,0.00
21STCENMGM.NS,10/31/2024,110.78,122.64,104.36,1.00,0.00
21STCENMGM.NS,11/1/2024,110.78,122.64,104.36,2.00,1.00
21STCENMGM.NS,11/4/2024,114.71,115.24,104.36,3.00,0.00
21STCENMGM.NS,11/5/2024,116.73,117.00,104.36,0.00,0.00
21STCENMGM.NS,11/6/2024,119.06,119.06,104.36,0.00,0.00
360ONE.NS,10/24/2024,1035.85,1143.65,992.05,1.00,1.00
360ONE.NS,10/25/2024,1012.15,1143.65,982.00,0.00,0.00
360ONE.NS,10/28/2024,1001.75,1143.65,982.00,1.00,1.00
360ONE.NS,10/29/2024,1025.20,1143.65,982.00,2.00,2.00
360ONE.NS,10/30/2024,1061.35,1070.00,982.00,3.00,0.00
360ONE.NS,10/31/2024,1090.50,1095.00,982.00,0.00,0.00
360ONE.NS,11/1/2024,1090.50,1095.00,982.00,1.00,1.00
360ONE.NS,11/4/2024,1037.70,1099.80,982.00,0.00,0.00
360ONE.NS,11/5/2024,1036.45,1099.80,1011.75,0.00,1.00
360ONE.NS,11/6/2024,1056.20,1099.80,1011.75,1.00,2.00
20MICRONS.NS,10/24/2024,294.40,321.00,260.00,3.00,3.00
20MICRONS.NS,10/25/2024,288.55,321.00,288.55,0.00,4.00
