Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL
360ONE.NS,2/26/2024,1046,265.38,,760.70,775.00
360ONE.NS,4/1/2024,1046,323.75,683.60,,702.50
360ONE.NS,4/25/2024,1046,355.98,,832.21,900.95
360ONE.NS,5/10/2024,1046,337.50,742.76,,900.95
360ONE.NS,5/24/2024,1046,308.95,,825.44,829.90
360ONE.NS,6/5/2024,1046,308.95,735.30,,829.90
360ONE.NS,7/1/2024,1046,425.50,,1002.86,1065.00
360ONE.NS,7/5/2024,1046,425.01,932.08,,1065.00
360ONE.NS,7/10/2024,1046,395.10,,1015.69,1034.95
360ONE.NS,7/15/2024,1046,395.10,948.47,,1034.95
360ONE.NS,7/31/2024,1046,395.10,,1128.16,1139.10
360ONE.NS,8/7/2024,1046,395.10,989.41,,1215.00
360ONE.NS,9/12/2024,1046,591.50,,1104.03,1119.65
360ONE.NS,10/11/2024,1046,691.40,1037.96,,1080.00
360ONE.NS,10/16/2024,1046,691.40,,1123.01,1128.35
360ONE.NS,10/29/2024,1046,691.40,1005.40,,1143.65
360ONE.NS,11/1/2024,1046,940.00,,1090.50,1095.00
5PAISA.NS,3/27/2024,501,356.20,479.25,,595.75
5PAISA.NS,4/3/2024,501,356.20,,583.04,600.00
5PAISA.NS,4/18/2024,501,293.60,554.50,,605.00
5PAISA.NS,4/24/2024,501,293.60,,574.92,580.25
5PAISA.NS,5/9/2024,501,299.25,513.55,,580.25
5PAISA.NS,5/22/2024,501,264.85,,553.31,561.95
5PAISA.NS,6/6/2024,501,270.75,515.25,,540.00
5PAISA.NS,6/13/2024,501,302.65,,540.08,544.40
5PAISA.NS,7/29/2024,501,270.10,483.50,,491.00
5PAISA.NS,7/31/2024,501,270.10,,489.50,496.00
5PAISA.NS,8/9/2024,501,270.10,472.73,,492.90
5PAISA.NS,9/23/2024,501,462.60,,570.15,575.50
5PAISA.NS,10/10/2024,501,475.00,538.70,,568.70
5PAISA.NS,10/15/2024,501,475.00,,582.34,596.45
5PAISA.NS,10/28/2024,501,458.00,490.67,,607.05
4THGEN.BO,7/22/2024,6,3.14,,5.93,6.00
4THGEN.BO,9/16/2024,6,4.53,5.67,,5.67
1STCUS.BO,2/23/2024,126,28.50,,61.52,62.99
1STCUS.BO,4/8/2024,126,38.00,49.46,,49.46
1STCUS.BO,4/18/2024,126,38.45,,61.81,62.58
1STCUS.BO,4/19/2024,126,38.45,57.96,,62.58
1STCUS.BO,4/22/2024,126,38.45,60.00,60.00,62.58
1STCUS.BO,4/23/2024,126,38.45,61.50,62.50,63.00
1STCUS.BO,4/24/2024,126,38.45,61.00,61.00,63.00
1STCUS.BO,4/25/2024,126,38.45,,61.00,63.00
1STCUS.BO,4/30/2024,126,38.45,53.60,,63.00
1STCUS.BO,5/15/2024,126,46.00,,62.00,64.00
1STCUS.BO,5/16/2024,126,46.00,60.08,,64.00
1STCUS.BO,5/17/2024,126,46.00,57.96,60.93,64.00
1STCUS.BO,5/21/2024,126,46.00,61.37,62.10,64.00
1STCUS.BO,5/22/2024,126,46.00,59.48,62.53,64.05
1STCUS.BO,5/23/2024,126,46.00,67.20,67.20,67.20
1STCUS.BO,5/24/2024,126,46.00,70.56,70.56,70.56
1STCUS.BO,5/27/2024,126,46.00,74.08,74.08,74.08
1STCUS.BO,5/28/2024,126,43.80,77.78,77.78,77.78
1STCUS.BO,5/29/2024,126,41.65,81.66,81.66,81.66
1STCUS.BO,5/30/2024,126,37.70,85.74,85.74,85.74
1STCUS.BO,5/31/2024,126,35.25,,90.02,90.02
1STCUS.BO,6/6/2024,126,35.25,79.65,,94.52
1STCUS.BO,6/24/2024,126,36.50,,141.23,141.23
1STCUS.BO,7/30/2024,126,29.45,86.31,,97.30
1STCUS.BO,8/13/2024,126,33.56,,127.15,127.15
1STCUS.BO,9/13/2024,126,50.00,89.36,,127.19
1STCUS.BO,9/25/2024,126,47.69,,125.13,126.35
1STCUS.BO,11/6/2024,126,104.90,115.35,,115.35
20MICRONS.NS,2/20/2024,248,28.20,,157.91,159.20
20MICRONS.NS,3/14/2024,248,48.45,139.30,,174.30
20MICRONS.NS,3/15/2024,248,48.45,,152.38,154.90
20MICRONS.NS,4/1/2024,248,56.00,138.58,,159.00
20MICRONS.NS,5/6/2024,248,77.15,,173.04,177.00
20MICRONS.NS,5/10/2024,248,67.10,160.84,,177.00
20MICRONS.NS,5/16/2024,248,60.35,,189.39,191.65
20MICRONS.NS,5/29/2024,248,60.35,166.70,,194.80
20MICRONS.NS,5/30/2024,248,60.35,,181.89,185.65
20MICRONS.NS,6/6/2024,248,90.00,171.65,,185.65
20MICRONS.NS,7/9/2024,248,64.00,,233.25,236.00
20MICRONS.NS,7/19/2024,248,63.05,209.49,,233.70
20MICRONS.NS,8/2/2024,248,63.05,,283.54,294.80
20MICRONS.NS,8/7/2024,248,63.05,274.42,,302.70
20MICRONS.NS,8/9/2024,248,63.05,,324.01,331.50
20MICRONS.NS,8/16/2024,248,63.05,293.60,,331.50
20MICRONS.NS,8/23/2024,248,63.05,,337.48,348.00
