Ticker,Date/Time,BullBreak,BearBreak,Pattern,Close
1STCUS.BO,11/4/2024,bullish Breakout,,Down Channel,104.70
1STCUS.BO,11/5/2024,bullish Breakout,,Down Channel,104.70
1STCUS.BO,11/6/2024,bullish Breakout,,Down Channel,115.35
1STCUS.BO,11/7/2024,bullish Breakout,,Down Channel,121.10
1STCUS.BO,11/8/2024,bullish Breakout,,Down Channel,125.95
21STCENMGM.NS,11/4/2024,,,Wedge,114.71
21STCENMGM.NS,11/5/2024,,,Wedge,116.73
21STCENMGM.NS,11/6/2024,,,Wedge,119.06
21STCENMGM.NS,11/7/2024,,,Wedge,121.44
21STCENMGM.NS,11/8/2024,,,Wedge,119.01
360ONE.NS,11/4/2024,,,Wedge,1037.70
360ONE.NS,11/5/2024,,,Wedge,1036.45
360ONE.NS,11/6/2024,,,Wedge,1056.20
360ONE.NS,11/7/2024,,,Wedge,1036.15
360ONE.NS,11/8/2024,,,Wedge,1046.45
20MICRONS.NS,11/4/2024,,,Up Channel,257.85
20MICRONS.NS,11/5/2024,,,Up Channel,252.70
20MICRONS.NS,11/6/2024,,,Up Channel,247.65
20MICRONS.NS,11/7/2024,,,Up Channel,242.70
20MICRONS.NS,11/8/2024,,,Up Channel,247.55
5PAISA.NS,11/4/2024,,,Broadening Wedge,506.90
5PAISA.NS,11/5/2024,,,Broadening Wedge,504.05
5PAISA.NS,11/6/2024,,,Broadening Wedge,510.50
5PAISA.NS,11/7/2024,,,Broadening Wedge,509.10
5PAISA.NS,11/8/2024,,,Broadening Wedge,500.50
4THGEN.BO,11/1/2024,,,Up Channel,6.24
4THGEN.BO,11/4/2024,,,Up Channel,6.24
4THGEN.BO,11/5/2024,,,Up Channel,6.24
4THGEN.BO,11/6/2024,,,Up Channel,6.24
4THGEN.BO,11/7/2024,,,Up Channel,6.24
3IINFOLTD.NS,11/4/2024,,,Down Channel,27.66
3IINFOLTD.NS,11/5/2024,,,Down Channel,27.83
3IINFOLTD.NS,11/6/2024,,,Down Channel,29.28
3IINFOLTD.NS,11/7/2024,,,Down Channel,29.17
3IINFOLTD.NS,11/8/2024,,,Down Channel,28.51
3MINDIA.NS,11/4/2024,,,Broadening Wedge,36085.10
3MINDIA.NS,11/5/2024,,,Broadening Wedge,35463.55
3MINDIA.NS,11/6/2024,,,Broadening Wedge,35432.40
3MINDIA.NS,11/7/2024,,,Broadening Wedge,36063.30
3MINDIA.NS,11/8/2024,,,Broadening Wedge,35925.70
3PLAND.NS,11/4/2024,,,Broadening Wedge,41.57
3PLAND.NS,11/5/2024,,,Broadening Wedge,42.27
3PLAND.NS,11/6/2024,,,Broadening Wedge,42.96
3PLAND.NS,11/7/2024,,,Broadening Wedge,43.75
3PLAND.NS,11/8/2024,,,Broadening Wedge,44.32
63MOONS.NS,11/4/2024,,,Wedge,581.80
63MOONS.NS,11/5/2024,,,Wedge,589.70
