Date/Time,Ticker,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2024-11-08,1STCUS.BO,1.0,,,BB,,,ZZ,125.95,0.0,31.0,0.0,0.0,120.19,125.4,130.6,,3337.0,_DC,94.18,195.0,5.01,50.95,,5.0,5.0,127.15,100.6,,BB_DC,128.0,39.0,0.016276300119094856
2024-11-08,ABAN.NS,1.0,,ATR,,,,,67.59,,,0.0,0.0,,,,,3337.0,_DC,41.88,1940.0,5.33,2.87,,,,67.59,63.13,,ATR_DC,61.77000045776367,224.0,-0.08610740556644964
2024-11-08,ACE.NS,0.0,,,BB,,,ZZ,1367.55,0.0,16.0,0.0,0.0,1265.05,1356.95,1448.85,,3337.0,_DC,49.37,1690.0,3.31,5.47,,8.0,8.0,1406.0,1115.5,,BB_DC,1242.4000244140625,4.0,-0.09151400357276696
2024-11-08,AHMDSTE.BO,0.0,,ATR,,,,,326.0,,,0.0,0.0,,,,,3337.0,_UC,99.49,18.0,1.05,222.71,,,,391.0,313.3,,ATR_UC,320.29998779296875,79.0,-0.017484700021568253
2024-11-08,AKSHOPTFBR.NS,1.0,,ATR,,,,ZZ,11.71,0.0,14.0,0.0,0.0,10.31,10.86,11.41,,3337.0,_UC,82.91,571.0,12.82,26.64,,10.0,10.0,12.35,10.0,,ATR_UC,10.460000038146973,585.0,-0.10674636736575817
2024-11-08,ALUFLUOR.BO,1.0,,ATR,,,,ZZ,444.95,0.0,16.0,0.0,0.0,383.1,409.75,436.41,,3337.0,_DC,47.63,1748.0,7.22,4.76,,12.0,12.0,459.8,341.3,,ATR_DC,497.1499938964844,10.0,0.11731653870431372
2024-11-08,ANSALAPI.NS,1.0,,ATR,,,,ZZ,12.72,0.0,33.0,0.0,0.0,12.5,12.69,12.89,,3337.0,_BW,72.99,902.0,5.16,17.45,,4.0,4.0,12.72,9.96,,ATR_BW,11.710000038146973,362.0,-0.07940251272429465
2024-11-08,ASPIRA.BO,1.0,,ATR,,,,ZZ,59.82,0.0,28.0,0.0,0.0,55.56,57.6,59.64,,3337.0,_UC,95.35,156.0,5.82,59.55,,26.0,26.0,59.82,47.64,,ATR_UC,66.58000183105469,82.0,0.11300571432722646
2024-11-08,ATAM.BO,1.0,,,BB,,,ZZ,144.3,0.0,21.0,0.0,0.0,129.19,136.25,143.31,,3337.0,_DC,10.85,2975.0,7.71,-13.64,,8.0,8.0,155.85,126.75,,BB_DC,142.0500030517578,57.0,-0.01559249444381288
2024-11-08,ATISHAY.BO,1.0,,,BB,,,ZZ,232.95,0.0,13.0,0.0,0.0,223.69,230.72,237.74,,3337.0,_UC,98.23,60.0,4.71,101.07,,8.0,8.0,232.95,157.85,,BB_UC,208.60000610351562,13.0,-0.10452884265500907
2024-11-08,AUSTENG.BO,0.0,,,BB,,,ZZ,217.85,0.0,20.0,0.0,0.0,217.26,218.35,219.44,,3337.0,_DC,50.54,1651.0,1.61,5.84,,3.0,3.0,220.0,198.0,,BB_DC,204.35000610351562,50.0,-0.06196921687621928
2024-11-08,AVONMORE.BO,0.0,,,BB,,,ZZ,16.4,0.0,14.0,0.0,0.0,16.2,16.41,16.63,,3337.0,_DC,80.79,642.0,1.52,24.62,,7.0,7.0,16.74,13.93,,BB_DC,13.670000076293945,405.0,-0.16646340998207643
2024-11-08,AXISBANK.NS,0.0,,,BB,,,ZZ,1160.95,0.0,30.0,2.0,3.0,0.0,0.0,0.0,,3337.0,_DC,43.59,1883.0,0.13,3.31,,16.0,16.0,1183.55,1133.45,,BB_DC,1140.699951171875,36.0,-0.017442653713015243
2024-11-08,B2BSOFT.BO,1.0,,,,,LR,ZZ,39.41,0.0,20.0,0.0,0.0,37.54,38.62,39.7,,3337.0,_W,65.32,1158.0,4.81,12.49,,9.0,9.0,39.6,31.6,,LR_W,36.619998931884766,128.0,-0.07079424176897313
2024-11-08,BETXIND.BO,1.0,,,BB,,LR,ZZ,363.1,0.0,30.0,5.0,1.0,348.62,368.8,388.97,,3337.0,_W,83.27,559.0,4.73,27.2,,10.0,10.0,363.1,342.45,,BBLR_W,355.0,48.0,-0.022307904158634047
2024-11-08,BFINVEST.NS,1.0,,ATR,,,,ZZ,753.05,0.0,14.0,0.0,0.0,697.8,724.54,751.28,,3337.0,_BW,83.12,564.0,10.71,26.94,,5.0,5.0,770.0,636.3,,ATR_BW,726.5499877929688,9.0,-0.035190242622709256
2024-11-08,BKV.BO,1.0,,,BB,,,ZZ,15.4,0.0,19.0,0.0,0.0,14.13,14.55,14.98,,3337.0,_W,69.12,1031.0,9.04,14.67,,10.0,10.0,15.4,12.02,,BB_W,16.059999465942383,296.0,0.04285710817807678
2024-11-08,BRAHMINFRA.BO,1.0,,,,EW,,,68.0,,,0.0,0.0,,,,,3337.0,_BW,19.36,2691.0,4.86,-5.3,63.1,,,73.5,63.1,,EW_BW,59.75,204.0,-0.1213235294117647
2024-11-08,CALCOM.BO,1.0,,,,EW,,,125.0,,,0.0,0.0,,,,,3337.0,_DC,25.66,2481.0,5.1,-2.45,117.3,,,125.2,117.3,,EW_DC,119.05000305175781,130.0,-0.0475999755859375
2024-11-08,CALSOFT.NS,0.0,,,BB,,,,19.29,,,4.0,3.0,,,,,3337.0,_DC,61.72,1278.0,2.55,10.7,,,,19.7,17.51,,BB_DC,18.31999969482422,562.0,-0.050285137645193385
2024-11-08,CAPRO.BO,1.0,,,,EW,,,53.0,,,5.0,3.0,,,,,3337.0,_UC,54.35,1524.0,5.32,7.47,46.11,,,56.0,46.11,,EW_UC,52.0,145.0,-0.018867924528301886
2024-11-08,CHDCHEM.BO,1.0,,,BB,,,ZZ,6.93,0.0,15.0,0.0,0.0,6.53,6.75,6.98,,3337.0,_W,47.0,1769.0,7.62,4.58,,9.0,9.0,6.93,6.03,,BB_W,6.360000133514404,1111.0,-0.08225106298493441
2024-11-08,CHOKSILA.BO,1.0,,ATR,BB,,LR,ZZ,71.75,0.0,17.0,0.0,0.0,61.21,65.84,70.47,,3337.0,_W,68.88,1039.0,18.5,14.51,,6.0,6.0,71.94,56.16,,ATRBBLR_W,62.15999984741211,64.0,-0.13365853871202635
2024-11-08,CITYONLINE.BO,1.0,,,BB,,,ZZ,6.45,0.0,44.0,0.0,0.0,5.75,5.98,6.21,,3337.0,_UC,76.44,787.0,5.4,19.97,,31.0,31.0,6.45,5.8,,BB_UC,6.829999923706055,1538.0,0.05891471685365186
2024-11-08,CONTICON.BO,1.0,,,BB,,,ZZ,11.8,0.0,10.0,6.0,0.0,11.56,11.95,12.34,,3337.0,_W,37.47,2087.0,6.42,1.57,,7.0,7.0,11.99,10.17,,BB_W,10.779999732971191,613.0,-0.0864407005956618
2024-11-08,CONTPTR.BO,0.0,,,BB,,,ZZ,94.85,0.0,21.0,1.0,10.0,92.87,94.55,96.23,,3337.0,_DC,56.65,1447.0,2.67,8.34,,10.0,10.0,97.99,87.15,,BB_DC,91.19000244140625,130.0,-0.03858721727563252
2024-11-08,CSBBANK.NS,0.0,,,BB,,,,313.3,,,2.0,0.0,,,,,3337.0,_DC,24.37,2524.0,1.39,-2.98,,,,315.9,305.9,,BB_DC,299.6000061035156,135.0,-0.04372803669481132
2024-11-08,CUBIFIN.BO,1.0,,ATR,,EW,,ZZ,2.0,0.0,18.0,4.0,0.0,2.56,2.63,2.7,,3337.0,_BW,81.32,624.0,4.78,25.06,2.15,10.0,10.0,2.47,2.15,,ATREW_BW,2.380000114440918,-6667.0,0.19000005722045898
2024-11-08,DBSTOCKBRO.NS,0.0,,,BB,,,,45.0,,,0.0,0.0,,,,,3337.0,_W,15.56,2818.0,-1.51,-8.34,,,,59.88,44.45,,BB_W,43.2400016784668,1818.0,-0.03911107381184896
2024-11-08,DECOMIC.BO,1.0,,,BB,,,ZZ,83.89,0.0,17.0,0.0,0.0,80.04,82.28,84.52,,3337.0,_W,49.76,1677.0,6.04,5.58,,5.0,5.0,86.38,71.54,,BB_W,74.94999694824219,81.0,-0.1065681613035858
2024-11-08,DEEPAKSP.BO,0.0,,,BB,,,ZZ,203.25,0.0,45.0,2.0,1.0,202.25,204.88,207.51,,3337.0,_DC,25.99,2470.0,2.03,-2.35,,10.0,10.0,208.0,190.25,,BB_DC,188.14999389648438,77.0,-0.07429277295702645
2024-11-08,DELTACORP.NS,0.0,,,,EW,,ZZ,120.0,0.0,31.0,0.0,0.0,117.58,119.51,121.45,,3337.0,_UC,30.82,2309.0,0.88,-0.76,112.28,10.0,10.0,122.32,112.28,,EW_UC,114.98999786376953,130.0,-0.04175001780192057
2024-11-08,DHUNINV.NS,1.0,,,,,LR,ZZ,2293.0,0.0,14.0,0.0,0.0,2228.23,2288.3,2348.38,,3337.0,_BW,92.96,236.0,4.1,45.6,,10.0,10.0,2328.8,1903.35,,LR_BW,2248.85009765625,3.0,-0.019254209482664632
2024-11-08,DILIGENT.BO,1.0,,,,EW,,,5.0,,,0.0,0.0,,,,,3337.0,_BW,14.63,2849.0,9.31,-9.05,3.78,,,4.95,3.78,,EW_BW,4.059999942779541,820.0,-0.18800001144409179
2024-11-08,DNAMEDIA.NS,1.0,,,,,LR,ZZ,5.56,0.0,33.0,0.0,0.0,5.28,5.44,5.6,,3337.0,_DC,72.36,923.0,4.5,17.07,,9.0,9.0,5.65,4.57,,LR_DC,4.880000114440918,1010.0,-0.12230213769048232
2024-11-08,DOLLAR.NS,1.0,,ATR,,,,ZZ,546.65,0.0,19.0,0.0,0.0,514.36,528.27,542.18,,3337.0,_BW,46.07,1800.0,5.05,4.18,,10.0,10.0,560.0,475.95,,ATR_BW,499.6000061035156,14.0,-0.08606968608155924
2024-11-08,ELDEHSG.BO,0.0,,,BB,,,ZZ,833.65,0.0,44.0,1.0,1.0,0.0,0.0,0.0,,3337.0,_DC,17.36,2758.0,-0.48,-6.55,,9.0,9.0,854.1,770.05,,BB_DC,787.4500122070312,16.0,-0.055418926159621816
2024-11-08,EMKAY.NS,0.0,,,BB,,,ZZ,307.5,0.0,14.0,0.0,0.0,301.62,305.79,309.96,,3337.0,_UC,95.17,162.0,-3.51,58.05,,10.0,10.0,307.5,251.23,,BB_UC,306.3999938964844,18.0,-0.0035772556211890244
2024-11-08,GFLLIMITED.NS,1.0,,,,EW,,,93.0,,,0.0,7.0,,,,,3337.0,_UC,66.7,1112.0,5.38,13.19,87.8,,,95.0,87.8,,EW_UC,94.5999984741211,192.0,0.01720428466796875
2024-11-08,GOKULAGRO.NS,1.0,,ATR,,,,ZZ,299.7,0.0,17.0,0.0,0.0,282.46,293.71,304.96,,3337.0,_W,94.3,191.0,4.18,51.62,,10.0,10.0,305.0,245.3,,ATR_W,318.3999938964844,18.0,0.06239570869697827
2024-11-08,GUJCONT.BO,1.0,,,,EW,,ZZ,179.0,0.0,21.0,2.0,2.0,171.25,176.61,181.96,,3337.0,_UC,56.71,1445.0,5.42,8.38,170.0,15.0,15.0,180.0,170.0,,EW_UC,165.75,111.0,-0.07402234636871509
2024-11-08,HIKAL.NS,0.0,,,BB,,,ZZ,386.95,0.0,14.0,0.0,0.0,378.01,389.78,401.54,,3337.0,_W,78.42,721.0,1.98,22.08,,10.0,10.0,395.35,334.35,,BB_W,403.8500061035156,19.0,0.04367490917047587
2024-11-08,IMFA.NS,1.0,,ATR,BB,,,ZZ,784.8,0.0,17.0,0.0,0.0,706.65,739.21,771.78,,3337.0,_BW,75.24,827.0,8.42,19.31,,10.0,10.0,799.5,631.05,,ATRBB_BW,736.25,7.0,-0.061862895005096785
2024-11-08,INDLEASE.BO,,,,BB,,,,11.3,,,,0.0,,,,,3337.0,_UC,6.62,3116.0,,,,,,11.3,9.15,,BB_UC,10.539999961853027,465.0,-0.06725664054397994
2024-11-08,INTECCAP.BO,0.0,,,BB,,,ZZ,16.5,0.0,62.0,0.0,0.0,16.29,16.92,17.55,,3337.0,_DT,33.27,2227.0,1.29,0.13,,15.0,15.0,17.4,14.42,,BB_DT,16.8700008392334,481.0,0.02242429328687263
2024-11-08,ITI.NS,1.0,,ATR,,,,ZZ,304.24,0.0,49.0,0.0,0.0,231.24,265.52,299.8,,3337.0,_DC,72.06,933.0,12.94,16.8,,10.0,10.0,317.0,210.0,,ATR_DC,291.5199890136719,11.0,-0.0418091341911916
2024-11-08,JAUSPOL.BO,0.0,,,,EW,,ZZ,9.0,0.0,16.0,2.0,1.0,9.63,9.76,9.89,,3337.0,_BW,62.89,1239.0,3.81,11.18,8.67,8.0,8.0,9.78,8.67,,EW_BW,9.0,3030.0,0.0
2024-11-08,JAYAGROGN.NS,1.0,,ATR,,,LR,ZZ,303.6,0.0,26.0,0.0,0.0,284.01,292.31,300.61,,3337.0,_DC,70.47,986.0,7.23,15.58,,9.0,9.0,313.0,276.8,,ATRLR_DC,277.5,37.0,-0.08596837944664039
2024-11-08,JAYBHCR.BO,1.0,,ATR,,,,ZZ,10.29,0.0,45.0,0.0,0.0,9.63,9.99,10.36,,3337.0,_W,65.17,1163.0,5.13,12.43,,23.0,23.0,10.29,9.8,,ATR_W,10.800000190734863,2041.0,0.04956270075168748
2024-11-08,JINDALPHOT.NS,1.0,,ATR,,,LR,ZZ,775.75,0.0,17.0,0.0,0.0,735.54,755.66,775.78,,3337.0,_BW,66.85,1107.0,6.35,13.29,,7.0,7.0,800.5,694.5,,ATRLR_BW,732.9500122070312,12.0,-0.05517239805732356
2024-11-08,JINDHOT.BO,0.0,,,,,LR,ZZ,100.07,0.0,54.0,0.0,0.0,93.49,97.13,100.77,,3337.0,_W,26.17,2464.0,3.0,-2.3,,7.0,7.0,100.54,86.01,,LR_W,95.44000244140625,71.0,-0.04626758827414553
2024-11-08,JJFINCOR.BO,1.0,,,BB,,,ZZ,45.33,0.0,14.0,0.0,0.0,40.52,43.34,46.17,,3337.0,_UC,95.86,139.0,7.06,64.21,,10.0,10.0,45.33,37.23,,BB_UC,48.0,123.0,0.05890138980807416
2024-11-08,JSTL.BO,0.0,,,BB,,,,54.09,,,16.0,0.0,,,,,3337.0,_DT,48.95,1704.0,3.15,5.29,,,,56.45,52.45,,BB_DT,50.5099983215332,610.0,-0.06618601735009799
2024-11-08,JSWHL.NS,1.0,,ATR,,,,ZZ,15434.85,0.0,14.0,0.0,0.0,10824.77,12915.71,15006.64,,3337.0,_UC,98.14,63.0,27.36,99.94,,10.0,10.0,15655.8,9060.05,,ATR_UC,19420.19921875,0.0,0.2582045966595075
2024-11-08,KAMADGIRI.BO,0.0,,,,EW,,,104.0,,,0.0,3.0,,,,,3337.0,_DC,73.62,881.0,3.69,17.99,91.75,,,104.7,91.75,,EW_DC,109.94999694824219,82.0,0.05721150911771334
2024-11-08,KANORICHEM.NS,0.0,,,,,LR,ZZ,130.74,0.0,27.0,0.0,0.0,128.82,131.38,133.95,,3337.0,_DC,50.45,1654.0,0.98,5.81,,10.0,10.0,134.47,116.5,,LR_DC,112.02999877929688,70.0,-0.14310846887489012
2024-11-08,KANPRPLA.NS,0.0,,,BB,,,ZZ,120.98,0.0,16.0,0.0,9.0,114.87,119.05,123.23,,3337.0,_W,59.23,1361.0,0.46,9.52,,10.0,10.0,125.0,113.66,,BB_W,115.47000122070312,137.0,-0.04554470804510563
2024-11-08,KCP.NS,0.0,,,BB,,,ZZ,233.87,0.0,31.0,0.0,0.0,225.49,231.05,236.62,,3337.0,_DC,76.83,774.0,3.75,20.29,,9.0,9.0,240.32,210.01,,BB_DC,226.36000061035156,42.0,-0.03211185440479088
2024-11-08,KFBL.BO,0.0,,,BB,,,,98.85,,,0.0,1.0,,,,,3337.0,_W,70.77,976.0,-0.39,15.88,,,,106.9,95.05,,BB_W,90.19999694824219,263.0,-0.08750635358379168
