Ticker,Date/Time,Buy
AAIL.BO,11/12/2024,1
AEGISLOG.BO,11/14/2024,1
AFFLE.NS,11/14/2024,1
AHMDSTE.BO,11/13/2024,1
ALUFLUOR.BO,11/14/2024,1
AMFORG.BO,11/13/2024,1
ANUP.NS,11/14/2024,1
ASHAI.BO,11/12/2024,1
ASHIMASYN.NS,11/14/2024,1
ATISHAY.BO,11/14/2024,1
BAJAJHCARE.BO,11/14/2024,1
BANCOINDIA.NS,11/14/2024,1
BHAGCHEM.BO,11/14/2024,1
BHILSPIN.BO,11/12/2024,1
BRIGHTBR.BO,11/14/2024,1
CAMLINFINE.NS,11/14/2024,1
COMSYN.BO,11/14/2024,1
CROMPTON.NS,11/18/2024,1
DCMSHRIRAM.NS,11/14/2024,1
DEEPAKNTR.NS,11/14/2024,1
DENISCHEM.BO,11/14/2024,1
DEVIT.NS,11/13/2024,1
DYNPRO.NS,11/14/2024,1
ECORECO.BO,11/14/2024,1
EICHERMOT.NS,11/14/2024,1
EKC.NS,11/18/2024,1
ELECTHERM.NS,11/12/2024,1
ESHAMEDIA.BO,11/14/2024,1
FIBERWEB.BO,11/14/2024,1
GANECOS.NS,11/14/2024,1
GARFIBRES.NS,11/18/2024,1
GILLANDERS.NS,11/13/2024,1
GINISILK.BO,11/14/2024,1
GLENMARK.NS,11/12/2024,1
GRWRHITECH.BO,11/14/2024,1
GRWRHITECH.BO,11/18/2024,1
GUJCRED.BO,11/14/2024,1
HIPOLIN.BO,11/12/2024,1
HISARSP.BO,11/13/2024,1
HPL.NS,11/12/2024,1
INDHOTEL.NS,11/14/2024,1
INFORTEC.BO,11/14/2024,1
INNOCORP.BO,11/11/2024,1
IZMO.NS,11/18/2024,1
JAYBHCR.BO,11/8/2024,1
JAYSREETEA.NS,11/14/2024,1
JINDALPHOT.NS,11/18/2024,1
KAPILCO.BO,11/12/2024,1
KAPILRAJ.BO,11/13/2024,1
KERNEX.NS,11/14/2024,1
KIDUJA.BO,11/12/2024,1
KIOCL.NS,11/12/2024,1
KIRIINDUS.NS,11/14/2024,1
L&TFH.NS,6/20/2024,1
LAFFANSQ.BO,11/18/2024,1
MAGNUM.NS,11/12/2024,1
MAXIMUS.BO,11/13/2024,1
MCDOWELL-N.NS,7/25/2024,1
MCL.NS,11/18/2024,1
MUKTA.BO,11/12/2024,1
MUKTA.BO,11/13/2024,1
NATIONALUM.NS,11/18/2024,1
NETLINK.BO,11/13/2024,1
NETLINK.BO,11/14/2024,1
NEULANDLAB.NS,11/12/2024,1
NSIL.NS,11/14/2024,1
NSIL.NS,11/18/2024,1
OTCO.BO,11/12/2024,1
PARSHWANA.BO,11/18/2024,1
PILANIINVS.NS,11/18/2024,1
PNBGILTS.NS,11/12/2024,1
PNC.NS,11/12/2024,1
PRECOT.NS,11/12/2024,1
RADIXIND.BO,11/13/2024,1
RAJINFRA.BO,11/12/2024,1
RCCL.BO,11/14/2024,1
REGENTRP.BO,11/12/2024,1
RODIUM.BO,11/13/2024,1
ROSELABS.BO,11/14/2024,1
SAMPRE.BO,11/13/2024,1
SASKEN.NS,11/12/2024,1
SASKEN.NS,11/14/2024,1
SHARDACROP.NS,11/14/2024,1
SIDDHA.BO,11/14/2024,1
SIDDHA.BO,11/18/2024,1
SPECTRA.BO,11/13/2024,1
STCINDIA.NS,11/12/2024,1
STELLAR.BO,11/14/2024,1
STERTOOLS.NS,11/14/2024,1
SUPERBAK.BO,11/8/2024,1
SVAMSOF.BO,11/12/2024,1
TALBROAUTO.NS,11/14/2024,1
THACKER.BO,11/14/2024,1
THIRDFIN.BO,11/14/2024,1
TIPSINDLTD.NS,11/14/2024,1
TNSTLTU.BO,11/13/2024,1
TOKYOFIN.BO,11/14/2024,1
TOKYOFIN.BO,11/18/2024,1
UNOMINDA.NS,11/12/2024,1
UNQTYMI.BO,11/18/2024,1
VCU.BO,11/12/2024,1
VHL.NS,11/18/2024,1
VIMTALABS.NS,11/13/2024,1
YARNSYN.BO,11/14/2024,1
ZYDUSWELL.NS,11/14/2024,1
