Ticker,Date/Time,Close,myBuy ,myShort
360ONE.NS,11/19/2024,1091,1,,
^CNXAUTO,11/25/2024,23946,1,,
^NSEBANK,11/25/2024,52084,1,,
^CNXREALTY,11/25/2024,1037,1,,
^CNXIT,11/22/2024,43415,1,,
ADINATH.BO,11/19/2024,28,1,,
AEL.BO,11/21/2024,212,,1
AJANTPHARM.NS,11/25/2024,3084,1,,
ALFAICA.BO,11/19/2024,92,,1
ALPA.NS,11/25/2024,111,1,,
AMRAPLIN.BO,11/18/2024,18,,1
ARROWGREEN.NS,11/21/2024,894,,1
ARTEMISMED.NS,11/19/2024,315,1,,
ARVINDFASN.NS,11/25/2024,578,1,,
ARYAMAN.BO,11/21/2024,424,,1
ASALCBR.NS,11/25/2024,962,1,,
ASHAI.BO,11/19/2024,14,,1
ASHOKA.NS,11/25/2024,235,1,,
ASIANHOTNR.NS,11/21/2024,200,1,,
ATVPR.BO,11/19/2024,40,1,,
AVROIND.NS,11/25/2024,160,1,,
BALPHARMA.NS,11/19/2024,138,1,,
BANKBEES.BO,11/25/2024,534,1,,
BAROEXT.BO,11/25/2024,11,1,,
BEMHY.BO,11/22/2024,1370,1,,
BHARATRAS.NS,11/22/2024,11750,1,,
BLISSGVS.NS,11/21/2024,137,1,,
BLUECHIP.NS,11/19/2024,9,,1
BRIGADE.NS,11/21/2024,1204,1,,
BROOKS.NS,11/22/2024,140,1,,
CAMEXLTD.BO,11/21/2024,61,,1
CANTABIL.NS,11/21/2024,228,1,,
CATVISION.BO,11/21/2024,28,1,,
CDSL.NS,11/25/2024,1586,1,,
CEATLTD.NS,11/25/2024,2906,1,,
CGPOWER.NS,11/25/2024,749,1,,
CHEMBOND.NS,11/21/2024,567,,1
CHEMBOND.NS,11/25/2024,567,1,,
CHOKSILA.BO,11/21/2024,65,1,,
CORALAB.BO,11/18/2024,780,,1
COROENGG.BO,11/25/2024,62,,1
CRAFTSMAN.NS,11/22/2024,5224,1,,
EIMCOELECO.NS,11/25/2024,2562,1,,
ELNET.BO,11/21/2024,375,,1
FRONTSP.BO,11/19/2024,2341,1,,
GICRE.NS,11/25/2024,392,1,,
GLOBOFFS.BO,11/18/2024,111,,1
GODREJPROP.NS,11/22/2024,3000,1,,
GOLDCOINHF.BO,11/19/2024,11,,1
GPTINFRA.NS,11/25/2024,140,1,,
GRAVITY.BO,11/21/2024,8,,1
GSBFIN.BO,11/18/2024,22,,1
GUJHOTE.BO,11/21/2024,216,1,,
HAVELLS.NS,11/25/2024,1722,1,,
HUIL.BO,11/18/2024,2625,1,,
INDAG.BO,11/19/2024,195,1,,
INDOCO.NS,11/22/2024,319,1,,
INDOTHAI.NS,11/19/2024,1098,,1
IPRINGLTD.BO,11/13/2024,197,,1
ISEC.NS,11/25/2024,874,1,,
IWP.BO,11/21/2024,37,1,,
JAICORPLTD.NS,11/25/2024,333,1,,
JETKINGQ.BO,11/25/2024,62,,1
JKIL.NS,11/25/2024,789,1,,
JSTL.BO,11/25/2024,52,1,,
JUBLINDS.NS,10/21/2024,1634,1,,
JUBLINDS.NS,10/25/2024,1634,,1
KALYANKJIL.NS,11/25/2024,721,1,,
KEMISTAR.BO,11/18/2024,83,1,,
KEMISTAR.BO,11/22/2024,83,,1
KJMCFIN.BO,11/19/2024,117,,1
KOTHARIPRO.NS,11/19/2024,156,1,,
KREBSBIO.NS,11/18/2024,84,,1
LAL.BO,11/18/2024,24,1,,
LLFICL.BO,11/18/2024,10,,1
LWSKNIT.BO,11/21/2024,47,,1
LWSKNIT.BO,11/25/2024,47,1,,
MADHAV.NS,11/25/2024,54,1,,
M&M.NS,11/19/2024,3106,1,,
MANGCHEFER.NS,11/21/2024,143,,1
MARIS.BO,11/22/2024,40,1,,
MAZDOCK.NS,11/21/2024,4132,,1
MEERA.BO,11/25/2024,89,1,,
MPHASIS.NS,11/25/2024,2908,1,,
NAUKRI.NS,11/22/2024,8130,1,,
NBIFIN.NS,11/18/2024,2705,1,,
NGIND.BO,11/18/2024,163,,1
NIRAJ.NS,11/21/2024,63,1,,
NITINCAST.BO,11/22/2024,691,,1
NLCINDIA.NS,11/22/2024,262,1,,
OIL.NS,11/25/2024,515,1,,
ORIENTTR.BO,11/22/2024,15,,1
PANKAJPO.BO,11/13/2024,12,,1
PARAGONF.BO,11/22/2024,64,1,,
PARMAX.BO,11/22/2024,45,,1
PDMJEPAPER.NS,11/21/2024,143,,1
PEL.NS,11/22/2024,1095,1,,
PGEL.NS,11/18/2024,677,,1
PGEL.NS,11/19/2024,677,1,,
PITTIENG.NS,11/22/2024,1394,1,,
POLYCAB.NS,11/25/2024,6752,1,,
PRAJIND.NS,11/22/2024,776,1,,
PRESTIGE.NS,11/25/2024,1681,1,,
RAGHUSYN.BO,11/18/2024,133,1,,
RAINBOWF.BO,11/18/2024,23,1,,
RAINBOWF.BO,11/21/2024,23,,1
RESTILE.BO,11/25/2024,8,,1
RLFL.BO,11/14/2024,2,1,,
RODIUM.BO,11/25/2024,102,1,,
RPPL.NS,11/21/2024,40,,1
RSDFIN.BO,11/19/2024,144,,1
RUDRA.BO,11/18/2024,45,1,,
SAMPRE.BO,11/19/2024,76,,1
SBECSYS.BO,11/21/2024,44,1,,
SBISENSEX.BO,11/25/2024,881,1,,
SGNTE.BO,11/18/2024,1,,1
SHANTI.NS,11/22/2024,16,1,,
SHINDL.BO,11/19/2024,53,,1
SHREEPUSHK.NS,11/22/2024,275,,1
SHRISTI.BO,11/19/2024,50,1,,
SHREERAMA.NS,11/21/2024,44,,1
SIEMENS.NS,11/25/2024,7221,1,,
SNOWMAN.NS,11/22/2024,73,1,,
SPCAPIT.BO,11/22/2024,59,,1
SRPL.NS,11/18/2024,1,,1
STOVEKRAFT.NS,11/25/2024,780,1,,
SUNTV.NS,11/22/2024,755,1,,
TALBROAUTO.NS,11/18/2024,291,,1
TCI.NS,11/18/2024,1080,,1
TELECANOR.BO,11/21/2024,7,1,,
TITAN.NS,11/25/2024,3338,1,,
TRITURBINE.NS,11/19/2024,713,1,,
TTKHLTCARE.NS,11/22/2024,1510,1,,
TTL.NS,11/22/2024,162,,1
ULTRACEMCO.NS,11/22/2024,11585,1,,
UNITDSPR.BO,11/18/2024,1517,1,,
VERTEX.BO,11/18/2024,6,,1
VIPCLOTHNG.NS,11/22/2024,44,1,,
WIREFABR.BO,11/19/2024,222,1,,
WPIL.BO,11/21/2024,624,,1
YAMNINV.BO,11/18/2024,2,1,,
YORKEXP.BO,11/19/2024,45,1,,
ZKHANDEN.BO,11/18/2024,87,,1
