Buy Date,Ticker,Buy Strat
2024-10-09,AAATECH.NS,EW_BW
2024-10-09,AARVI.NS,EWBB_DC
2024-10-09,ABB.NS,ATR_W
2024-10-09,ABCINDQ.BO,EW_W
2024-10-09,ABHICAP.BO,EW_DC
2024-10-09,ACE.NS,ATREW_UC
2024-10-09,ACME.BO,EW_DC
2024-10-09,ACML.BO,EW_DC
2024-10-09,ADFFOODS.NS,ATRBB_UC
2024-10-09,AFFLE.NS,ATREW_DC
2024-10-09,AGRITECH.NS,ATRBB_DC
2024-10-09,AIIL.BO,EW_UC
2024-10-09,AJCON.BO,EW_UC
2024-10-09,AKG.NS,EW_BW
2024-10-09,AKZOINDIA.NS,ATR_UC
2024-10-09,ALFAICA.BO,LR_W
2024-10-09,ALFREDHE.BO,BB_BW
2024-10-09,ALSTONE.BO,EW
2024-10-09,ALUFLUOR.BO,EW_DC
2024-10-09,AMALGAM.BO,EW_DC
2024-10-09,AMBALALSA.BO,EW_DC
2024-10-09,AMBER.NS,BB_W
2024-10-09,AMFORG.BO,EW_DC
2024-10-09,ANDHRAPET.BO,EW_BW
2024-10-09,ANJANI.BO,ATR
2024-10-09,APARINDS.NS,EW_BW
2024-10-09,ARCEEIN.BO,BB_DC
2024-10-09,ARFIN.BO,EW_DC
2024-10-09,ARVINDFASN.NS,EW_BW
2024-10-09,ARVSMART.NS,ATR_UC
2024-10-09,ASHAI.BO,ATR_DC
2024-10-09,ASHAPURMIN.NS,BB_DC
2024-10-09,ASHIS.BO,EW_UC
2024-10-09,ASHISHPO.BO,LR_DC
2024-10-09,ASHNOOR.BO,EW_UC
2024-10-09,ASMTEC.BO,EW_BW
2024-10-09,ASTAR.BO,EW_DC
2024-10-09,ATISHAY.BO,ATR_UC
2024-10-09,ATUL.NS,LR_DC
2024-10-09,AURIONPRO.NS,EW_DC
2024-10-09,AUSOMENT.NS,BB_UC
2024-10-09,AUSTENG.BO,EW_W
2024-10-09,AWHCL.NS,BB_UC
2024-10-09,AXELPOLY.BO,BB_DC
2024-10-09,BALTE.BO,ATREW_BW
2024-10-09,BANG.NS,EW_BW
2024-10-09,BANKA.NS,EW_DC
2024-10-09,BAPACK.BO,BB_DC
2024-10-09,BBL.NS,BB_DC
2024-10-09,BDL.NS,EW_DC
2024-10-09,BELLACASA.BO,EW_DC
2024-10-09,BGWTATO.BO,EW_UC
2024-10-09,BHAGCHEM.BO,EW_DC
2024-10-09,BIGBLOC.NS,EWBB_DC
2024-10-09,BIOFILCHEM.NS,EW_DC
2024-10-09,BIRLAPREC.BO,EW_DC
2024-10-09,BLIL.BO,EW_DC
2024-10-09,BLISSGVS.NS,EW_DC
2024-10-09,BLUESTARCO.NS,ATREW_UC
2024-10-09,BMAL.BO,ATRBB_W
2024-10-09,BNRUDY.BO,EWBB_DC
2024-10-09,BRADYM.BO,EW_UC
2024-10-09,BROOKS.NS,BB_W
2024-10-09,CALCOM.BO,EW_BW
2024-10-09,CAMS.BO,EW_BW
2024-10-09,CAPTRUST.NS,EW_DC
2024-10-09,CDSL.NS,ATREW_W
2024-10-09,CEETAIN.BO,EW_BW
2024-10-09,CEINSYSTECH.BO,ATRBB_UC
2024-10-09,CENTENKA.NS,EW_DC
2024-10-09,CENTEXT.NS,EWBB_DC
2024-10-09,CHDCHEM.BO,EW_DC
2024-10-09,CHEMFAB.NS,BB_DC
2024-10-09,CHEMOPH.BO,ATREWBB_DC
2024-10-09,CHEMTECH.BO,ATR_BW
2024-10-09,CHOICEIN.BO,ATREW_UC
2024-10-09,CIPLA.NS,ATR_BW
2024-10-09,COCHINM.BO,EWBB_DC
2024-10-09,COCHINSHIP.NS,EW_DC
2024-10-09,COMPUSOFT.NS,EW_DC
2024-10-09,CONTICON.BO,EW_DC
2024-10-09,CONTPTR.BO,EW_UC
2024-10-09,COSCO.BO,ATR_DC
2024-10-09,CRANESSOFT.BO,EW_DC
2024-10-09,CTCL.BO,BB_DC
2024-10-09,CUBEXTUB.NS,ATREW_DC
2024-10-09,CYBERMEDIA.NS,ATRBB_W
2024-10-09,DANLAW.BO,EW_DC
2024-10-09,DATAMATICS.NS,ATREWBB_W
2024-10-09,DBSTOCKBRO.NS,ATREWBB_W
2024-10-09,DCAL.NS,EW_DC
2024-10-09,DHANCOT.BO,EW_UC
2024-10-09,DHANI.NS,ATRBB_BW
2024-10-09,DIAMINESQ.BO,EW_BW
2024-10-09,DIVISLAB.NS,ATRBB_UC
2024-10-09,DLTNCBL.BO,BB_W
2024-10-09,DONEAR.NS,EW_DC
2024-10-09,DPABHUSHAN.NS,ATREW_UC
2024-10-09,DPWIRES.NS,EW_UC
2024-10-09,DSSL.NS,EW_W
2024-10-09,DYNAMICP.BO,EW_BW
2024-10-09,DYNAMIND.BO,EW_UC
2024-10-09,EASTRED.BO,EWBB_DC
2024-10-09,EIHOTEL.NS,ATR_BW
2024-10-09,EIMCOELECO.NS,EW_W
2024-10-09,EKC.NS,BB_DC
2024-10-09,ELAND.BO,EW_BW
2024-10-09,ELDEHSG.BO,BB_W
2024-10-09,ELECTHERM.NS,ATR_W
2024-10-09,ELGIEQUIP.NS,ATREW_BW
2024-10-09,ELIXIR.BO,ATREWBB_W
2024-10-09,EMAMILTD.NS,BB_DC
2024-10-09,EMERALD.BO,BB_W
2024-10-09,ENDURANCE.NS,EW_BW
2024-10-09,ESCORTS.NS,EW_UC
2024-10-09,ESTER.NS,EW_UC
2024-10-09,ETIL.BO,EW_DC
2024-10-09,EXIDEIND.NS,ATRBB_UC
2024-10-09,EXPLICITFIN.BO,BB_W
2024-10-09,FDC.NS,EW_BW
2024-10-09,FILTRA.BO,ATREWBB_W
2024-10-09,FLUIDOM.BO,EW_DC
2024-10-09,FLUOROCHEM.NS,ATREW_DC
2024-10-09,FRASER.BO,ATREW
2024-10-09,GANESHHOUC.NS,ATR_BW
2024-10-09,GANGAFORGE.NS,EW_DC
2024-10-09,GAYATRIBI.BO,BB_DC
2024-10-09,GCMCAPI.BO,EWBB_W
2024-10-09,GENESYS.NS,ATREW_DC
2024-10-09,GENPHARMA.BO,EW
